"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","43.31","42.53","44.86","38.64","1.22M","1.83%"
"08/01/2024","42.53","43.39","43.57","38.05","687.19K","-1.69%"
"07/01/2024","43.26","44.07","49.78","41.44","1.02M","-1.84%"
"06/01/2024","44.07","45.77","45.77","42.80","765.45K","-3.74%"
"05/01/2024","45.78","43.13","47.00","42.53","1.12M","6.44%"
"04/01/2024","43.01","48.73","50.27","42.68","1.74M","-11.28%"
"03/01/2024","48.48","45.21","50.29","44.51","1.15M","7.23%"
"02/01/2024","45.21","46.50","48.89","44.18","1.29M","-2.86%"
"01/01/2024","46.54","47.80","49.65","45.50","1.01M","-3.40%"
"12/01/2023","48.18","52.26","52.45","47.56","1.22M","-7.81%"
"11/01/2023","52.26","51.01","53.70","48.53","1.14M","2.81%"
"10/01/2023","50.83","55.85","58.07","50.27","1.10M","-8.96%"
"09/01/2023","55.83","64.10","65.19","55.66","1.09M","-12.67%"
"08/01/2023","63.93","63.26","67.15","61.91","559.12K","1.30%"
"07/01/2023","63.11","61.87","69.12","61.40","664.74K","2.29%"
"06/01/2023","61.70","46.37","61.70","46.28","710.95K","33.23%"
"05/01/2023","46.31","51.62","55.12","44.68","964.37K","-10.37%"
"04/01/2023","51.67","56.75","57.51","50.57","1.14M","-7.10%"
"03/01/2023","55.62","60.20","62.15","51.50","1.22M","-7.36%"
"02/01/2023","60.04","62.47","63.83","58.70","1.11M","-3.92%"
"01/01/2023","62.49","64.44","65.40","60.09","770.19K","-2.47%"
"12/01/2022","64.07","71.00","71.31","58.94","1.31M","-10.87%"
"11/01/2022","71.88","70.56","75.94","69.18","943.86K","1.80%"
"10/01/2022","70.61","61.39","71.44","61.39","816.05K","14.70%"
"09/01/2022","61.56","68.90","69.98","60.75","923.17K","-10.65%"
"08/01/2022","68.90","66.50","69.80","61.03","459.77K","3.61%"
"07/01/2022","66.50","67.00","67.01","56.30","480.92K","-0.76%"
"06/01/2022","67.01","76.63","81.38","64.84","474.80K","-12.27%"
"05/01/2022","76.38","84.53","84.53","76.17","527.82K","-9.27%"
"04/01/2022","84.18","68.64","87.65","67.52","953.97K","22.64%"
"03/01/2022","68.64","72.80","78.58","68.44","801.41K","-5.35%"
"02/01/2022","72.52","64.98","74.58","62.81","1.02M","11.90%"
"01/01/2022","64.81","56.87","66.67","56.30","793.62K","14.65%"
"12/01/2021","56.53","55.49","58.86","51.10","1.04M","2.39%"
"11/01/2021","55.21","61.07","62.10","54.68","882.22K","-9.57%"
"10/01/2021","61.05","58.67","64.31","57.71","868.72K","4.02%"
"09/01/2021","58.69","58.93","60.00","54.18","883.24K","-0.34%"
"08/01/2021","58.89","64.64","64.66","56.55","426.85K","-8.58%"
"07/01/2021","64.42","63.10","67.78","59.41","396.82K","1.58%"
"06/01/2021","63.42","62.80","70.32","53.73","648.49K","1.75%"
"05/01/2021","62.33","62.75","67.92","60.19","672.90K","-0.10%"
"04/01/2021","62.39","50.96","63.39","49.15","1.29M","22.91%"
"03/01/2021","50.76","50.20","55.59","48.10","1.12M","1.64%"
"02/01/2021","49.94","43.97","50.95","42.64","966.11K","13.73%"
"01/01/2021","43.91","42.50","44.69","40.53","1.01M","3.56%"
"12/01/2020","42.40","37.58","42.65","36.57","1.28M","13.10%"
"11/01/2020","37.49","33.36","39.02","32.89","864.71K","12.04%"
