"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","6,365.00","7,617.00","7,796.00","5,943.00","160.63K","-17.03%"
"08/01/2024","7,671.00","6,927.00","8,242.00","6,349.00","261.22K","9.73%"
"07/01/2024","6,991.00","7,444.00","8,674.00","6,650.00","161.37K","-9.57%"
"06/01/2024","7,731.00","8,599.00","10,308.00","7,054.00","219.61K","-9.96%"
"05/01/2024","8,586.00","9,283.00","9,487.00","6,418.00","223.57K","-7.51%"
"04/01/2024","9,283.00","9,303.00","11,722.00","7,756.00","338.23K","-0.25%"
"03/01/2024","9,306.00","6,120.00","9,553.00","6,093.00","347.05K","53.84%"
"02/01/2024","6,049.00","4,761.00","6,648.00","4,759.00","793.50K","27.24%"
"01/01/2024","4,754.00","4,163.00","4,803.00","4,003.00","394.95K","14.22%"
"12/01/2023","4,162.00","4,265.00","4,308.00","4,098.00","313.10K","-2.69%"
"11/01/2023","4,277.00","3,843.00","4,294.00","3,813.00","608.81K","11.18%"
"10/01/2023","3,847.00","3,444.00","3,907.00","3,400.00","293.49K","12.22%"
"09/01/2023","3,428.00","3,637.00","3,765.00","3,404.00","313.98K","-5.77%"
"08/01/2023","3,638.00","3,543.00","3,677.00","3,315.00","756.53K","2.68%"
"07/01/2023","3,543.00","3,357.00","3,588.00","3,260.00","365.06K","5.67%"
"06/01/2023","3,353.00","3,025.00","3,364.00","3,006.00","670.24K","11.06%"
"05/01/2023","3,019.00","2,937.00","3,085.00","2,857.00","382.39K","2.79%"
"04/01/2023","2,937.00","2,891.00","2,995.00","2,814.00","572.42K","1.49%"
"03/01/2023","2,894.00","2,798.00","2,918.00","2,604.00","560.14K","3.76%"
"02/01/2023","2,789.00","2,624.00","2,812.00","2,576.00","586.09K","6.09%"
"01/01/2023","2,629.00","2,593.00","2,700.00","2,540.00","281.43K","1.08%"
"12/01/2022","2,601.00","2,504.00","2,670.00","2,470.00","298.38K","4.12%"
"11/01/2022","2,498.00","2,343.00","2,577.00","2,329.00","630.41K","6.62%"
"10/01/2022","2,343.00","2,348.00","2,406.00","2,284.00","306.01K","0.13%"
"09/01/2022","2,340.00","2,402.00","2,429.00","2,190.00","383.62K","-3.03%"
"08/01/2022","2,413.00","2,374.00","2,469.00","2,314.00","683.67K","1.69%"
"07/01/2022","2,373.00","2,328.00","2,443.00","2,236.00","393.11K","1.41%"
"06/01/2022","2,340.00","2,516.00","2,559.00","2,330.00","555.51K","-6.96%"
"05/01/2022","2,515.00","2,570.00","2,646.00","2,411.00","401.81K","-2.03%"
"04/01/2022","2,567.00","2,683.00","2,700.00","2,478.00","457.05K","-4.47%"
"03/01/2022","2,687.00","2,520.00","2,712.00","2,471.00","406.83K","6.25%"
"02/01/2022","2,529.00","2,581.00","2,838.00","2,515.00","481.31K","-1.82%"
"01/01/2022","2,576.00","2,575.00","2,733.00","2,454.00","289.56K","0.90%"
"12/01/2021","2,553.00","2,364.00","2,597.00","2,333.00","279.21K","8.82%"
"11/01/2021","2,346.00","2,586.00","2,604.00","2,338.00","535.49K","-9.07%"
"10/01/2021","2,580.00","2,664.00","2,812.00","2,557.00","292.76K","-3.62%"
"09/01/2021","2,677.00","2,540.00","2,717.00","2,517.00","297.36K","5.39%"
"08/01/2021","2,540.00","2,416.00","2,681.00","2,391.00","564.15K","4.87%"
"07/01/2021","2,422.00","2,389.00","2,499.00","2,268.00","344.07K","1.38%"
"06/01/2021","2,389.00","2,460.00","2,505.00","2,334.00","435.79K","-2.73%"
"05/01/2021","2,456.00","2,389.00","2,590.00","2,317.00","337.24K","3.11%"
"04/01/2021","2,382.00","2,392.00","2,537.00","2,360.00","429.96K","-0.13%"
"03/01/2021","2,385.00","2,616.00","2,667.00","2,372.00","371.57K","-8.41%"
"02/01/2021","2,604.00","2,471.00","2,625.00","2,371.00","442.70K","5.25%"
"01/01/2021","2,474.00","2,545.00","2,589.00","2,421.00","203.32K","-2.41%"
"12/01/2020","2,535.00","2,749.00","2,765.00","2,409.00","239.52K","-7.45%"
"11/01/2020","2,739.00","2,300.00","2,821.00","2,247.00","488.64K","18.83%"
"10/01/2020","2,305.00","2,497.00","2,510.00","2,292.00","241.05K","-8.79%"
"09/01/2020","2,527.00","2,664.00","2,708.00","2,508.00","258.64K","-4.79%"
"08/01/2020","2,654.00","2,399.00","2,673.00","2,355.00","439.10K","10.63%"
"07/01/2020","2,399.00","2,182.00","2,415.00","2,092.00","266.71K","9.74%"
"06/01/2020","2,186.00","2,400.00","2,475.00","2,172.00","387.93K","-9.22%"
"05/01/2020","2,408.00","2,408.00","2,487.00","2,292.00","230.83K","-0.25%"
"04/01/2020","2,414.00","2,245.00","2,425.00","2,215.00","313.24K","6.86%"
"03/01/2020","2,259.00","2,681.00","2,690.00","2,201.00","449.28K","-15.46%"
"02/01/2020","2,672.00","2,774.00","2,935.00","2,646.00","490.31K","-4.61%"
"01/01/2020","2,801.00","2,532.00","2,874.00","2,480.00","293.32K","10.23%"
"12/01/2019","2,541.00","2,564.00","2,655.00","2,404.00","268.91K","-1.05%"
"11/01/2019","2,568.00","2,446.00","2,694.00","2,430.00","512.28K","4.99%"
"10/01/2019","2,446.00","2,463.00","2,568.00","2,414.00","304.14K","-0.41%"
"09/01/2019","2,456.00","2,210.00","2,513.00","2,187.00","370.45K","10.53%"
"08/01/2019","2,222.00","2,395.00","2,411.00","2,165.00","555.44K","-7.42%"
"07/01/2019","2,400.00","2,435.00","2,589.00","2,389.00","327.86K","-1.03%"
"06/01/2019","2,425.00","2,410.00","2,552.00","2,321.00","416.77K","0.79%"
"05/01/2019","2,406.00","2,365.00","2,472.00","2,226.00","341.29K","1.99%"
"04/01/2019","2,359.00","2,275.00","2,434.00","2,234.00","532.14K","3.92%"
"03/01/2019","2,270.00","2,241.00","2,279.00","2,128.00","316.42K","1.02%"
"02/01/2019","2,247.00","2,219.00","2,369.00","2,207.00","468.68K","1.72%"
"01/01/2019","2,209.00","2,451.00","2,453.00","2,203.00","277.70K","-9.80%"
"12/01/2018","2,449.00","2,208.00","2,464.00","2,095.00","240.19K","11.17%"
"11/01/2018","2,203.00","2,253.00","2,410.00","2,104.00","521.90K","-2.22%"
"10/01/2018","2,253.00","2,081.00","2,284.00","2,008.00","301.65K","8.21%"
"09/01/2018","2,082.00","2,285.00","2,372.00","2,079.00","263.37K","-10.87%"
"08/01/2018","2,336.00","2,210.00","2,397.00","2,100.00","502.94K","5.23%"
"07/01/2018","2,220.00","2,512.00","2,594.00","2,203.00","361.29K","-11.62%"
