"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","67.77","72.64","73.35","64.61","4.77M","-6.72%"
"08/01/2024","72.65","77.47","78.54","70.88","4.93M","-5.45%"
"07/01/2024","76.84","80.56","83.58","73.73","5.24M","-4.71%"
"06/01/2024","80.64","76.73","81.78","72.44","4.31M","5.10%"
"05/01/2024","76.73","80.86","80.90","75.75","4.60M","-5.60%"
"04/01/2024","81.28","82.36","86.97","80.25","5.20M","-1.38%"
"03/01/2024","82.42","77.49","83.12","76.43","3.94M","6.42%"
"02/01/2024","77.45","75.54","78.83","71.49","4.12M","2.30%"
"01/01/2024","75.71","71.90","79.09","69.56","4.18M","5.39%"
"12/01/2023","71.84","75.71","76.81","67.98","3.00M","-5.54%"
"11/01/2023","76.05","80.98","83.20","72.37","3.83M","-5.53%"
"10/01/2023","80.50","88.83","89.89","80.20","4.82M","-9.35%"
"09/01/2023","88.80","82.90","92.48","82.78","4.72M","7.04%"
"08/01/2023","82.96","81.25","84.16","77.32","4.09M","2.02%"
"07/01/2023","81.32","70.61","81.50","69.82","3.96M","14.89%"
"06/01/2023","70.78","67.81","75.70","66.96","3.81M","3.72%"
"05/01/2023","68.24","76.47","76.49","63.90","3.47M","-10.93%"
"04/01/2023","76.61","80.60","83.38","73.80","3.53M","1.07%"
"03/01/2023","75.80","76.93","81.04","64.36","4.33M","-1.80%"
"02/01/2023","77.19","79.35","80.78","72.64","3.00M","-2.50%"
"01/01/2023","79.17","80.66","82.89","72.74","3.30M","-1.59%"
"12/01/2022","80.45","80.61","83.27","70.31","2.94M","-0.26%"
"11/01/2022","80.66","85.20","92.53","73.77","3.73M","-5.55%"
"10/01/2022","85.40","80.29","92.34","80.19","3.51M","8.49%"
"09/01/2022","78.72","88.31","89.99","75.70","3.16M","-11.58%"
"08/01/2022","89.03","96.44","96.82","85.37","3.42M","-7.98%"
"07/01/2022","96.75","103.33","108.28","88.23","3.35M","-6.16%"
"06/01/2022","103.10","112.74","120.88","99.66","3.42M","-7.87%"
"05/01/2022","111.91","102.15","117.07","96.93","2.99M","8.71%"
"04/01/2022","102.94","99.77","109.20","92.60","2.94M","4.49%"
"03/01/2022","98.52","93.88","126.42","92.20","4.29M","5.37%"
"02/01/2022","93.50","86.45","98.44","84.92","5.39M","8.10%"
"01/01/2022","86.49","75.53","87.36","74.01","5.03M","15.50%"
"12/01/2021","74.88","66.68","77.06","62.26","3.65M","13.71%"
"11/01/2021","65.85","81.58","83.30","64.16","4.88M","-19.48%"
"10/01/2021","81.78","74.74","83.83","73.92","6.04M","9.48%"
"09/01/2021","74.70","68.31","76.26","66.92","4.40M","9.43%"
"08/01/2021","68.26","73.11","73.19","61.50","4.38M","-6.79%"
"07/01/2021","73.23","72.78","76.07","65.01","5.11M","0.63%"
"06/01/2021","72.77","66.45","73.70","66.19","4.90M","10.09%"
"05/01/2021","66.10","63.48","67.28","61.36","4.70M","4.13%"
"04/01/2021","63.48","59.48","65.32","57.68","4.16M","7.27%"
"03/01/2021","59.18","61.42","67.79","57.29","5.90M","-3.35%"
