"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","71.70","76.23","76.84","68.29","7.71M","-6.80%"
"08/01/2024","76.93","80.87","81.46","74.62","6.59M","-4.84%"
"07/01/2024","80.84","84.11","87.05","77.95","6.80M","-4.89%"
"06/01/2024","85.00","80.92","86.18","76.66","6.40M","4.80%"
"05/01/2024","81.11","85.10","85.20","80.44","6.43M","-6.05%"
"04/01/2024","86.33","86.12","91.18","85.03","6.37M","-0.77%"
"03/01/2024","87.00","81.35","87.07","80.62","6.46M","6.21%"
"02/01/2024","81.91","80.33","83.13","76.41","5.62M","1.69%"
"01/01/2024","80.55","77.31","84.17","74.82","6.00M","4.73%"
"12/01/2023","76.91","80.48","81.45","72.67","4.80M","-4.88%"
"11/01/2023","80.86","84.78","87.12","76.71","5.82M","-4.89%"
"10/01/2023","85.02","90.48","92.32","82.20","6.35M","-7.79%"
"09/01/2023","92.20","86.22","95.35","86.15","7.50M","6.18%"
"08/01/2023","86.83","84.78","87.37","81.61","5.75M","1.64%"
"07/01/2023","85.43","75.00","85.58","74.40","5.07M","13.29%"
"06/01/2023","75.41","72.06","78.47","71.57","6.00M","3.87%"
"05/01/2023","72.60","79.69","79.82","71.20","5.01M","-9.62%"
"04/01/2023","80.33","85.00","86.90","77.36","4.77M","0.55%"
"03/01/2023","79.89","82.41","86.17","70.06","6.98M","-4.27%"
"02/01/2023","83.45","85.28","86.55","78.84","4.21M","-2.35%"
"01/01/2023","85.46","85.69","89.00","77.77","4.41M","-0.22%"
"12/01/2022","85.65","86.89","89.18","75.64","3.79M","-1.52%"
"11/01/2022","86.97","90.87","97.85","80.81","4.98M","-6.29%"
"10/01/2022","92.81","84.21","96.75","84.21","4.21M","9.01%"
"09/01/2022","85.14","93.88","95.54","82.44","5.09M","-10.98%"
"08/01/2022","95.64","101.34","103.48","90.95","4.31M","-8.01%"
"07/01/2022","103.97","106.03","110.72","91.22","4.22M","-4.64%"
"06/01/2022","109.03","113.14","121.74","104.35","4.64M","-5.68%"
"05/01/2022","115.60","104.53","120.80","100.14","4.23M","7.90%"
"04/01/2022","107.14","103.31","113.61","97.18","4.05M","2.32%"
"03/01/2022","104.71","95.48","134.91","94.61","7.05M","6.88%"
"02/01/2022","97.97","88.22","102.26","86.31","5.51M","9.76%"
"01/01/2022","89.26","77.75","90.27","76.60","4.77M","15.40%"
"12/01/2021","77.35","69.37","80.03","65.48","4.15M","11.73%"
"11/01/2021","69.23","82.44","84.26","67.45","5.86M","-17.31%"
"10/01/2021","83.72","77.67","85.77","76.78","4.91M","6.91%"
"09/01/2021","78.31","70.98","79.95","69.85","5.76M","9.33%"
"08/01/2021","71.63","74.45","74.52","64.20","4.13M","-5.01%"
"07/01/2021","75.41","73.83","76.80","66.91","4.47M","1.06%"
"06/01/2021","74.62","69.07","75.77","68.98","4.85M","8.22%"
"05/01/2021","68.95","66.24","69.90","64.50","4.24M","3.28%"
"04/01/2021","66.76","62.68","68.44","60.93","4.34M","6.41%"
"03/01/2021","62.74","64.00","70.67","60.33","7.08M","-2.61%"
"02/01/2021","64.42","54.70","66.82","54.40","4.59M","17.04%"
"01/01/2021","55.04","51.53","57.31","50.66","4.44M","6.21%"
"12/01/2020","51.82","47.95","52.46","46.81","3.58M","8.23%"
"11/01/2020","47.88","37.80","49.00","36.29","4.05M","26.20%"
"10/01/2020","37.94","42.65","43.99","37.26","4.19M","-10.31%"
"09/01/2020","42.30","45.96","46.57","39.88","4.54M","-7.36%"
"08/01/2020","45.66","43.96","46.90","43.26","3.01M","4.92%"
"07/01/2020","43.52","41.69","45.07","41.10","3.52M","5.45%"
"06/01/2020","41.27","37.80","43.97","37.29","4.15M","9.06%"
"05/01/2020","37.84","28.75","38.17","27.14","3.17M","42.90%"
"04/01/2020","26.48","29.36","38.31","19.99","5.27M","0.49%"
"03/01/2020","26.35","48.59","53.69","25.30","7.81M","-46.95%"
"02/01/2020","49.67","55.89","59.56","48.94","4.99M","-12.27%"
"01/01/2020","56.62","65.52","70.99","55.93","4.82M","-13.28%"
"12/01/2019","65.29","60.12","67.59","59.59","3.44M","7.94%"
"11/01/2019","60.49","58.74","63.58","58.70","3.81M","1.46%"
"10/01/2019","59.62","58.74","62.09","55.55","4.10M","0.62%"
"09/01/2019","59.25","58.40","70.32","56.48","5.88M","0.00%"
"08/01/2019","59.25","63.56","64.05","55.59","4.06M","-8.92%"
"07/01/2019","65.05","64.25","67.27","60.97","4.27M","0.48%"
"06/01/2019","64.74","60.81","66.02","58.42","4.49M","4.44%"
"05/01/2019","61.99","71.07","72.44","61.39","5.07M","-13.97%"
"04/01/2019","72.06","67.21","74.75","67.21","4.29M","6.63%"
"03/01/2019","67.58","66.54","68.48","63.99","4.65M","1.92%"
"02/01/2019","66.31","61.15","67.84","60.54","3.28M","8.99%"
"01/01/2019","60.84","54.44","62.99","52.76","3.84M","12.62%"
"12/01/2018","54.02","59.95","63.93","50.22","3.32M","-9.15%"
"11/01/2018","59.46","74.72","75.03","57.78","4.44M","-20.76%"
"10/01/2018","75.04","82.30","86.27","74.58","4.43M","-9.30%"
"09/01/2018","82.73","77.57","83.41","75.32","4.69M","6.56%"
"08/01/2018","77.64","74.25","78.32","70.67","3.46M","4.62%"
"07/01/2018","74.21","78.56","79.25","71.30","3.86M","-6.34%"
"06/01/2018","79.23","77.44","79.56","72.11","5.31M","2.15%"
"05/01/2018","77.56","74.16","80.50","71.99","5.43M","3.84%"
"04/01/2018","74.69","68.84","75.61","66.29","4.63M","7.72%"
"03/01/2018","69.34","64.26","70.40","62.92","5.31M","7.12%"
"02/01/2018","64.73","68.59","69.72","61.48","4.21M","-6.04%"
"01/01/2018","68.89","66.23","70.78","65.82","4.41M","3.69%"
"12/01/2017","66.44","62.43","66.54","60.94","3.80M","6.08%"
"11/01/2017","62.63","60.78","64.41","59.75","4.90M","2.77%"
"10/01/2017","60.94","56.54","61.19","54.85","4.81M","7.31%"
"09/01/2017","56.79","52.78","58.88","52.01","6.18M","7.43%"
"08/01/2017","52.86","52.86","53.47","49.81","5.24M","0.27%"
"07/01/2017","52.72","49.41","52.90","46.39","4.05M","8.10%"
"06/01/2017","48.77","51.50","51.78","44.60","5.70M","-3.92%"
