"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","73.61","69.92","74.55","67.51","458.71K","5.17%"
"08/01/2024","69.99","68.96","71.36","66.26","413.92K","1.45%"
"07/01/2024","68.99","72.05","73.08","67.50","270.94K","-4.15%"
"06/01/2024","71.98","76.37","76.37","70.83","1.15K","-6.01%"
"05/01/2024","76.58","78.52","81.90","74.93","153.49K","-2.36%"
"04/01/2024","78.43","92.14","93.44","78.03","559.32K","-14.72%"
"03/01/2024","91.97","99.50","100.30","91.14","294.51K","-7.63%"
"02/01/2024","99.57","86.39","103.80","86.00","619.11K","15.23%"
"01/01/2024","86.41","81.77","87.07","80.77","253.90K","5.19%"
"12/01/2023","82.15","80.02","83.45","78.59","154.51K","2.61%"
"11/01/2023","80.06","83.57","83.72","77.66","437.51K","-4.13%"
"10/01/2023","83.51","87.30","88.93","83.49","285.78K","-4.18%"
"09/01/2023","87.15","87.84","90.00","85.16","405.26K","-0.76%"
"08/01/2023","87.82","84.96","88.83","83.25","403.41K","3.66%"
"07/01/2023","84.72","82.15","88.39","78.97","379.74K","3.85%"
"06/01/2023","81.58","81.90","86.42","76.19","0.54K","1.58%"
"05/01/2023","80.31","80.55","85.28","78.56","111.40K","-0.61%"
"04/01/2023","80.80","83.73","85.23","77.68","368.48K","-2.77%"
"03/01/2023","83.10","84.03","86.25","76.34","278.04K","-1.11%"
"02/01/2023","84.03","86.70","87.90","80.88","371.99K","-3.36%"
"01/01/2023","86.95","83.45","89.31","80.46","177.59K","4.19%"
"12/01/2022","83.45","84.76","88.80","78.82","151.32K","-1.37%"
"11/01/2022","84.61","71.95","89.92","71.69","391.24K","18.10%"
"10/01/2022","71.64","85.39","90.52","70.10","254.82K","-16.05%"
"09/01/2022","85.34","113.00","113.20","83.60","360.88K","-24.62%"
"08/01/2022","113.21","96.58","119.59","91.60","362.45K","17.03%"
"07/01/2022","96.74","106.64","106.79","82.54","229.76K","-8.42%"
"06/01/2022","105.64","127.00","132.95","98.52","1.95K","-18.79%"
"05/01/2022","130.08","145.70","155.95","129.96","85.32K","-10.68%"
"04/01/2022","145.63","132.28","151.10","130.25","349.72K","10.27%"
"03/01/2022","132.07","119.00","137.99","112.71","271.02K","10.87%"
"02/01/2022","119.12","123.00","125.83","115.86","332.19K","-3.21%"
"01/01/2022","123.07","110.48","123.69","110.43","152.02K","11.40%"
"12/01/2021","110.48","105.97","112.33","102.50","165.12K","3.82%"
"11/01/2021","106.41","111.45","118.50","106.41","386.26K","-4.32%"
"10/01/2021","111.22","105.80","113.93","101.31","288.94K","5.12%"
"09/01/2021","105.80","92.53","105.93","88.95","412.13K","14.34%"
"08/01/2021","92.53","89.44","96.71","89.01","346.25K","3.51%"
"07/01/2021","89.39","85.93","91.00","85.65","250.45K","4.54%"
"06/01/2021","85.51","84.56","89.59","84.24","0.74K","2.06%"
"05/01/2021","83.78","88.40","90.89","81.80","44.39K","-4.88%"
"04/01/2021","88.08","82.17","91.66","78.97","370.98K","7.19%"
"03/01/2021","82.17","89.20","92.80","78.15","285.95K","-7.50%"
"02/01/2021","88.83","81.93","95.60","81.06","436.88K","8.54%"
"01/01/2021","81.84","78.78","83.91","78.78","192.83K","3.99%"
"12/01/2020","78.70","72.32","78.95","71.07","151.44K","9.08%"
"11/01/2020","72.15","69.70","74.27","68.91","368.37K","3.40%"
"10/01/2020","69.78","65.79","73.27","64.86","248.70K","6.06%"
"09/01/2020","65.79","65.09","66.93","63.40","325.22K","0.97%"
"08/01/2020","65.16","62.60","66.45","62.01","304.69K","3.99%"
"07/01/2020","62.66","61.68","65.09","59.51","179.03K","1.92%"
"06/01/2020","61.48","57.94","62.05","57.24","0.51K","7.35%"
"05/01/2020","57.27","57.25","59.01","53.20","50.40K","-0.10%"
"04/01/2020","57.33","50.56","57.98","48.15","389.24K","12.63%"
"03/01/2020","50.90","62.45","65.07","48.85","364.30K","-17.22%"
"02/01/2020","61.49","68.10","70.24","60.18","485.71K","-9.98%"
"01/01/2020","68.31","70.43","73.08","68.20","202.71K","-2.66%"
"12/01/2019","70.18","65.36","70.84","64.02","185.21K","7.37%"
"11/01/2019","65.36","65.84","66.93","63.70","440.66K","-0.79%"
"10/01/2019","65.88","60.96","67.13","60.20","280.41K","8.30%"
"09/01/2019","60.83","58.65","63.39","57.55","317.79K","3.40%"
"08/01/2019","58.83","63.75","63.90","56.59","356.54K","-7.85%"
"07/01/2019","63.84","67.03","67.86","61.66","202.10K","-2.90%"
"06/01/2019","65.75","67.56","68.85","64.65","0.65K","-2.98%"
"05/01/2019","67.77","76.65","76.87","65.69","130.39K","-11.73%"
"04/01/2019","76.78","78.00","79.57","76.30","377.85K","-1.95%"
"03/01/2019","78.31","72.72","78.87","72.60","227.32K","7.54%"
"02/01/2019","72.82","75.39","75.94","71.01","379.67K","-3.75%"
"01/01/2019","75.66","73.72","76.14","72.12","151.68K","2.94%"
"12/01/2018","73.50","80.00","81.91","73.14","158.08K","-6.86%"
"11/01/2018","78.91","78.30","82.00","77.18","378.35K","0.78%"
"10/01/2018","78.30","76.25","81.57","75.37","239.15K","2.53%"
"09/01/2018","76.37","82.69","83.93","76.27","304.55K","-7.12%"
"08/01/2018","82.22","89.39","89.98","80.60","372.76K","-8.23%"
"07/01/2018","89.59","86.00","89.82","82.71","206.99K","5.19%"
"06/01/2018","85.17","93.00","95.64","83.95","0.78K","-8.76%"
"05/01/2018","93.35","83.88","95.04","80.88","112.53K","11.34%"
"04/01/2018","83.84","82.10","85.39","78.55","448.55K","2.49%"
"03/01/2018","81.80","82.71","86.60","80.67","254.13K","-1.36%"
"02/01/2018","82.93","78.33","83.05","76.44","426.08K","5.83%"
"01/01/2018","78.36","78.92","84.45","77.53","246.49K","-0.76%"
"12/01/2017","78.96","72.81","79.39","72.14","162.27K","8.45%"
"11/01/2017","72.81","68.53","73.46","68.06","458.13K","6.54%"
"10/01/2017","68.34","68.80","69.97","66.75","200.89K","-0.16%"
"09/01/2017","68.45","71.00","75.75","67.86","343.27K","-3.50%"
"08/01/2017","70.93","68.86","71.20","66.64","344.46K","3.01%"
"07/01/2017","68.86","70.50","70.53","66.28","207.37K","-2.13%"
"06/01/2017","70.36","75.69","75.75","66.34","0.67K","-6.24%"
"05/01/2017","75.04","78.82","79.92","73.29","70.22K","-4.86%"
"04/01/2017","78.87","78.56","79.74","75.35","373.03K","0.36%"
"03/01/2017","78.59","76.57","79.80","76.17","235.20K","2.95%"
"02/01/2017","76.34","75.57","78.45","75.05","362.70K","0.98%"
"01/01/2017","75.60","71.62","75.82","71.55","150.30K","6.45%"
"12/01/2016","71.02","71.65","72.57","69.74","116.45K","-0.78%"
"11/01/2016","71.58","69.21","72.75","68.30","407.28K","3.19%"
"10/01/2016","69.37","68.10","72.00","66.85","179.07K","1.89%"
"09/01/2016","68.08","65.50","72.36","65.45","322.86K","3.81%"
"08/01/2016","65.58","74.05","77.98","65.41","405.87K","-11.43%"
"07/01/2016","74.04","64.62","75.00","64.45","398.92K","14.58%"
"06/01/2016","64.62","63.99","67.49","63.30","1.13K","0.98%"
"05/01/2016","63.99","63.81","64.65","60.86","90.11K","0.34%"
"04/01/2016","63.77","58.29","64.75","57.99","435.22K","9.36%"
"03/01/2016","58.31","56.68","58.81","55.46","191.07K","3.20%"
"02/01/2016","56.50","61.51","62.85","54.53","394.51K","-8.28%"
"01/01/2016","61.60","64.17","64.30","61.25","117.53K","-3.92%"
"12/01/2015","64.11","62.74","65.80","62.73","140.91K","2.35%"
"11/01/2015","62.64","63.00","64.16","61.45","357.74K","-0.57%"
"10/01/2015","63.00","60.30","64.50","59.90","178.30K","4.24%"
"09/01/2015","60.44","62.96","64.20","59.70","286.13K","-4.06%"
"08/01/2015","63.00","64.11","67.00","61.20","429.40K","-1.88%"
"07/01/2015","64.21","68.60","68.60","63.27","213.00K","-6.82%"
"06/01/2015","68.91","65.92","69.13","64.27","0.60K","5.53%"
"05/01/2015","65.30","67.99","68.91","64.46","59.12K","-3.80%"
"04/01/2015","67.88","63.21","68.07","62.35","383.77K","6.97%"
"03/01/2015","63.46","64.53","65.03","60.50","169.70K","-2.26%"
"02/01/2015","64.93","60.03","66.24","59.59","352.59K","8.18%"
"01/01/2015","60.02","61.00","61.78","57.95","99.08K","-1.72%"
"12/01/2014","61.07","59.95","63.40","58.97","118.10K","1.65%"
"11/01/2014","60.08","62.92","63.70","58.53","309.71K","-4.51%"
"10/01/2014","62.92","61.37","65.29","61.15","186.68K","2.53%"
"09/01/2014","61.37","66.26","68.48","60.83","308.82K","-7.81%"
"08/01/2014","66.57","62.74","67.72","62.02","241.55K","5.89%"
"07/01/2014","62.87","73.10","73.28","62.32","205.21K","-14.32%"
"06/01/2014","73.38","77.07","78.30","73.00","0.68K","-4.86%"
"05/01/2014","77.13","94.18","95.10","77.00","43.77K","-18.20%"
"04/01/2014","94.29","92.91","94.58","90.02","257.49K","0.79%"
"03/01/2014","93.55","87.40","96.76","86.82","159.84K","7.36%"
"02/01/2014","87.14","86.28","90.44","85.34","282.68K","0.94%"
"01/01/2014","86.33","84.40","88.62","82.60","116.82K","2.29%"
"12/01/2013","84.40","78.92","84.83","78.20","87.78K","6.36%"
"11/01/2013","79.35","79.19","80.52","76.65","263.82K","0.19%"
"10/01/2013","79.20","87.23","87.78","79.12","185.44K","-9.18%"
"09/01/2013","87.21","83.57","87.50","82.11","187.88K","4.46%"
"08/01/2013","83.49","85.20","93.72","82.43","360.19K","-1.98%"
"07/01/2013","85.18","85.17","87.45","83.58","174.52K","-0.50%"
"06/01/2013","85.61","82.95","90.69","81.95","0.94K","4.54%"
