"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","441.25","400.50","444.50","397.00","2.42M","10.04%"
"08/01/2024","401.00","399.75","409.00","385.00","4.42M","0.31%"
"07/01/2024","399.75","407.50","423.75","390.75","3.49M","-1.90%"
"06/01/2024","407.50","453.00","465.25","399.50","2.88M","-10.24%"
"05/01/2024","454.00","446.75","483.75","443.75","3.03M","1.62%"
"04/01/2024","446.75","454.50","454.50","435.75","3.54M","-1.71%"
"03/01/2024","454.50","429.25","460.00","422.00","2.32M","5.82%"
"02/01/2024","429.50","458.50","459.50","408.75","3.17M","-6.32%"
"01/01/2024","458.50","483.00","483.75","447.50","1.31M","-5.27%"
"12/01/2023","484.00","482.00","496.00","477.50","1.51M","0.26%"
"11/01/2023","482.75","493.00","496.50","470.50","3.22M","-2.08%"
"10/01/2023","493.00","492.25","521.50","491.25","1.31M","0.25%"
"09/01/2023","491.75","478.00","504.75","473.50","1.62M","2.82%"
"08/01/2023","478.25","513.25","523.25","473.50","3.56M","-6.77%"
"07/01/2023","513.00","486.25","572.25","474.00","3.02M","5.02%"
"06/01/2023","488.50","516.00","624.75","486.50","2.80M","-5.38%"
"05/01/2023","516.25","584.50","600.00","486.25","2.44M","-11.75%"
"04/01/2023","585.00","635.00","647.50","572.00","2.93M","-8.02%"
"03/01/2023","636.00","631.00","642.75","604.00","2.81M","0.91%"
"02/01/2023","630.25","677.00","684.75","630.00","2.69M","-6.97%"
"01/01/2023","677.50","677.00","686.00","648.25","1.12M","-0.07%"
"12/01/2022","678.00","666.75","684.00","635.00","1.53M","1.65%"
"11/01/2022","667.00","694.00","703.00","653.50","2.56M","-4.27%"
"10/01/2022","696.75","686.00","711.75","679.00","1.15M","1.86%"
"09/01/2022","684.00","670.00","702.75","654.00","1.67M","2.01%"
"08/01/2022","670.50","623.75","683.75","587.50","3.53M","8.15%"
"07/01/2022","620.00","633.75","667.00","561.75","2.37M","-1.39%"
"06/01/2022","628.75","725.00","754.25","627.75","2.10M","-13.28%"
"05/01/2022","725.00","805.00","813.75","719.75","1.61M","-10.88%"
"04/01/2022","813.50","733.00","824.50","718.25","2.71M","10.98%"
"03/01/2022","733.00","694.25","782.75","692.75","2.53M","6.12%"
"02/01/2022","690.75","624.50","716.25","610.50","3.17M","10.61%"
"01/01/2022","624.50","600.75","640.50","586.75","1.31M","4.96%"
"12/01/2021","595.00","568.75","619.50","567.25","1.62M","4.85%"
"11/01/2021","567.50","576.00","596.75","557.50","2.96M","-1.52%"
"10/01/2021","576.25","544.00","577.00","516.25","1.07M","5.83%"
"09/01/2021","544.50","534.75","555.75","497.50","1.86M","1.92%"
"08/01/2021","534.25","545.00","594.25","525.25","3.72M","-2.02%"
"07/01/2021","545.25","605.00","626.00","520.75","2.24M","-9.01%"
"06/01/2021","599.25","585.00","649.25","528.00","2.19M","4.54%"
"05/01/2021","573.25","685.00","735.25","525.00","2.58M","-14.85%"
"04/01/2021","673.25","556.00","684.00","537.25","3.65M","22.97%"
"03/01/2021","547.50","552.75","556.25","518.25","2.26M","0.00%"
"02/01/2021","547.50","549.25","572.00","523.25","2.98M","0.00%"
"01/01/2021","547.50","486.00","553.75","480.25","1.81M","13.30%"
"12/01/2020","483.25","426.50","484.75","414.50","1.93M","13.44%"
"11/01/2020","426.00","401.00","439.50","397.50","3.39M","5.64%"
"10/01/2020","403.25","387.75","422.25","386.50","1.96M","3.86%"
"09/01/2020","388.25","356.25","391.75","351.00","2.11M","8.53%"
"08/01/2020","357.75","326.00","364.25","320.00","4.37M","9.40%"
"07/01/2020","327.00","340.75","355.00","325.50","2.92M","-4.25%"
"06/01/2020","341.50","329.75","345.75","315.75","2.97M","3.48%"
"05/01/2020","330.00","319.50","334.00","312.25","1.55M","3.13%"
"04/01/2020","320.00","346.25","347.50","309.00","3.14M","-7.51%"
"03/01/2020","346.00","368.25","386.75","338.25","2.89M","-6.04%"
"02/01/2020","368.25","386.00","389.50","365.75","2.93M","-4.72%"
"01/01/2020","386.50","394.50","398.75","382.25","1.00M","-2.09%"
"12/01/2019","394.75","381.50","398.50","371.00","1.56M","3.54%"
"11/01/2019","381.25","398.25","400.00","373.00","3.08M","-4.39%"
"10/01/2019","398.75","398.25","411.75","389.75","1.37M","-0.19%"
"09/01/2019","399.50","369.50","399.75","352.25","2.09M","8.05%"
"08/01/2019","369.75","411.25","424.50","364.25","5.05M","-9.82%"
"07/01/2019","410.00","429.00","464.75","409.50","3.37M","-3.47%"
"06/01/2019","424.75","435.25","468.75","416.50","3.32M","-2.58%"
"05/01/2019","436.00","362.50","447.25","343.00","3.75M","20.28%"
"04/01/2019","362.50","367.50","375.25","351.50","4.01M","-1.02%"
"03/01/2019","366.25","370.75","390.00","361.00","2.97M","-1.21%"
"02/01/2019","370.75","385.25","389.75","370.00","3.64M","-3.76%"
"01/01/2019","385.25","383.00","392.25","379.75","1.11M","0.59%"
"12/01/2018","383.00","383.50","394.00","380.00","1.82M","1.39%"
"11/01/2018","377.75","375.75","390.00","367.25","3.42M","0.53%"
"10/01/2018","375.75","368.50","390.50","368.50","1.46M","2.11%"
"09/01/2018","368.00","365.50","378.25","348.75","2.14M","0.82%"
"08/01/2018","365.00","386.25","388.00","355.25","4.18M","-5.56%"
"07/01/2018","386.50","360.75","388.50","337.25","2.73M","7.51%"
"06/01/2018","359.50","403.00","406.00","348.25","2.85M","-10.85%"
"05/01/2018","403.25","401.00","420.75","394.25","2.59M","0.62%"
"04/01/2018","400.75","397.25","404.00","380.50","3.75M","1.14%"
