"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","23.31","22.46","24.46","22.34","17.63K","4.02%"
"08/01/2024","22.41","21.24","22.88","19.70","21.96K","5.46%"
"07/01/2024","21.25","19.45","21.83","19.32","13.69K","9.25%"
"06/01/2024","19.45","19.47","21.17","19.21","15.23K","0.36%"
"05/01/2024","19.38","18.66","21.82","18.40","23.18K","5.44%"
"04/01/2024","18.38","15.58","18.40","15.43","23.88K","18.12%"
"03/01/2024","15.56","17.17","17.17","15.46","18.24K","-9.38%"
"02/01/2024","17.17","16.92","18.07","16.70","16.32K","1.54%"
"01/01/2024","16.91","15.47","17.20","15.28","17.61K","9.59%"
"12/01/2023","15.43","16.25","17.03","15.32","14.67K","-4.69%"
"11/01/2023","16.19","17.06","17.69","16.14","15.21K","-5.82%"
"10/01/2023","17.19","16.85","18.85","16.76","16.11K","1.84%"
"09/01/2023","16.88","19.15","19.48","16.66","14.05K","-11.62%"
"08/01/2023","19.10","17.69","19.19","17.08","14.41K","7.97%"
"07/01/2023","17.69","14.93","17.99","14.21","17.53K","19.04%"
"06/01/2023","14.86","16.10","16.75","14.32","15.88K","-3.57%"
"05/01/2023","15.41","16.89","17.29","15.35","14.33K","-8.38%"
"04/01/2023","16.82","19.05","19.06","16.46","10.32K","-11.94%"
"03/01/2023","19.10","17.74","20.05","17.38","12.54K","5.93%"
"02/01/2023","18.03","17.52","18.23","17.35","8.87K","1.07%"
"01/01/2023","17.84","19.40","19.56","17.82","11.20K","-8.70%"
"12/01/2022","19.54","19.42","20.25","18.65","10.82K","0.62%"
"11/01/2022","19.42","20.54","22.00","18.85","11.59K","-5.13%"
"10/01/2022","20.47","21.60","22.45","20.15","8.20K","-5.89%"
"09/01/2022","21.75","19.84","22.20","19.28","11.06K","9.35%"
"08/01/2022","19.89","20.24","21.10","19.05","10.46K","-2.55%"
"07/01/2022","20.41","22.75","22.75","19.94","8.15K","-10.56%"
"06/01/2022","22.82","24.50","25.25","22.30","10.55K","-7.12%"
"05/01/2022","24.57","24.33","24.96","23.34","8.63K","0.41%"
"04/01/2022","24.47","24.45","25.79","23.70","9.52K","0.00%"
