"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","244.90","237.75","247.20","229.57","141.25K","3.01%"
"08/01/2024","237.75","257.00","257.12","232.80","165.63K","-7.53%"
"07/01/2024","257.10","259.40","264.30","253.85","95.22K","-0.98%"
"06/01/2024","259.65","258.50","264.07","252.18","44.43K","0.59%"
"05/01/2024","258.12","255.18","266.12","249.05","125.55K","1.03%"
"04/01/2024","255.50","248.00","261.80","232.62","163.06K","3.39%"
"03/01/2024","247.12","254.30","258.32","243.80","112.51K","-2.60%"
"02/01/2024","253.72","246.82","260.80","246.82","101.64K","3.08%"
"01/01/2024","246.15","223.10","247.65","222.95","130.07K","10.33%"
"12/01/2023","223.10","222.60","227.18","210.62","121.49K","0.24%"
"11/01/2023","222.57","237.95","242.38","215.60","142.07K","-6.17%"
"10/01/2023","237.20","255.43","258.23","233.35","143.25K","-6.94%"
"09/01/2023","254.90","255.78","264.68","251.62","142.41K","0.64%"
"08/01/2023","253.28","249.03","255.22","245.88","115.01K","1.64%"
"07/01/2023","249.20","250.40","254.32","244.15","94.60K","-0.65%"
"06/01/2023","250.82","241.12","251.28","230.25","71.75K","3.55%"
"05/01/2023","242.22","230.53","242.95","221.15","137.58K","4.98%"
"04/01/2023","230.72","204.60","232.22","201.82","125.39K","12.41%"
"03/01/2023","205.25","195.00","206.85","192.65","144.58K","5.22%"
"02/01/2023","195.07","190.32","195.45","187.15","93.08K","2.64%"
"01/01/2023","190.05","186.10","190.30","179.18","124.35K","2.06%"
"12/01/2022","186.22","183.57","187.30","182.88","94.23K","1.51%"
"11/01/2022","183.45","179.40","185.35","176.32","119.45K","2.23%"
"10/01/2022","179.45","174.53","181.62","172.10","105.20K","2.77%"
"09/01/2022","174.62","183.43","187.00","174.38","120.78K","-4.82%"
"08/01/2022","183.47","182.30","187.78","180.55","111.58K","1.06%"
"07/01/2022","181.55","176.15","184.90","173.15","88.95K","3.02%"
"06/01/2022","176.22","168.35","178.43","168.03","57.15K","4.82%"
"05/01/2022","168.12","170.35","177.50","162.80","107.27K","-0.10%"
"04/01/2022","168.28","166.78","170.90","156.85","106.19K","4.26%"
"03/01/2022","161.40","160.00","165.00","154.28","93.26K","-0.37%"
"02/01/2022","162.00","169.00","173.97","159.90","82.62K","-3.83%"
"01/01/2022","168.45","169.35","170.70","158.22","106.51K","-0.88%"
"12/01/2021","169.95","166.53","170.82","159.90","96.49K","2.07%"
"11/01/2021","166.50","155.90","169.07","150.78","92.49K","6.65%"
"10/01/2021","156.12","153.60","162.47","152.55","86.44K","2.34%"
"09/01/2021","152.55","167.85","169.25","151.93","106.97K","-9.06%"
"08/01/2021","167.75","162.18","169.62","160.05","101.32K","3.68%"
"07/01/2021","161.80","155.75","165.53","155.10","73.10K","2.78%"
"06/01/2021","157.43","151.70","161.75","148.03","44.07K","2.54%"
"05/01/2021","153.53","146.05","158.72","141.53","98.44K","4.62%"
"04/01/2021","146.75","149.32","153.28","133.47","98.07K","-1.77%"
"03/01/2021","149.40","142.25","153.47","137.22","105.91K","4.79%"
"02/01/2021","142.57","140.90","145.80","140.05","64.72K","1.29%"
"01/01/2021","140.75","139.68","144.85","132.68","104.03K","0.38%"
"12/01/2020","140.22","140.00","143.70","137.25","92.83K","0.18%"
"11/01/2020","139.97","134.00","141.50","132.45","85.51K","4.36%"
"10/01/2020","134.12","141.90","142.40","127.90","98.08K","-5.58%"
"09/01/2020","142.05","140.62","144.55","137.25","106.68K","1.02%"
