"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","2,647.90","2,509.00","2,684.00","2,479.80","166.00K","5.73%"
"08/01/2024","2,504.50","2,458.80","2,538.70","2,373.80","34.22K","2.71%"
"07/01/2024","2,438.50","2,336.20","2,488.40","2,327.40","4.31M","4.23%"
"06/01/2024","2,339.60","2,335.00","2,394.30","2,292.90","288.86K","0.24%"
"05/01/2024","2,333.90","2,298.20","2,454.20","2,285.20","4.54M","1.35%"
"04/01/2024","2,302.90","2,243.50","2,436.60","2,238.50","441.98K","3.40%"
"03/01/2024","2,227.10","2,052.80","2,243.50","2,047.00","4.74M","8.39%"
"02/01/2024","2,054.70","2,047.70","2,072.90","1,987.20","384.71K","-0.13%"
"01/01/2024","2,057.40","2,072.70","2,088.10","2,004.00","3.84M","-0.70%"
"12/01/2023","2,071.80","2,049.00","2,140.70","1,979.00","251.34K","1.18%"
"11/01/2023","2,047.60","1,993.30","2,062.30","1,935.60","3.66M","2.67%"
"10/01/2023","1,994.30","1,853.90","2,017.70","1,815.30","407.80K","7.40%"
"09/01/2023","1,856.90","1,947.90","1,961.10","1,853.40","108.97K","-4.63%"
"08/01/2023","1,947.00","1,974.30","1,974.40","1,886.30","28.06K","-1.65%"
"07/01/2023","1,979.60","1,927.80","1,989.80","1,908.50","3.69M","2.60%"
"06/01/2023","1,929.40","1,972.30","1,991.40","1,900.60","400.44K","-2.21%"
"05/01/2023","1,973.10","2,000.20","2,085.40","1,936.00","4.50M","-1.30%"
"04/01/2023","1,999.10","1,982.60","2,053.00","1,956.90","390.19K","1.12%"
"03/01/2023","1,977.00","1,834.00","2,014.90","1,813.40","5.21M","7.64%"
"02/01/2023","1,836.70","1,935.10","1,966.30","1,808.80","333.53K","-5.16%"
"01/01/2023","1,936.60","1,831.80","1,949.80","1,829.90","3.75M","6.05%"
"12/01/2022","1,826.20","1,778.40","1,834.10","1,771.60","224.16K","4.16%"
"11/01/2022","1,753.20","1,636.10","1,791.80","1,618.30","3.96M","6.86%"
"10/01/2022","1,640.70","1,667.90","1,731.50","1,618.10","336.26K","-1.59%"
"09/01/2022","1,667.20","1,713.10","1,736.40","1,613.00","194.50K","-2.89%"
"08/01/2022","1,716.90","1,767.70","1,809.10","1,711.70","40.58K","-2.83%"
"07/01/2022","1,766.90","1,808.10","1,815.20","1,678.40","3.70M","-2.24%"
"06/01/2022","1,807.30","1,837.10","1,879.50","1,802.50","376.84K","-2.05%"
"05/01/2022","1,845.20","1,896.20","1,910.70","1,785.00","3.51M","-3.48%"
"04/01/2022","1,911.70","1,939.30","2,000.00","1,870.90","365.12K","-2.02%"
"03/01/2022","1,951.10","1,908.40","2,078.80","1,888.30","4.59M","2.65%"
"02/01/2022","1,900.70","1,798.10","1,975.00","1,787.80","501.22K","5.83%"
"01/01/2022","1,796.00","1,830.10","1,854.20","1,779.70","3.98M","-1.78%"
"12/01/2021","1,828.60","1,776.00","1,831.40","1,754.30","234.05K","3.01%"
"11/01/2021","1,775.10","1,785.30","1,879.50","1,758.50","4.35M","-0.49%"
