"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","4.5245","4.1680","4.7360","4.0000","18.84K","8.58%"
"08/01/2024","4.1670","4.1945","4.2535","3.9210","1.09M","-0.23%"
"07/01/2024","4.1765","4.3745","4.6965","4.0300","131.89K","-4.75%"
"06/01/2024","4.3850","4.6250","4.6960","4.3240","1.08M","-4.72%"
"05/01/2024","4.6020","4.5355","5.1870","4.4685","186.83K","0.85%"
"04/01/2024","4.5630","4.0310","4.6910","4.0250","2.29M","13.88%"
"03/01/2024","4.0070","3.8410","4.1490","3.8120","170.86K","4.32%"
"02/01/2024","3.8410","3.8965","3.9085","3.6550","1.56M","-1.66%"
"01/01/2024","3.9060","3.8865","3.9470","3.7200","221.73K","0.59%"
"12/01/2023","3.8830","3.8430","3.9585","3.7140","12.29K","1.30%"
"11/01/2023","3.8330","3.6530","3.8455","3.5800","1.55M","5.04%"
"10/01/2023","3.6490","3.7225","3.7455","3.5110","173.82K","-2.21%"
"09/01/2023","3.7315","3.8100","3.8810","3.5990","11.61K","-1.65%"
"08/01/2023","3.7940","4.0155","4.0240","3.6270","1.55M","-5.34%"
"07/01/2023","4.0080","3.7575","4.0170","3.7180","182.63K","6.84%"
"06/01/2023","3.7515","3.6670","3.9670","3.6450","1.42M","3.15%"
"05/01/2023","3.6370","3.8900","3.9975","3.5395","164.04K","-6.40%"
"04/01/2023","3.8855","4.0910","4.1955","3.8150","1.20M","-5.10%"
"03/01/2023","4.0945","4.0750","4.1765","3.8265","153.33K","0.02%"
"02/01/2023","4.0935","4.2235","4.2370","3.9400","1.47M","-3.14%"
"01/01/2023","4.2260","3.8350","4.3500","3.7180","157.49K","10.92%"
"12/01/2022","3.8100","3.7935","3.9350","3.7260","12.19K","1.91%"
"11/01/2022","3.7385","3.3800","3.9600","3.3780","1.48M","10.77%"
"10/01/2022","3.3750","3.4225","3.6030","3.3350","146.48K","-1.60%"
"09/01/2022","3.4300","3.5040","3.7050","3.2840","8.20K","-2.53%"
"08/01/2022","3.5190","3.5750","3.7830","3.4160","1.24M","-1.53%"
"07/01/2022","3.5735","3.6825","3.7010","3.1350","148.98K","-3.74%"
"06/01/2022","3.7125","4.2855","4.5770","3.6400","1.15M","-13.58%"
"05/01/2022","4.2960","4.3885","4.4305","4.0400","113.52K","-2.44%"
"04/01/2022","4.4035","4.7255","4.8600","4.3705","883.50K","-7.31%"
"03/01/2022","4.7510","4.5050","5.0340","4.4650","100.75K","6.74%"
"02/01/2022","4.4510","4.3300","4.7085","4.3110","1.19M","2.93%"
"01/01/2022","4.3245","4.4755","4.5880","4.2820","164.31K","-3.04%"
"12/01/2021","4.4600","4.3125","4.4860","4.1180","11.48K","4.23%"
"11/01/2021","4.2790","4.3775","4.5005","4.1915","1.18M","-2.04%"
"10/01/2021","4.3680","4.1170","4.8010","4.0600","147.30K","6.81%"
"09/01/2021","4.0895","4.3565","4.4575","4.0270","9.49K","-6.34%"
"08/01/2021","4.3665","4.4935","4.5315","3.9615","1.18M","-2.59%"
"07/01/2021","4.4825","4.2970","4.6220","4.1780","131.39K","4.41%"
"06/01/2021","4.2930","4.6755","4.7070","4.0880","1.72M","-8.22%"
"05/01/2021","4.6775","4.4700","4.8980","4.4425","208.86K","4.53%"
"04/01/2021","4.4750","3.9840","4.5520","3.9435","1.38M","12.00%"
"03/01/2021","3.9955","4.1045","4.2300","3.8565","144.51K","-2.44%"
"02/01/2021","4.0955","3.5555","4.3705","3.5000","1.67M","15.17%"
"01/01/2021","3.5560","3.5335","3.7315","3.4910","216.51K","1.11%"
"12/01/2020","3.5170","3.4430","3.6400","3.4300","12.63K","2.63%"
"11/01/2020","3.4270","3.0430","3.4910","3.0280","1.38M","12.45%"
"10/01/2020","3.0475","3.0270","3.2105","2.8365","145.57K","0.59%"
"09/01/2020","3.0295","3.0385","3.1135","2.9165","7.17K","-0.61%"
"08/01/2020","3.0480","2.8665","3.0510","2.7690","1.44M","6.28%"
"07/01/2020","2.8680","2.7245","2.9830","2.7060","160.90K","5.44%"
"06/01/2020","2.7200","2.4300","2.7270","2.4235","1.36M","12.14%"
