"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","2.1544","2.2956","2.3090","2.0584","1.06M","-5.44%"
"08/01/2024","2.2783","2.4727","2.4824","2.2436","1.16M","-6.56%"
"07/01/2024","2.4383","2.5575","2.6696","2.3531","1.19M","-3.74%"
"06/01/2024","2.5331","2.4030","2.6005","2.2817","1.03M","6.25%"
"05/01/2024","2.3842","2.5241","2.5415","2.3707","1.01M","-5.67%"
"04/01/2024","2.5276","2.6189","2.7827","2.4899","1.16M","-3.63%"
"03/01/2024","2.6227","2.5943","2.7666","2.5483","1.07M","-1.03%"
"02/01/2024","2.6499","2.7316","2.8814","2.5845","1.31M","-4.86%"
"01/01/2024","2.7852","2.5363","2.8557","2.4740","1.28M","10.13%"
"12/01/2023","2.5289","2.7034","2.7376","2.4595","849.45K","-8.18%"
"11/01/2023","2.7542","2.8763","2.9713","2.6460","1.09M","-5.35%"
"10/01/2023","2.9100","3.1619","3.2024","2.7683","1.15M","-11.83%"
"09/01/2023","3.3006","3.0333","3.4178","3.0284","1.17M","6.02%"
"08/01/2023","3.1131","2.9597","3.2966","2.9174","1.19M","4.27%"
"07/01/2023","2.9855","2.4351","3.0054","2.3731","1.00M","21.98%"
"06/01/2023","2.4476","2.2451","2.5081","2.2382","960.63K","8.74%"
"05/01/2023","2.2509","2.3747","2.4288","2.1550","805.71K","-5.31%"
"04/01/2023","2.3771","2.6893","2.7095","2.3261","927.12K","-9.29%"
"03/01/2023","2.6206","2.7439","2.8594","2.4238","1.09M","-6.59%"
"02/01/2023","2.8056","3.0349","3.0487","2.6350","906.49K","-10.79%"
"01/01/2023","3.1448","3.1665","3.4664","2.8500","1.07M","-4.56%"
"12/01/2022","3.2950","3.2854","3.3543","2.7517","890.52K","-2.04%"
"11/01/2022","3.3635","3.5050","3.7173","3.1082","815.80K","-8.45%"
"10/01/2022","3.6741","3.1728","3.8315","3.1728","1.07M","14.05%"
"09/01/2022","3.2216","3.5892","3.6996","3.0287","962.34K","-12.16%"
"08/01/2022","3.6674","3.5103","4.0392","3.1167","849.24K","3.34%"
"07/01/2022","3.5490","3.7914","3.9461","3.2946","787.16K","-7.35%"
"06/01/2022","3.8305","3.9198","4.4898","3.7448","923.82K","-2.66%"
"05/01/2022","3.9350","3.6726","4.1647","3.4274","840.31K","-2.05%"
"04/01/2022","4.0172","3.2349","4.1771","3.0583","702.88K","19.53%"
"03/01/2022","3.3609","2.8533","4.3138","2.8450","938.25K","14.66%"
"02/01/2022","2.9313","2.6400","3.0064","2.5923","1.30M","7.94%"
"01/01/2022","2.7157","2.3141","2.7754","2.2977","1.48M","16.79%"
"12/01/2021","2.3253","2.0805","2.3950","1.9974","850.38K","12.86%"
"11/01/2021","2.0603","2.4627","2.5136","2.0201","1.22M","-16.88%"
"10/01/2021","2.4787","2.3371","2.5983","2.3157","1.28M","6.00%"
"09/01/2021","2.3385","2.1277","2.3662","2.0854","1.03M","9.78%"
"08/01/2021","2.1302","2.1919","2.1950","1.8971","1.11M","-2.98%"
"07/01/2021","2.1956","2.1316","2.2120","1.9641","837.03K","3.16%"
"06/01/2021","2.1283","2.0418","2.1916","2.0404","823.14K","4.42%"
"05/01/2021","2.0383","1.9260","2.0777","1.9100","853.04K","6.03%"
"04/01/2021","1.9224","1.7779","1.9756","1.7516","860.75K","8.62%"
"03/01/2021","1.7698","1.8436","1.9830","1.7315","1.09M","-3.98%"
"02/01/2021","1.8431","1.5900","1.9130","1.5807","1.25M","15.31%"
