"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","453.85","461.90","506.70","447.25","6.86K","-1.40%"
"08/01/2024","460.30","415.05","488.45","411.40","18.36K","10.49%"
"07/01/2024","416.60","410.80","467.25","409.40","8.90K","0.82%"
"06/01/2024","413.20","430.00","457.65","402.65","15.88K","-2.78%"
"05/01/2024","425.00","364.60","471.50","360.35","10.88K","16.90%"
"04/01/2024","363.55","355.05","378.00","351.75","15.77K","1.17%"
"03/01/2024","359.35","352.90","377.50","342.75","5.81K","0.34%"
"02/01/2024","358.15","350.05","389.20","335.35","16.50K","2.02%"
"01/01/2024","351.05","312.25","352.75","289.85","9.53K","12.32%"
"12/01/2023","312.55","384.85","390.00","310.50","17.01K","-19.32%"
"11/01/2023","387.40","381.50","408.80","344.20","9.27K","0.96%"
"10/01/2023","383.70","336.00","417.00","334.30","14.45K","14.50%"
"09/01/2023","335.10","315.35","350.50","311.00","4.22K","5.20%"
"08/01/2023","318.55","298.65","333.00","282.00","14.23K","6.34%"
"07/01/2023","299.55","253.50","305.00","250.00","8.95K","17.59%"
"06/01/2023","254.75","263.75","269.55","247.70","11.43K","-5.14%"
"05/01/2023","268.55","268.95","277.00","235.20","6.82K","0.00%"
"04/01/2023","268.55","255.50","280.75","254.00","13.52K","4.17%"
"03/01/2023","257.80","254.00","258.95","226.50","7.25K","1.66%"
"02/01/2023","253.60","213.80","256.95","213.55","17.57K","19.37%"
"01/01/2023","212.45","204.30","213.95","198.50","6.11K","4.04%"
"12/01/2022","204.20","194.90","213.85","191.75","14.53K","4.42%"
"11/01/2022","195.55","201.80","219.00","190.60","5.30K","-2.76%"
"10/01/2022","201.10","185.45","210.35","180.45","15.37K","9.38%"
"09/01/2022","183.85","185.00","189.45","163.85","7.65K","-0.81%"
"08/01/2022","185.35","166.10","185.75","162.00","14.70K","11.15%"
"07/01/2022","166.75","173.75","174.00","149.30","4.85K","-3.64%"
"06/01/2022","173.05","172.20","187.00","160.75","16.70K","0.49%"
"05/01/2022","172.20","180.20","187.15","158.00","6.52K","-4.55%"
"04/01/2022","180.40","150.00","189.65","148.25","16.79K","20.27%"
"03/01/2022","150.00","142.65","150.80","135.45","9.60K","5.67%"
"02/01/2022","141.95","143.50","145.00","133.90","17.51K","-1.63%"
"01/01/2022","144.30","140.35","156.75","138.95","8.02K","3.11%"
"12/01/2021","139.95","125.85","140.75","122.25","18.76K","11.69%"
"11/01/2021","125.30","123.05","133.30","116.15","8.25K","1.83%"
"10/01/2021","123.05","135.40","139.15","119.35","16.54K","-9.12%"
"09/01/2021","135.40","137.20","145.05","133.90","5.36K","-1.13%"
"08/01/2021","136.95","134.00","149.95","130.20","16.83K","0.92%"
"07/01/2021","135.70","124.05","144.30","121.20","8.02K","10.19%"
"06/01/2021","123.15","122.00","131.80","118.30","14.92K","1.19%"
"05/01/2021","121.70","112.05","122.40","107.75","9.31K","8.71%"
