"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","267.95","241.95","272.75","235.30","293.76K","9.79%"
"08/01/2024","244.05","228.60","259.45","220.15","494.82K","6.97%"
"07/01/2024","228.15","227.30","255.30","219.05","380.32K","0.60%"
"06/01/2024","226.80","219.95","238.70","216.10","468.07K","2.51%"
"05/01/2024","221.25","214.65","236.60","192.15","429.52K","2.12%"
"04/01/2024","216.65","187.50","245.40","186.75","700.75K","15.21%"
"03/01/2024","188.05","184.85","194.75","178.30","373.11K","2.01%"
"02/01/2024","184.35","190.25","194.05","177.50","483.12K","-3.46%"
"01/01/2024","190.95","186.55","193.20","173.10","298.48K","2.55%"
"12/01/2023","186.20","185.75","200.75","175.05","355.30K","0.81%"
"11/01/2023","184.70","163.75","185.90","157.90","546.76K","12.01%"
"10/01/2023","164.90","147.45","168.05","145.00","313.24K","12.02%"
"09/01/2023","147.20","154.65","164.50","146.05","311.49K","-4.72%"
"08/01/2023","154.50","164.70","167.50","147.20","485.11K","-6.11%"
"07/01/2023","164.55","159.90","165.90","155.05","304.23K","3.49%"
"06/01/2023","159.00","176.65","191.75","157.75","478.29K","-9.58%"
"05/01/2023","175.85","184.15","193.00","173.20","345.12K","-5.43%"
"04/01/2023","185.95","170.25","204.90","170.25","425.80K","9.58%"
"03/01/2023","169.70","184.75","186.40","165.55","383.42K","-8.91%"
"02/01/2023","186.30","180.85","194.15","171.65","447.34K","2.53%"
"01/01/2023","181.70","166.95","182.65","143.00","267.26K","8.83%"
"12/01/2022","166.95","170.00","174.40","154.55","258.43K","-1.74%"
"11/01/2022","169.90","175.35","178.20","154.05","421.97K","-2.38%"
"10/01/2022","174.05","212.00","216.25","165.95","286.43K","-18.11%"
"09/01/2022","212.55","234.60","236.40","210.85","268.84K","-9.65%"
"08/01/2022","235.25","214.00","242.95","202.75","435.35K","10.03%"
"07/01/2022","213.80","231.05","236.05","194.60","321.36K","-7.08%"
"06/01/2022","230.10","231.95","241.75","217.10","420.87K","-0.58%"
"05/01/2022","231.45","221.00","234.05","202.30","329.00K","4.21%"
