"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","2,543.75","2,359.50","2,586.00","2,255.75","1.58K","7.15%"
"08/01/2024","2,374.00","2,229.00","2,415.00","2,147.75","1.61K","7.28%"
"07/01/2024","2,213.00","2,450.75","2,489.50","2,131.75","1.14K","-10.43%"
"06/01/2024","2,470.75","2,616.50","2,622.25","2,420.75","1.55K","-5.18%"
"05/01/2024","2,605.75","2,566.50","2,700.00","2,483.00","1.00K","1.24%"
"04/01/2024","2,573.75","2,313.75","2,668.00","2,308.75","0.91K","11.50%"
"03/01/2024","2,308.25","2,183.00","2,312.00","2,177.00","1.47K","5.22%"
"02/01/2024","2,193.75","2,231.50","2,234.25","2,125.00","1.26K","-2.30%"
"01/01/2024","2,245.50","2,355.75","2,364.75","2,114.50","1.44K","-4.75%"
"12/01/2023","2,357.50","2,181.75","2,370.00","2,086.75","1.84K","8.43%"
"11/01/2023","2,174.25","2,245.50","2,274.50","2,173.00","2.74K","-3.37%"
"10/01/2023","2,250.00","2,353.00","2,368.00","2,144.00","3.02K","-3.99%"
"09/01/2023","2,343.50","2,185.00","2,352.00","2,149.00","3.17K","6.97%"
"08/01/2023","2,190.75","2,246.25","2,246.25","2,084.25","2.10K","-2.70%"
"07/01/2023","2,251.50","2,123.50","2,263.00","2,115.50","1.89K","5.88%"
"06/01/2023","2,126.50","2,258.50","2,318.25","2,102.00","2.67K","-5.90%"
"05/01/2023","2,259.75","2,358.00","2,371.50","2,205.50","1.94K","-4.34%"
"04/01/2023","2,362.25","2,396.75","2,466.50","2,287.75","1.54K","-1.32%"
"03/01/2023","2,393.75","2,391.00","2,415.00","2,220.00","5.15K","2.14%"
"02/01/2023","2,343.50","2,628.50","2,650.75","2,314.75","4.11K","-11.63%"
"01/01/2023","2,652.00","2,350.00","2,651.25","2,290.00","2.06K","10.05%"
"12/01/2022","2,409.75","2,480.50","2,522.00","2,330.00","3.34K","-2.43%"
"11/01/2022","2,469.75","2,259.50","2,478.00","2,252.75","1.43K","10.26%"
"10/01/2022","2,240.00","2,217.00","2,392.25","2,214.00","1.58K","3.19%"
"09/01/2022","2,170.75","2,334.75","2,339.75","2,177.50","2.36K","-7.88%"
"08/01/2022","2,356.50","2,419.50","2,469.25","2,346.00","1.39K","-4.89%"
"07/01/2022","2,477.75","2,388.25","2,473.00","2,326.50","4.20K","2.21%"
"06/01/2022","2,424.25","2,792.00","2,792.00","2,454.75","1.54K","-12.84%"
"05/01/2022","2,781.25","2,944.25","2,975.25","2,708.75","3.09K","-9.04%"
"04/01/2022","3,057.75","3,522.50","3,527.00","3,029.50","1.04K","-13.10%"
"03/01/2022","3,518.50","3,484.50","3,965.00","3,426.50","1.86K","3.58%"
"02/01/2022","3,396.75","3,098.00","3,435.50","3,031.50","0.67K","10.14%"
"01/01/2022","3,084.00","2,860.25","3,109.75","2,852.50","0.14K","9.97%"
"12/01/2021","2,804.50","2,664.25","2,740.00","2,600.00","0.18K","7.48%"
"11/01/2021","2,609.25","2,752.00","2,752.00","2,497.00","0.25K","-5.01%"
"10/01/2021","2,747.00","2,951.50","3,159.25","2,699.00","0.28K","-5.05%"
"09/01/2021","2,893.00","2,777.50","3,012.00","2,777.50","0.26K","5.74%"
"08/01/2021","2,736.00","2,616.00","2,710.00","2,560.00","0.25K","4.12%"
"07/01/2021","2,627.75","2,587.50","2,673.25","2,460.00","0.27K","2.49%"
"06/01/2021","2,564.00","2,491.75","2,575.50","2,396.00","0.33K","1.83%"
"05/01/2021","2,518.00","2,455.50","2,567.50","2,404.00","0.15K","4.23%"
"04/01/2021","2,415.75","2,292.25","2,419.00","2,292.25","0.01K","8.66%"
"03/01/2021","2,223.25","2,176.50","2,242.75","2,176.50","0.13K","1.67%"
"02/01/2021","2,186.75","1,971.75","2,182.00","1,971.75","0.04K","9.61%"
"01/01/2021","1,995.00","2,037.75","2,043.75","1,936.00","0.24K","-0.50%"
"12/01/2020","2,005.00","2,061.25","2,061.75","2,000.00","0.21K","-1.49%"
