"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","184.80","177.55","185.60","173.50","459.36K","3.47%"
"08/01/2024","178.60","186.75","186.82","173.72","579.51K","-4.33%"
"07/01/2024","186.68","184.40","189.05","181.72","540.53K","0.67%"
"06/01/2024","185.43","178.80","187.43","176.05","501.91K","3.91%"
"05/01/2024","178.45","173.38","182.15","170.07","478.15K","1.99%"
"04/01/2024","174.97","180.03","181.12","170.25","671.48K","-2.93%"
"03/01/2024","180.25","181.18","186.62","176.40","508.88K","-2.75%"
"02/01/2024","185.35","181.03","189.20","180.80","522.68K","2.57%"
"01/01/2024","180.70","173.05","183.45","172.28","453.31K","7.24%"
"12/01/2023","168.50","171.82","172.43","162.40","444.00K","-1.93%"
"11/01/2023","171.82","184.70","186.65","168.62","560.78K","-6.39%"
"10/01/2023","183.55","188.50","190.25","177.30","613.80K","-2.33%"
"09/01/2023","187.93","184.80","192.05","183.50","514.47K","3.93%"
"08/01/2023","180.82","179.88","183.72","177.62","539.71K","0.72%"
"07/01/2023","179.53","179.00","185.75","176.20","530.05K","1.33%"
"06/01/2023","177.18","167.65","178.10","167.32","602.78K","5.67%"
"05/01/2023","167.68","163.53","167.75","159.25","567.37K","1.34%"
"04/01/2023","165.47","161.90","166.28","160.10","436.38K","2.07%"
"03/01/2023","162.12","161.25","162.18","154.38","594.23K","-2.02%"
"02/01/2023","165.47","163.30","166.40","162.00","443.39K","1.50%"
"01/01/2023","163.03","161.95","163.57","158.55","548.32K","3.25%"
"12/01/2022","157.90","155.75","159.18","152.75","442.44K","1.43%"
"11/01/2022","155.68","155.85","156.95","152.28","468.73K","2.11%"
"10/01/2022","152.47","147.47","154.25","146.72","482.20K","3.69%"
"09/01/2022","147.05","148.60","152.22","145.57","491.07K","3.14%"
"08/01/2022","142.57","141.90","146.25","141.88","479.70K","0.25%"
"07/01/2022","142.22","138.93","143.78","138.03","400.56K","7.28%"
"06/01/2022","132.57","130.82","137.95","130.72","527.60K","1.68%"
"05/01/2022","130.38","135.75","137.82","129.97","491.26K","-1.71%"
"04/01/2022","132.65","137.25","140.00","132.47","449.86K","-3.26%"
"03/01/2022","137.12","137.70","138.65","130.97","538.45K","-3.05%"
"02/01/2022","141.43","144.75","148.70","140.25","458.98K","-2.14%"
"01/01/2022","144.53","144.72","145.30","139.03","521.13K","3.46%"
"12/01/2021","139.70","138.50","141.43","135.50","404.18K","1.31%"
"11/01/2021","137.90","134.38","141.85","133.78","452.53K","6.67%"
"10/01/2021","129.28","126.20","131.93","125.00","382.15K","2.83%"
"09/01/2021","125.72","133.50","134.12","125.12","511.87K","-0.93%"
"08/01/2021","126.90","127.53","132.85","125.83","471.11K","-0.24%"
"07/01/2021","127.20","128.22","129.93","124.05","405.75K","3.65%"
"06/01/2021","122.72","116.40","125.78","114.62","453.01K","3.47%"
"05/01/2021","118.60","118.62","122.80","116.25","427.80K","1.73%"
"04/01/2021","116.58","122.85","125.62","114.55","489.60K","-5.14%"
"03/01/2021","122.90","118.40","123.50","116.42","517.56K","2.42%"
"02/01/2021","120.00","122.00","126.70","119.78","445.59K","-1.52%"
"01/01/2021","121.85","119.30","123.90","115.53","513.10K","5.93%"
"12/01/2020","115.03","113.03","116.30","110.55","381.94K","1.90%"
"11/01/2020","112.88","110.80","115.45","109.00","445.50K","4.23%"
"10/01/2020","108.30","112.65","113.30","102.53","545.13K","-3.60%"
"09/01/2020","112.35","109.00","113.58","107.25","499.81K","6.70%"
"08/01/2020","105.30","107.92","111.15","104.53","453.97K","-2.39%"
"07/01/2020","107.88","100.10","108.00","99.53","475.33K","12.05%"
