"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","73.28","72.45","75.80","70.55","403.21K","0.68%"
"08/01/2024","72.78","75.70","77.50","66.47","384.89K","-4.14%"
"07/01/2024","75.92","89.35","91.17","70.00","635.31K","-15.17%"
"06/01/2024","89.50","98.08","98.20","86.22","563.38K","-7.85%"
"05/01/2024","97.12","102.62","103.53","95.88","494.04K","-5.22%"
"04/01/2024","102.47","91.75","108.55","91.50","290.28K","10.78%"
"03/01/2024","92.50","90.62","93.90","89.70","7.64K","1.96%"
"02/01/2024","90.72","84.50","91.42","79.67","236.54K","6.94%"
"01/01/2024","84.83","75.22","85.92","71.70","434.28K","13.33%"
"12/01/2023","74.85","71.60","79.35","66.22","273.35K","4.73%"
"11/01/2023","71.47","74.35","77.78","65.80","418.79K","-4.55%"
"10/01/2023","74.88","71.28","75.05","68.00","351.58K","4.32%"
"09/01/2023","71.78","74.33","78.70","71.62","416.48K","-3.43%"
"08/01/2023","74.33","86.50","86.75","70.78","359.42K","-13.57%"
"07/01/2023","86.00","92.60","100.75","80.55","456.04K","-7.13%"
"06/01/2023","92.60","83.92","93.83","80.90","493.21K","11.12%"
"05/01/2023","83.33","91.38","91.42","74.03","531.25K","-9.13%"
"04/01/2023","91.70","84.03","92.00","79.78","190.08K","8.37%"
"03/01/2023","84.62","93.83","95.20","81.92","5.28K","-10.36%"
"02/01/2023","94.40","86.05","97.67","81.28","228.81K","9.23%"
"01/01/2023","86.42","95.28","95.40","83.70","357.27K","-9.32%"
"12/01/2022","95.30","85.35","97.40","82.80","286.06K","11.66%"
"11/01/2022","85.35","88.17","91.35","83.72","338.78K","-3.50%"
"10/01/2022","88.45","75.75","91.80","72.97","318.87K","16.05%"
"09/01/2022","76.22","83.70","89.08","75.33","411.69K","-9.13%"
"08/01/2022","83.88","96.10","101.65","81.53","293.23K","-13.72%"
"07/01/2022","97.22","102.30","111.75","92.42","380.08K","-4.78%"
"06/01/2022","102.10","108.70","114.00","100.25","370.24K","-5.46%"
"05/01/2022","108.00","106.65","112.85","97.10","405.51K","1.52%"
"04/01/2022","106.38","113.58","123.08","106.22","185.90K","-6.34%"
"03/01/2022","113.58","107.65","120.33","103.65","4.93K","5.51%"
"02/01/2022","107.65","94.75","116.10","94.62","212.25K","12.49%"
"01/01/2022","95.70","86.55","97.50","83.60","377.41K","10.36%"
"12/01/2021","86.72","80.55","88.58","75.35","254.78K","8.44%"
"11/01/2021","79.97","78.97","84.67","77.10","330.37K","1.65%"
"10/01/2021","78.67","85.53","85.65","74.05","253.01K","-7.88%"
"09/01/2021","85.40","82.25","85.67","71.28","407.25K","4.21%"
"08/01/2021","81.95","88.20","91.72","80.03","262.87K","-6.91%"
"07/01/2021","88.03","104.22","106.80","87.28","394.76K","-14.74%"
"06/01/2021","103.25","118.33","123.60","96.50","462.71K","-13.49%"
"05/01/2021","119.35","111.00","119.70","107.88","377.96K","8.78%"
"04/01/2021","109.72","102.00","109.72","100.92","230.38K","8.10%"
"03/01/2021","101.50","88.90","101.83","87.45","5.17K","14.20%"
"02/01/2021","88.88","76.90","92.03","75.38","193.49K","15.96%"
"01/01/2021","76.65","73.00","77.60","70.65","315.52K","6.09%"
"12/01/2020","72.25","68.75","72.88","63.00","223.57K","5.35%"
"11/01/2020","68.58","65.60","68.83","62.75","296.00K","4.62%"
"10/01/2020","65.55","63.10","72.00","61.90","285.34K","3.88%"
"09/01/2020","63.10","55.45","67.10","55.23","435.95K","14.48%"
"08/01/2020","55.12","49.00","56.98","48.05","251.21K","11.08%"
"07/01/2020","49.62","48.33","52.08","47.88","399.85K","1.22%"
"06/01/2020","49.02","54.85","56.40","47.52","382.00K","-14.03%"
"05/01/2020","57.02","60.10","66.95","54.33","352.18K","-3.27%"
"04/01/2020","58.95","52.00","60.77","35.02","233.15K","11.27%"
"03/01/2020","52.98","69.25","72.00","52.45","6.88K","-23.25%"
"02/01/2020","69.03","62.35","76.05","61.00","241.54K","12.06%"
"01/01/2020","61.60","78.15","78.83","61.33","466.57K","-20.94%"
"12/01/2019","77.92","68.12","78.80","65.40","298.13K","14.30%"
"11/01/2019","68.17","73.28","76.62","65.72","426.83K","-7.04%"
"10/01/2019","73.33","72.15","79.53","63.08","398.34K","1.01%"
"09/01/2019","72.60","63.77","72.72","57.77","535.27K","14.55%"
"08/01/2019","63.38","70.83","70.83","58.62","418.65K","-10.73%"
"07/01/2019","71.00","77.20","82.85","71.00","575.00K","-6.58%"
"06/01/2019","76.00","85.85","87.12","73.95","489.24K","-11.55%"
"05/01/2019","85.92","87.88","94.33","84.33","472.27K","-2.61%"
"04/01/2019","88.22","80.10","99.40","78.83","251.32K","8.47%"
"03/01/2019","81.33","65.25","89.10","65.25","9.87K","23.79%"
"02/01/2019","65.70","60.88","68.90","57.88","192.42K","9.08%"
"01/01/2019","60.23","67.75","69.03","60.05","397.38K","-10.21%"
"12/01/2018","67.08","68.50","70.20","64.10","267.83K","-0.70%"
"11/01/2018","67.55","64.75","69.50","59.25","446.16K","3.40%"
"10/01/2018","65.33","58.48","67.53","53.85","380.37K","12.79%"
"09/01/2018","57.92","54.75","58.65","53.42","487.83K","8.46%"
"08/01/2018","53.40","50.30","56.00","47.83","440.85K","5.26%"
"07/01/2018","50.73","76.30","77.17","50.12","488.62K","-33.64%"
"06/01/2018","76.45","78.47","83.30","73.28","476.72K","-2.05%"
"05/01/2018","78.05","73.30","80.25","72.75","454.04K","7.36%"
"04/01/2018","72.70","67.55","79.10","59.40","217.51K","7.18%"
"03/01/2018","67.83","74.97","76.10","64.47","9.22K","-9.42%"
"02/01/2018","74.88","72.40","77.90","68.55","229.75K","3.64%"
"01/01/2018","72.25","75.88","77.25","72.10","366.31K","-4.49%"
"12/01/2017","75.65","69.97","76.33","66.25","249.11K","8.41%"
"11/01/2017","69.78","72.75","73.30","66.25","399.91K","-4.41%"
"10/01/2017","73.00","59.73","73.17","59.62","319.10K","21.77%"
"09/01/2017","59.95","57.90","61.17","56.10","409.98K","3.33%"
"08/01/2017","58.02","65.90","69.47","55.77","306.18K","-12.13%"
"07/01/2017","66.03","83.75","85.38","65.80","379.82K","-21.16%"
"06/01/2017","83.75","83.50","83.75","77.60","409.01K","0.87%"
"05/01/2017","83.03","74.00","83.35","73.03","372.10K","12.20%"
"04/01/2017","74.00","70.00","74.22","67.50","179.52K","5.94%"
"03/01/2017","69.85","74.10","75.65","69.22","3.12K","-5.54%"
"02/01/2017","73.95","69.53","76.50","68.22","163.48K","6.79%"
"01/01/2017","69.25","68.25","70.58","66.58","308.77K","1.72%"
"12/01/2016","68.08","55.25","68.92","53.55","298.41K","23.27%"
"11/01/2016","55.23","54.50","57.33","52.23","325.87K","1.12%"
"10/01/2016","54.62","44.30","55.02","41.10","287.67K","24.19%"
"09/01/2016","43.98","57.50","58.33","43.98","355.38K","-23.54%"
"08/01/2016","57.52","59.58","62.80","54.17","265.67K","-2.59%"
"07/01/2016","59.05","83.42","84.83","58.77","373.42K","-29.09%"
"06/01/2016","83.28","81.50","89.92","80.72","361.56K","2.25%"
"05/01/2016","81.45","82.20","83.70","78.80","288.03K","-0.31%"
"04/01/2016","81.70","76.88","81.75","73.17","165.09K","5.80%"
"03/01/2016","77.22","76.70","79.80","76.08","2.86K","0.81%"
"02/01/2016","76.60","70.88","77.58","67.90","150.09K","8.35%"
"01/01/2016","70.70","65.88","71.03","64.50","236.11K","7.20%"
"12/01/2015","65.95","57.05","66.35","55.77","196.48K","16.11%"
"11/01/2015","56.80","62.48","63.25","53.98","294.85K","-9.48%"
"10/01/2015","62.75","66.62","69.75","62.40","248.81K","-5.95%"
"09/01/2015","66.72","63.60","67.60","61.50","276.85K","4.87%"
"08/01/2015","63.62","64.12","67.70","57.83","227.13K","-0.17%"
"07/01/2015","63.73","74.20","77.28","61.75","385.16K","-14.32%"
"06/01/2015","74.38","83.70","84.50","71.17","363.90K","-10.87%"
"05/01/2015","83.45","81.95","85.33","80.75","301.94K","2.49%"
"04/01/2015","81.42","68.50","82.62","67.10","197.18K","18.48%"
"03/01/2015","68.72","80.60","81.00","65.20","8.53K","-13.99%"
"02/01/2015","79.90","71.80","81.92","63.67","151.85K","10.59%"
"01/01/2015","72.25","82.95","84.17","70.00","336.06K","-13.24%"
"12/01/2014","83.28","87.80","89.72","80.42","213.18K","-5.60%"
"11/01/2014","88.22","88.10","93.12","86.03","241.51K","0.19%"
"10/01/2014","88.05","94.25","97.30","85.60","229.41K","-6.85%"
"09/01/2014","94.53","92.42","99.00","90.90","351.88K","2.75%"
"08/01/2014","92.00","102.45","104.55","84.28","295.45K","-10.83%"
"07/01/2014","103.17","133.00","133.38","102.38","400.47K","-22.32%"
"06/01/2014","132.82","120.22","132.82","119.55","368.75K","10.25%"
"05/01/2014","120.47","123.00","127.45","118.12","355.59K","-2.15%"
"04/01/2014","123.12","124.15","127.70","115.12","187.10K","-0.71%"
"03/01/2014","124.00","111.42","127.53","110.55","10.25K","11.31%"
"02/01/2014","111.40","94.80","112.15","92.78","168.28K","17.51%"
"01/01/2014","94.80","91.00","94.95","89.88","328.04K","4.55%"
"12/01/2013","90.67","90.40","91.62","86.90","242.45K","0.10%"
"11/01/2013","90.58","92.15","92.50","89.40","269.31K","-1.58%"
"10/01/2013","92.03","86.53","94.90","85.50","262.54K","6.25%"
"09/01/2013","86.62","84.70","89.00","84.20","426.43K","2.21%"
"08/01/2013","84.75","83.33","87.00","81.03","243.13K","1.70%"
"07/01/2013","83.33","97.65","98.47","82.92","420.51K","-14.49%"
"06/01/2013","97.45","94.17","100.08","93.25","461.55K","3.84%"
"05/01/2013","93.85","92.47","94.38","89.75","404.91K","1.37%"
"04/01/2013","92.58","88.60","93.08","86.50","214.72K","3.38%"
"03/01/2013","89.55","89.25","90.45","86.38","5.86K","0.28%"
"02/01/2013","89.30","89.35","93.40","85.50","175.81K","-0.06%"
"01/01/2013","89.35","89.10","90.95","86.88","373.66K","0.71%"
"12/01/2012","88.72","87.12","91.88","83.20","235.99K","2.07%"
"11/01/2012","86.92","84.70","88.25","82.58","324.68K","2.90%"
"10/01/2012","84.47","73.80","86.05","73.78","308.24K","14.54%"
"09/01/2012","73.75","72.35","75.88","70.05","367.79K","1.86%"
"08/01/2012","72.40","80.40","80.60","70.05","285.87K","-9.84%"
"07/01/2012","80.30","95.15","96.33","77.33","415.40K","-15.28%"
"06/01/2012","94.78","91.00","95.00","88.10","432.29K","4.15%"
"05/01/2012","91.00","86.33","91.00","82.92","462.61K","5.91%"
"04/01/2012","85.92","92.03","94.50","85.70","248.02K","-6.53%"
"03/01/2012","91.92","97.28","98.60","90.53","4.77K","-5.96%"
"02/01/2012","97.75","88.90","99.00","88.25","133.08K","9.98%"
"01/01/2012","88.88","88.17","89.25","85.70","299.86K","1.35%"
"12/01/2011","87.70","91.75","91.95","85.45","199.94K","-4.24%"
"11/01/2011","91.58","90.83","92.38","86.80","308.48K","1.36%"
"10/01/2011","90.35","87.95","93.85","86.15","262.22K","2.90%"
"09/01/2011","87.80","82.70","88.00","80.50","442.96K","5.91%"
"08/01/2011","82.90","92.70","94.00","82.40","283.18K","-10.28%"
"07/01/2011","92.40","91.42","99.95","88.65","314.18K","0.80%"
