"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","3.345","2.512","3.368","2.439","2.40M","33.91%"
"08/01/2024","2.498","2.158","2.553","1.991","2.49M","15.54%"
"07/01/2024","2.162","2.581","2.599","1.999","2.66M","-16.78%"
"06/01/2024","2.598","2.716","3.221","2.591","1.90M","-2.40%"
"05/01/2024","2.662","2.285","3.161","2.255","2.98M","14.79%"
"04/01/2024","2.319","1.999","2.420","1.907","2.31M","16.12%"
"03/01/2024","1.997","1.993","2.152","1.758","2.34M","-0.55%"
"02/01/2024","2.008","2.151","2.177","1.600","2.85M","-5.33%"
"01/01/2024","2.121","2.398","2.791","2.047","3.21M","-8.85%"
"12/01/2023","2.327","2.770","2.801","2.187","2.01M","-15.78%"
"11/01/2023","2.763","3.840","3.856","2.724","2.36M","-27.54%"
"10/01/2023","3.813","3.326","3.865","3.216","2.06M","15.13%"
"09/01/2023","3.312","3.136","3.382","2.796","1.98M","5.24%"
"08/01/2023","3.147","2.747","3.242","2.529","2.11M","14.81%"
"07/01/2023","2.741","2.710","2.804","2.477","1.86M","-1.19%"
"06/01/2023","2.774","2.349","2.936","2.244","1.98M","17.64%"
"05/01/2023","2.358","2.568","2.816","2.233","2.23M","-8.53%"
"04/01/2023","2.578","2.345","2.700","2.143","1.66M","4.58%"
"03/01/2023","2.465","2.884","3.156","2.103","2.39M","-13.90%"
"02/01/2023","2.863","2.789","2.898","2.113","2.31M","4.45%"
"01/01/2023","2.741","4.005","4.005","2.661","1.95M","-33.21%"
"12/01/2022","4.104","6.839","7.075","4.015","1.24M","-39.81%"
"11/01/2022","6.818","6.561","8.177","6.011","1.51M","3.19%"
"10/01/2022","6.607","7.111","7.436","5.345","1.32M","-6.48%"
"09/01/2022","7.065","9.194","9.454","6.562","1.34M","-23.11%"
"08/01/2022","9.189","7.894","9.987","7.536","1.16M","11.95%"
"07/01/2022","8.208","5.599","9.419","5.324","1.30M","52.23%"
"06/01/2022","5.392","8.250","9.645","5.327","1.46M","-33.74%"
"05/01/2022","8.138","7.511","9.447","6.521","1.52M","10.65%"
"04/01/2022","7.355","5.694","8.197","5.575","1.61M","29.01%"
"03/01/2022","5.701","4.425","5.887","4.361","1.55M","28.98%"
"02/01/2022","4.420","4.696","5.053","3.867","1.84M","-5.45%"
"01/01/2022","4.675","3.554","4.803","3.500","1.83M","31.43%"
"12/01/2021","3.557","4.547","4.603","3.416","1.38M","-21.06%"
"11/01/2021","4.506","5.425","5.975","4.420","1.48M","-18.50%"
"10/01/2021","5.529","6.070","6.593","5.070","1.83M","-7.71%"
"09/01/2021","5.991","4.454","6.318","4.427","2.33M","35.39%"
"08/01/2021","4.425","3.975","4.566","3.751","1.94M","12.88%"
"07/01/2021","3.920","3.727","4.165","3.495","1.66M","8.17%"
"06/01/2021","3.624","3.055","3.784","3.031","1.62M","20.52%"
"05/01/2021","3.007","2.977","3.204","2.903","1.41M","0.97%"
