"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","388.50","335.00","388.75","334.50","9.61K","14.94%"
"08/01/2024","338.00","320.75","338.00","303.50","10.08K","5.71%"
"07/01/2024","319.75","314.25","339.50","295.50","6.67K","1.51%"
"06/01/2024","315.00","392.75","393.00","296.25","4.13K","-19.69%"
"05/01/2024","392.25","369.00","433.50","363.25","8.46K","6.16%"
"04/01/2024","369.50","350.75","383.75","323.00","12.11K","4.90%"
"03/01/2024","352.25","372.50","376.75","347.25","3.96K","-5.05%"
"02/01/2024","371.00","374.00","378.75","348.50","6.52K","-1.20%"
"01/01/2024","375.50","383.75","386.00","352.25","1.24K","-1.64%"
"12/01/2023","381.75","374.50","398.00","337.50","4.98K","3.18%"
"11/01/2023","370.00","402.50","403.00","342.25","8.20K","-9.31%"
"10/01/2023","408.00","453.00","462.50","389.00","1.77K","-9.43%"
"09/01/2023","450.50","493.50","509.75","434.75","4.08K","-8.67%"
"08/01/2023","493.25","454.75","522.50","419.00","10.52K","8.11%"
"07/01/2023","456.25","388.00","472.75","387.25","6.30K","17.14%"
"06/01/2023","389.50","345.75","415.50","336.50","4.22K","13.06%"
"05/01/2023","344.50","312.25","350.25","301.25","4.75K","10.42%"
"04/01/2023","312.00","363.25","365.00","300.00","7.53K","-13.63%"
"03/01/2023","361.25","333.50","373.25","319.00","5.67K","7.84%"
"02/01/2023","335.00","386.75","390.25","333.50","5.72K","-13.49%"
"01/01/2023","387.25","361.50","390.25","333.25","1.34K","6.39%"
"12/01/2022","364.00","384.75","385.00","327.50","4.26K","-5.64%"
"11/01/2022","385.75","399.75","407.00","377.75","5.72K","-3.08%"
"10/01/2022","398.00","402.75","413.50","350.00","1.61K","1.08%"
"09/01/2022","393.75","394.25","420.75","364.00","3.29K","-0.51%"
"08/01/2022","395.75","443.00","443.00","370.00","5.95K","-10.67%"
"07/01/2022","443.00","511.25","516.50","413.25","2.76K","-14.06%"
"06/01/2022","515.50","633.50","645.00","492.75","2.45K","-19.64%"
"05/01/2022","641.50","650.75","685.25","576.50","3.15K","-1.35%"
"04/01/2022","650.25","681.50","770.00","647.50","3.82K","-5.00%"
"03/01/2022","684.50","645.25","706.50","600.00","3.11K","6.79%"
"02/01/2022","641.00","663.50","747.25","613.25","6.14K","-2.44%"
"01/01/2022","657.00","655.00","663.00","581.75","1.41K","1.12%"
"12/01/2021","649.75","709.00","739.50","636.50","4.48K","-9.00%"
"11/01/2021","714.00","705.75","778.00","688.75","8.05K","1.31%"
"10/01/2021","704.75","571.25","707.00","562.00","2.65K","23.10%"
"09/01/2021","572.50","501.50","583.25","486.00","4.29K","13.99%"
"08/01/2021","502.25","448.00","525.00","440.25","7.90K","12.17%"
"07/01/2021","447.75","392.00","467.50","362.00","6.11K","14.51%"
"06/01/2021","391.00","381.25","402.75","355.75","1.70K","2.83%"
"05/01/2021","380.25","404.25","423.50","350.00","4.66K","-6.28%"
"04/01/2021","405.75","379.00","417.00","366.00","6.55K","7.41%"
"03/01/2021","377.75","363.50","398.75","357.50","3.47K","3.56%"
"02/01/2021","364.75","349.00","373.25","334.50","5.41K","5.27%"
"01/01/2021","346.50","358.75","364.75","337.75","1.38K","-2.39%"
"12/01/2020","355.00","292.50","357.75","287.00","4.79K","21.78%"
"11/01/2020","291.50","295.25","315.00","290.00","6.77K","-1.27%"
"10/01/2020","295.25","286.50","307.50","283.50","1.80K","2.70%"
"09/01/2020","287.50","274.50","289.50","265.00","3.75K","4.55%"
"08/01/2020","275.00","271.25","277.00","252.25","8.02K","1.29%"
"07/01/2020","271.50","290.75","292.50","264.50","3.24K","-6.78%"
"06/01/2020","291.25","285.75","301.00","272.75","1.85K","1.84%"
"05/01/2020","286.00","282.00","306.75","278.00","3.27K","0.70%"
"04/01/2020","284.00","263.25","287.00","260.25","3.65K","6.17%"
"03/01/2020","267.50","272.00","281.75","252.50","6.76K","-1.92%"
