"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","1,002.00","934.30","1,099.50","908.00","0.08K","3.96%"
"08/01/2024","963.80","922.00","979.50","813.50","117.86K","4.17%"
"07/01/2024","925.20","1,013.00","1,047.00","868.00","10.44K","-5.30%"
"06/01/2024","977.00","903.00","988.00","875.00","0.15K","7.88%"
"05/01/2024","905.60","952.50","1,048.00","900.50","117.10K","-4.95%"
"04/01/2024","952.80","1,018.00","1,093.50","936.50","10.84K","-6.64%"
"03/01/2024","1,020.60","943.50","1,105.00","943.50","0.07K","8.41%"
"02/01/2024","941.40","983.00","999.50","851.50","105.64K","-5.56%"
"01/01/2024","996.80","1,079.00","1,079.00","943.50","6.19K","-10.12%"
"12/01/2023","1,109.00","1,000.00","1,227.50","950.50","0.07K","9.34%"
"11/01/2023","1,014.30","1,132.50","1,150.50","948.50","101.87K","-9.93%"
"10/01/2023","1,126.10","1,139.00","1,168.00","1,103.50","6.70K","-10.80%"
"09/01/2023","1,262.50","1,235.00","1,280.00","1,201.00","0.03K","3.89%"
"08/01/2023","1,215.20","1,280.00","1,346.00","1,196.50","77.97K","-4.74%"
"07/01/2023","1,275.60","1,234.50","1,284.00","1,219.00","5.44K","5.65%"
"06/01/2023","1,207.40","1,350.00","1,360.00","1,344.00","0.01K","-10.59%"
"05/01/2023","1,350.40","1,505.00","1,627.50","1,385.00","58.48K","-10.56%"
"04/01/2023","1,509.90","1,513.00","1,529.00","1,458.50","3.86K","2.21%"
"03/01/2023","1,477.30","1,435.50","1,450.50","1,435.50","0.01K","3.67%"
"02/01/2023","1,425.00","1,631.00","1,698.50","1,354.00","65.54K","-13.55%"
"01/01/2023","1,648.30","1,771.50","1,771.50","1,582.00","5.51K","-8.14%"
"12/01/2022","1,794.30","1,794.30","1,794.30","1,794.30","","-3.46%"
"11/01/2022","1,858.60","1,843.00","2,113.50","1,759.50","51.54K","1.47%"
"10/01/2022","1,831.70","1,934.00","1,964.00","1,808.50","4.20K","-15.96%"
"09/01/2022","2,179.60","2,134.00","2,134.00","2,134.00","0.00K","5.11%"
"08/01/2022","2,073.70","2,123.00","2,297.00","1,947.00","37.38K","-2.63%"
"07/01/2022","2,129.70","1,938.50","2,137.00","1,938.50","2.78K","11.19%"
"06/01/2022","1,915.30","1,991.00","2,006.00","1,767.00","0.05K","-4.24%"
"05/01/2022","2,000.20","2,307.50","2,314.00","1,837.00","35.68K","-13.30%"
"04/01/2022","2,307.00","2,230.00","2,394.00","2,161.00","2.54K","2.30%"
"03/01/2022","2,255.10","2,676.00","3,324.50","2,193.50","0.11K","-9.87%"
"02/01/2022","2,502.10","2,351.50","2,711.00","2,165.50","49.00K","6.21%"
"01/01/2022","2,355.80","1,899.00","2,449.50","1,899.00","5.51K","23.68%"
"12/01/2021","1,904.70","1,727.00","1,976.00","1,727.00","0.02K","11.80%"
"11/01/2021","1,703.70","2,001.50","2,216.50","1,698.50","53.37K","-13.97%"
"10/01/2021","1,980.30","1,967.50","2,011.00","1,936.00","3.84K","3.92%"
"09/01/2021","1,905.60","2,461.50","2,461.50","1,866.00","0.02K","-22.98%"
"08/01/2021","2,474.30","2,660.00","2,708.50","2,260.00","48.75K","-6.85%"
"07/01/2021","2,656.20","2,790.00","2,828.50","2,626.00","3.56K","-4.41%"
"06/01/2021","2,778.80","2,778.80","2,778.80","2,778.80","","-1.67%"
"05/01/2021","2,825.90","2,946.00","3,019.00","2,720.50","41.46K","-4.33%"
"04/01/2021","2,953.70","2,934.00","3,010.00","2,919.50","2.82K","12.34%"
"03/01/2021","2,629.30","2,629.30","2,629.30","2,629.30","","9.94%"
"02/01/2021","2,391.50","2,245.00","2,447.00","2,208.00","40.94K","8.29%"
"01/01/2021","2,208.40","2,309.00","2,361.50","2,188.50","6.86K","-9.95%"
"12/01/2020","2,452.50","2,410.50","2,417.00","2,319.00","0.01K","2.14%"
"11/01/2020","2,401.10","2,214.20","2,523.00","2,196.00","40.68K","8.29%"
"10/01/2020","2,217.20","2,242.30","2,282.60","2,182.00","5.42K","-5.13%"
"09/01/2020","2,337.00","2,337.00","2,337.00","2,337.00","","3.91%"
"08/01/2020","2,249.10","2,133.80","2,350.30","2,101.30","33.81K","4.84%"
"07/01/2020","2,145.30","2,239.70","2,243.60","2,079.00","4.39K","10.19%"
"06/01/2020","1,946.90","1,946.90","1,946.90","1,946.90","","0.71%"
"05/01/2020","1,933.20","1,957.40","2,170.00","1,732.00","26.16K","-1.17%"
"04/01/2020","1,956.00","1,890.80","2,075.60","1,888.10","2.48K","-15.73%"
"03/01/2020","2,321.10","2,364.70","2,364.70","1,410.00","0.01K","-7.42%"
"02/01/2020","2,507.20","2,216.00","2,755.90","2,171.30","80.46K","12.70%"
"01/01/2020","2,224.70","2,215.00","2,258.00","2,178.80","7.84K","16.48%"
"12/01/2019","1,909.90","1,909.90","1,909.90","1,909.90","","5.30%"
"11/01/2019","1,813.70","1,771.80","1,796.30","1,644.30","86.27K","3.31%"
"10/01/2019","1,755.60","1,752.00","1,799.20","1,748.70","8.40K","6.40%"
"09/01/2019","1,650.00","1,650.00","1,650.00","1,650.00","","7.27%"
"08/01/2019","1,538.20","1,517.50","1,521.30","1,378.20","88.85K","0.91%"
"07/01/2019","1,524.40","1,553.20","1,554.70","1,505.20","7.55K","-0.41%"
"06/01/2019","1,530.70","1,366.80","1,428.00","1,365.20","0.12K","14.75%"
"05/01/2019","1,333.90","1,376.80","1,378.10","1,256.50","88.02K","-3.53%"
"04/01/2019","1,382.70","1,455.80","1,457.20","1,342.10","13.46K","2.83%"
"03/01/2019","1,344.70","1,344.70","1,344.70","1,344.70","","-11.23%"
"02/01/2019","1,514.80","1,303.20","1,529.00","1,303.20","89.32K","16.53%"
"01/01/2019","1,299.90","1,304.80","1,348.00","1,296.00","9.22K","3.72%"
"12/01/2018","1,253.30","1,253.30","1,253.30","1,253.30","","7.45%"
"11/01/2018","1,166.40","1,061.10","1,168.30","1,061.10","97.69K","9.16%"
"10/01/2018","1,068.50","1,076.20","1,084.40","1,054.50","9.72K","-1.92%"
"09/01/2018","1,089.40","1,089.40","1,089.40","1,089.40","","11.30%"
"08/01/2018","978.80","929.10","959.80","815.20","122.35K","5.03%"
"07/01/2018","931.90","921.30","934.30","916.90","6.86K","-2.82%"
"06/01/2018","958.90","958.90","958.90","958.90","","-2.79%"
"05/01/2018","986.40","959.85","1,003.70","934.40","87.38K","2.69%"
"04/01/2018","960.55","978.60","982.30","951.00","6.92K","1.54%"
"03/01/2018","946.00","946.00","946.00","946.00","","-9.45%"
"02/01/2018","1,044.70","1,027.55","1,060.30","952.50","114.45K","2.07%"
"01/01/2018","1,023.55","1,082.45","1,086.60","1,021.90","16.80K","-4.79%"
"12/01/2017","1,075.05","1,039.50","1,039.50","1,015.50","0.00K","7.07%"
"11/01/2017","1,004.05","978.75","1,023.50","973.25","95.90K","2.54%"
"10/01/2017","979.15","966.00","979.80","959.80","6.97K","4.36%"
"09/01/2017","938.25","938.25","938.25","938.25","","0.90%"
"08/01/2017","929.90","884.55","948.85","865.45","106.05K","5.03%"
"07/01/2017","885.40","837.90","897.35","837.90","8.81K","5.64%"
"06/01/2017","838.10","819.75","891.25","812.00","0.25K","2.33%"
"05/01/2017","819.00","826.90","828.60","748.50","126.91K","-0.93%"
"04/01/2017","826.70","809.75","830.35","778.05","12.02K","3.58%"
"03/01/2017","798.15","769.85","815.00","745.00","0.13K","3.51%"
"02/01/2017","771.05","756.00","795.85","741.20","86.11K","2.22%"
"01/01/2017","754.30","686.60","787.70","686.60","6.48K","10.39%"
"12/01/2016","683.30","768.00","777.50","655.00","0.31K","-11.42%"
"11/01/2016","771.40","620.15","773.45","616.95","141.24K","24.82%"
"10/01/2016","618.00","681.70","681.70","610.55","9.75K","-14.29%"
"09/01/2016","721.00","665.00","708.50","658.20","0.04K","7.84%"
"08/01/2016","668.60","714.90","747.50","678.15","114.42K","-5.80%"
"07/01/2016","709.75","607.40","715.90","600.35","10.59K","18.75%"
"06/01/2016","597.70","549.15","565.10","529.20","0.19K","9.06%"
"05/01/2016","548.05","626.80","631.75","523.00","95.62K","-12.68%"
"04/01/2016","627.65","554.90","636.10","541.00","9.35K","11.38%"
"03/01/2016","563.50","501.40","600.00","501.40","0.22K","13.86%"
"02/01/2016","494.90","498.60","531.40","480.00","95.69K","-0.72%"
"01/01/2016","498.50","545.50","547.80","460.00","7.21K","-11.26%"
"12/01/2015","561.75","541.55","570.25","524.65","0.13K","3.59%"
"11/01/2015","542.30","676.25","676.25","526.60","108.92K","-19.93%"
"10/01/2015","677.25","707.15","707.15","667.80","5.73K","3.94%"
"09/01/2015","651.60","593.70","665.00","586.30","0.03K","8.31%"
"08/01/2015","601.60","610.00","626.80","520.00","118.60K","-1.51%"
"07/01/2015","610.85","696.00","696.00","606.60","6.37K","-9.12%"
"06/01/2015","672.15","756.75","756.75","665.95","0.02K","-13.47%"
"05/01/2015","776.75","776.50","803.00","769.00","82.24K","0.03%"
"04/01/2015","776.50","768.70","785.00","765.00","6.26K","5.63%"
"03/01/2015","735.10","825.00","829.50","728.80","0.05K","-10.22%"
"02/01/2015","818.80","771.10","817.65","763.60","87.49K","6.01%"
"01/01/2015","772.40","777.35","796.40","761.70","8.60K","-3.26%"
"12/01/2014","798.40","806.70","820.95","781.80","0.03K","-1.76%"
"11/01/2014","812.70","793.50","809.70","746.45","100.41K","2.64%"
"10/01/2014","791.80","758.30","799.65","752.35","10.20K","2.13%"
"09/01/2014","775.25","901.40","901.40","775.20","0.04K","-14.71%"
"08/01/2014","908.95","873.70","902.90","837.50","134.32K","4.03%"
"07/01/2014","873.70","847.95","883.45","847.95","7.78K","3.75%"
"06/01/2014","842.15","834.00","859.05","808.00","0.09K","0.75%"
"05/01/2014","835.90","809.75","844.65","795.40","126.70K","2.88%"
"04/01/2014","812.50","788.35","812.75","768.00","9.30K","4.53%"
"03/01/2014","777.30","758.85","803.45","755.70","0.08K","4.48%"
"02/01/2014","743.95","703.20","743.35","695.50","93.91K","5.79%"
"01/01/2014","703.20","713.05","717.80","700.00","9.59K","-2.07%"
"12/01/2013","718.10","719.65","737.80","709.80","0.04K","-0.05%"
"11/01/2013","718.45","736.95","765.00","708.95","120.71K","-2.49%"
"10/01/2013","736.80","748.70","752.00","735.10","9.86K","1.40%"
"09/01/2013","726.60","716.30","718.65","682.20","0.02K","0.53%"
"08/01/2013","722.75","728.55","769.50","712.00","103.03K","-0.50%"
"07/01/2013","726.35","688.15","743.65","675.15","7.27K","10.07%"
"06/01/2013","659.90","750.40","765.40","629.60","0.14K","-12.32%"
"05/01/2013","752.60","698.05","764.90","672.80","123.71K","7.85%"
"04/01/2013","697.80","770.55","770.55","668.50","7.14K","-9.10%"
"03/01/2013","767.65","718.60","775.00","718.60","0.19K","4.68%"
"02/01/2013","733.35","743.75","777.60","708.30","136.19K","-1.66%"
"01/01/2013","745.70","692.00","760.50","677.60","15.91K","6.07%"
"12/01/2012","703.00","674.05","711.50","674.05","0.05K","2.34%"
"11/01/2012","686.95","603.55","686.00","596.05","97.32K","12.65%"
"10/01/2012","609.80","634.10","668.35","583.45","6.37K","-4.78%"
"09/01/2012","640.40","638.00","693.95","634.00","0.34K","1.92%"
"08/01/2012","628.35","586.75","658.00","562.35","73.05K","6.40%"
"07/01/2012","590.55","575.80","594.10","569.30","8.44K","1.11%"
"06/01/2012","584.05","612.00","635.20","576.10","0.04K","-4.69%"
"05/01/2012","612.80","677.80","686.20","584.25","81.31K","-10.19%"
