"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","984.30","931.50","1,021.40","902.00","547.14K","5.59%"
"08/01/2024","932.20","984.50","985.10","911.80","38.18K","-5.37%"
"07/01/2024","985.10","1,000.80","1,044.60","930.50","1.83K","-2.15%"
"06/01/2024","1,006.70","1,043.80","1,055.80","945.70","485.68K","-3.39%"
"05/01/2024","1,042.00","943.00","1,101.30","941.50","60.99K","10.15%"
"04/01/2024","946.00","914.80","1,009.60","897.30","3.45K","3.69%"
"03/01/2024","912.30","883.80","958.90","870.10","594.05K","3.20%"
"02/01/2024","884.00","925.20","928.20","872.20","49.20K","-4.83%"
"01/01/2024","928.90","998.70","1,007.80","879.00","1.22K","-7.08%"
"12/01/2023","999.70","933.20","1,020.10","890.00","467.98K","6.82%"
"11/01/2023","935.90","938.00","954.70","839.70","48.52K","-0.46%"
"10/01/2023","940.20","909.00","945.50","848.10","0.72K","3.19%"
"09/01/2023","911.10","977.20","995.00","880.80","454.45K","-6.50%"
"08/01/2023","974.40","931.40","993.30","881.00","48.40K","1.67%"
"07/01/2023","958.40","921.00","998.10","899.70","0.08K","5.52%"
"06/01/2023","908.30","998.70","1,051.80","895.10","402.85K","-9.08%"
"05/01/2023","999.00","1,028.10","1,046.00","997.80","48.66K","-9.03%"
"04/01/2023","1,098.20","1,021.50","1,087.60","989.40","0.01K","9.69%"
"03/01/2023","1,001.20","955.70","1,012.00","931.00","415.80K","4.78%"
"02/01/2023","955.50","909.10","962.10","903.90","44.50K","-6.40%"
"01/01/2023","1,020.80","1,092.60","1,092.60","1,053.60","0.15K","-5.12%"
"12/01/2022","1,075.90","1,045.90","1,066.80","971.40","347.53K","3.52%"
"11/01/2022","1,039.30","1,018.20","1,051.70","995.40","46.82K","11.19%"
"10/01/2022","934.70","897.20","934.00","897.20","0.01K","7.63%"
"09/01/2022","868.40","828.20","943.50","796.80","376.80K","5.01%"
"08/01/2022","827.00","900.00","943.60","822.30","34.16K","-6.97%"
"07/01/2022","889.00","866.00","898.50","835.20","0.36K","-1.16%"
"06/01/2022","899.40","962.00","1,038.30","890.10","351.58K","-7.12%"
"05/01/2022","968.30","931.30","991.50","913.00","31.87K","3.18%"
"04/01/2022","938.50","994.00","1,018.50","901.50","0.57K","-5.57%"
"03/01/2022","993.90","1,046.70","1,197.00","954.30","433.38K","-4.31%"
"02/01/2022","1,038.70","1,020.70","1,130.00","1,004.60","34.46K","1.83%"
"01/01/2022","1,020.00","951.00","1,052.40","922.70","0.26K","5.70%"
"12/01/2021","965.00","932.00","988.70","886.00","313.05K","4.07%"
"11/01/2021","927.30","1,050.00","1,107.40","922.70","38.95K","-9.11%"
"10/01/2021","1,020.20","954.90","1,062.50","942.70","0.38K","6.09%"
"09/01/2021","961.60","1,010.60","1,026.50","892.60","349.90K","-5.18%"
"08/01/2021","1,014.10","1,055.80","1,061.50","955.20","22.25K","-3.21%"
"07/01/2021","1,047.70","1,066.10","1,139.10","1,032.40","0.41K","-2.25%"
"06/01/2021","1,071.80","1,184.30","1,211.00","1,021.70","342.68K","-9.35%"
"05/01/2021","1,182.40","1,202.20","1,273.70","1,168.00","28.68K","-1.82%"
"04/01/2021","1,204.30","1,188.00","1,254.80","1,157.10","0.31K","1.26%"
"03/01/2021","1,189.30","1,190.40","1,240.40","1,110.00","360.90K","0.34%"
"02/01/2021","1,185.30","1,092.20","1,326.50","1,083.20","41.75K","9.95%"
"01/01/2021","1,078.00","1,084.30","1,129.10","1,011.80","0.32K","0.17%"
"12/01/2020","1,076.20","969.80","1,093.10","926.40","328.13K","11.42%"
"11/01/2020","965.90","875.50","983.00","852.20","31.33K","14.17%"
"10/01/2020","846.00","912.90","919.00","838.90","0.40K","-6.37%"
"09/01/2020","903.60","938.30","989.50","821.30","327.59K","-3.66%"
"08/01/2020","937.90","956.50","1,021.00","919.10","22.52K","2.37%"
"07/01/2020","916.20","821.60","922.00","821.60","0.02K","8.98%"
"06/01/2020","840.70","875.30","908.90","790.50","256.42K","-3.88%"
"05/01/2020","874.60","766.00","933.90","766.00","22.34K","8.24%"
"04/01/2020","808.00","718.60","816.10","714.60","0.18K","11.31%"
"03/01/2020","725.90","858.00","916.10","562.00","569.44K","-16.05%"
"02/01/2020","864.70","967.00","1,017.30","846.20","81.90K","-9.97%"
"01/01/2020","960.50","972.30","1,036.60","953.00","0.47K","-1.32%"
"12/01/2019","973.30","897.90","983.30","886.40","395.93K","8.10%"
"11/01/2019","900.40","941.20","957.80","867.50","34.10K","-3.40%"
"10/01/2019","932.10","880.00","941.80","875.40","0.19K","5.22%"
"09/01/2019","885.90","937.50","1,000.80","883.50","510.45K","-4.92%"
"08/01/2019","931.70","859.90","944.20","834.90","82.52K","6.10%"
"07/01/2019","878.10","830.00","880.00","803.90","0.50K","5.02%"
"06/01/2019","836.10","794.20","839.70","790.20","391.78K","5.28%"
"05/01/2019","794.20","885.70","888.40","788.30","34.49K","-10.81%"
"04/01/2019","890.50","861.50","912.00","859.60","0.22K","4.69%"
"03/01/2019","850.60","872.30","877.10","809.60","438.48K","-2.81%"
"02/01/2019","875.20","821.00","879.90","782.50","50.30K","6.34%"
"01/01/2019","823.00","795.40","827.00","791.90","0.07K","3.29%"
"12/01/2018","796.80","801.50","816.50","778.60","345.37K","-0.38%"
"11/01/2018","799.80","860.00","877.20","799.20","42.82K","-4.93%"
"10/01/2018","841.30","820.00","842.20","815.00","0.13K","2.57%"
"09/01/2018","820.20","786.80","839.10","765.40","392.44K","4.21%"
"08/01/2018","787.10","838.10","838.10","761.00","24.72K","-6.72%"
"07/01/2018","843.80","851.10","851.10","797.20","0.25K","-1.06%"
"06/01/2018","852.80","906.50","914.80","849.70","455.67K","-6.30%"
"05/01/2018","910.10","899.80","927.80","879.50","30.62K","0.90%"
"04/01/2018","902.00","931.80","946.00","903.00","0.10K","-2.90%"
"03/01/2018","928.90","986.40","987.30","934.10","388.91K","-5.99%"
"02/01/2018","988.10","998.90","1,008.80","959.20","37.94K","-1.40%"
"01/01/2018","1,002.10","934.00","1,028.00","932.70","0.36K","7.21%"
"12/01/2017","934.70","944.40","946.50","872.40","406.92K","-0.83%"
"11/01/2017","942.50","929.70","955.70","917.30","41.78K","2.69%"
"10/01/2017","917.80","915.40","942.20","905.00","0.13K","0.78%"
"09/01/2017","910.70","1,003.00","1,026.50","911.20","355.70K","-8.79%"
"08/01/2017","998.50","945.20","1,006.90","945.00","34.75K","6.33%"
"07/01/2017","939.10","927.60","945.00","892.20","0.33K","1.47%"
"06/01/2017","925.50","951.30","969.50","912.10","369.16K","-2.61%"
"05/01/2017","950.30","951.70","964.80","894.40","39.09K","0.21%"
"04/01/2017","948.30","956.30","989.50","937.50","0.27K","-0.17%"
"03/01/2017","949.90","1,026.10","1,030.20","932.90","372.42K","-7.87%"
"02/01/2017","1,031.00","995.00","1,047.80","992.60","39.23K","3.64%"
"01/01/2017","994.80","902.60","1,001.50","902.60","0.91K","10.07%"
"12/01/2016","903.80","912.80","953.00","888.70","299.38K","-0.67%"
"11/01/2016","909.90","978.40","1,022.00","904.20","28.42K","-6.96%"
"10/01/2016","978.00","1,026.50","1,027.00","929.10","0.39K","-4.98%"
"09/01/2016","1,029.30","1,054.50","1,110.50","1,010.00","311.06K","-2.30%"
"08/01/2016","1,053.50","1,152.90","1,192.50","1,051.20","25.18K","-8.32%"
"07/01/2016","1,149.10","1,028.20","1,146.00","1,028.20","0.34K","12.38%"
"06/01/2016","1,022.50","981.50","1,025.00","955.30","291.86K","4.29%"
"05/01/2016","980.40","1,077.50","1,090.50","967.50","32.64K","-9.12%"
"04/01/2016","1,078.80","977.60","1,082.30","945.60","0.38K","10.56%"
"03/01/2016","975.80","934.00","1,011.10","931.60","289.89K","4.44%"
"02/01/2016","934.30","869.50","964.10","854.90","25.78K","6.95%"
"01/01/2016","873.60","880.50","897.20","815.80","0.17K","-2.13%"
"12/01/2015","892.60","831.70","896.00","825.00","284.05K","7.17%"
"11/01/2015","832.90","980.00","982.90","826.00","24.51K","-15.77%"
"10/01/2015","988.80","912.80","1,026.20","897.50","0.18K","8.70%"
"09/01/2015","909.70","1,008.50","1,024.00","902.70","277.04K","-9.98%"
"08/01/2015","1,010.50","962.80","1,027.90","948.00","23.07K","2.59%"
"07/01/2015","985.00","1,082.40","1,087.30","962.20","0.13K","-8.70%"
"06/01/2015","1,078.90","1,112.00","1,124.40","1,058.60","283.87K","-2.93%"
"05/01/2015","1,111.50","1,139.00","1,177.60","1,108.70","21.87K","-2.49%"
"04/01/2015","1,139.90","1,142.00","1,188.70","1,122.00","0.22K","-0.25%"
"03/01/2015","1,142.80","1,185.10","1,196.80","1,086.70","278.10K","-3.61%"
"02/01/2015","1,185.60","1,240.00","1,252.30","1,163.90","23.05K","-4.33%"
