"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","660.25","697.75","706.00","626.75","2.11M","-5.78%"
"08/01/2024","700.75","750.50","755.50","688.50","2.06M","-5.69%"
"07/01/2024","743.00","783.75","817.00","722.50","2.31M","-5.23%"
"06/01/2024","784.00","733.25","800.25","698.25","2.14M","6.74%"
"05/01/2024","734.50","773.50","775.75","730.00","1.76M","-5.38%"
"04/01/2024","776.25","810.75","862.25","764.50","2.15M","-3.93%"
"03/01/2024","808.00","808.75","847.00","790.25","2.04M","0.22%"
"02/01/2024","806.25","836.50","891.00","789.25","2.16M","-3.67%"
"01/01/2024","837.00","745.25","857.25","731.25","2.64M","12.77%"
"12/01/2023","742.25","794.50","799.00","712.25","1.56M","-5.63%"
"11/01/2023","786.50","844.00","879.00","763.75","1.87M","-7.55%"
"10/01/2023","850.75","958.50","972.50","819.50","1.83M","-11.95%"
"09/01/2023","966.25","896.75","988.50","895.25","1.85M","9.40%"
"08/01/2023","883.25","870.25","949.00","851.50","1.98M","2.70%"
"07/01/2023","860.00","703.50","872.25","686.50","1.74M","22.42%"
"06/01/2023","702.50","650.50","726.75","649.75","1.86M","6.97%"
"05/01/2023","656.75","691.75","701.75","630.75","1.65M","-5.44%"
"04/01/2023","694.50","795.00","808.25","675.25","1.40M","-7.62%"
"03/01/2023","751.75","815.00","856.00","703.00","1.81M","-8.88%"
"02/01/2023","825.00","903.50","909.00","761.50","1.69M","-8.31%"
"01/01/2023","899.75","929.25","996.25","824.00","1.65M","-0.69%"
"12/01/2022","906.00","940.00","966.25","795.00","1.09M","-3.05%"
"11/01/2022","934.50","1,009.00","1,078.00","867.75","1.37M","-8.36%"
"10/01/2022","1,019.75","942.75","1,168.00","942.50","1.27M","8.28%"
"09/01/2022","941.75","1,067.00","1,114.50","876.75","1.33M","-12.42%"
"08/01/2022","1,075.25","1,059.50","1,189.00","928.00","1.24M","-1.29%"
"07/01/2022","1,089.25","1,146.75","1,206.00","983.50","1.09M","-3.09%"
"06/01/2022","1,124.00","1,167.50","1,339.00","1,107.50","1.07M","-6.26%"
"05/01/2022","1,199.00","1,156.00","1,225.75","969.75","1.14M","2.79%"
"04/01/2022","1,166.50","1,002.50","1,188.00","942.75","1.03M","15.72%"
"03/01/2022","1,008.00","866.75","1,422.50","843.75","1.73M","17.93%"
"02/01/2022","854.75","786.00","879.50","768.75","2.04M","9.20%"
"01/01/2022","782.75","669.75","796.00","661.75","2.00M","17.49%"
"12/01/2021","666.25","595.00","686.75","572.75","1.46M","11.46%"
"11/01/2021","597.75","714.50","737.50","576.00","2.51M","-16.08%"
"10/01/2021","712.25","673.75","746.50","667.25","2.87M","5.44%"
"09/01/2021","675.50","600.00","681.25","590.50","2.35M","12.26%"
"08/01/2021","601.75","613.75","614.50","538.00","2.02M","-2.04%"
"07/01/2021","614.25","600.75","624.25","552.00","1.60M","2.67%"
"06/01/2021","598.25","567.25","612.50","567.00","1.68M","5.14%"
"05/01/2021","569.00","535.50","572.25","530.75","1.66M","6.36%"
"04/01/2021","535.00","498.00","551.00","490.00","1.71M","5.42%"
"03/01/2021","507.50","531.50","566.75","485.00","2.21M","-4.74%"
"02/01/2021","532.75","449.25","548.75","447.25","1.99M","17.80%"
"01/01/2021","452.25","426.75","467.50","416.75","1.84M","6.91%"
"12/01/2020","423.00","393.00","437.00","383.25","1.48M","8.46%"
"11/01/2020","390.00","304.00","402.25","289.00","1.91M","27.04%"
"10/01/2020","307.00","337.75","353.00","298.25","2.11M","-8.01%"
"09/01/2020","333.75","367.75","375.00","314.75","2.09M","-9.37%"
"08/01/2020","368.25","368.00","391.75","363.00","1.68M","0.20%"
"07/01/2020","367.50","357.00","389.50","351.50","1.51M","3.45%"
"06/01/2020","355.25","307.75","375.25","301.50","1.74M","20.53%"
"05/01/2020","294.75","257.25","320.25","230.75","1.63M","15.70%"
"04/01/2020","254.75","286.75","387.75","206.50","2.03M","-13.57%"
"03/01/2020","294.75","433.50","472.75","271.00","2.48M","-32.94%"
"02/01/2020","439.50","496.00","522.00","434.25","2.34M","-12.54%"
"01/01/2020","502.50","616.25","643.00","496.75","2.72M","-18.13%"
"12/01/2019","613.75","567.75","631.00","565.00","1.57M","7.35%"
"11/01/2019","571.75","564.75","595.50","556.75","1.91M","1.46%"
"10/01/2019","563.50","580.50","595.75","554.50","2.48M","-3.92%"
"09/01/2019","586.50","564.75","666.75","548.25","2.05M","4.31%"
"08/01/2019","562.25","598.25","601.00","534.00","1.75M","-6.87%"
"07/01/2019","603.75","596.50","616.25","569.25","1.52M","1.05%"
"06/01/2019","597.50","565.75","605.25","536.75","1.49M","3.46%"
"05/01/2019","577.50","634.75","661.00","564.00","2.48M","-9.45%"
"04/01/2019","637.75","607.00","652.25","606.50","1.80M","5.02%"
"03/01/2019","607.25","622.00","629.50","596.00","1.82M","-2.17%"
"02/01/2019","620.75","570.25","624.25","565.50","1.62M","6.61%"
"01/01/2019","582.25","504.25","585.50","491.50","1.81M","13.89%"
"12/01/2018","511.25","559.75","588.75","484.00","1.30M","-6.19%"
"11/01/2018","545.00","688.75","692.25","537.00","2.50M","-22.03%"
"10/01/2018","699.00","725.00","753.50","684.50","2.69M","-3.49%"
"09/01/2018","724.25","692.75","727.75","673.50","1.97M","4.66%"
"08/01/2018","692.00","650.25","695.75","638.00","1.80M","5.29%"
"07/01/2018","657.25","674.50","683.50","627.00","1.56M","-2.88%"
"06/01/2018","676.75","681.25","681.25","632.00","1.93M","-0.73%"
"05/01/2018","681.75","653.25","701.00","636.25","2.17M","4.80%"
"04/01/2018","650.50","619.00","660.00","598.00","2.14M","5.26%"
"03/01/2018","618.00","572.25","624.00","558.50","2.00M","6.78%"
"02/01/2018","578.75","616.50","625.25","542.00","2.19M","-5.51%"
"01/01/2018","612.50","605.50","631.25","597.50","2.09M","1.79%"
"12/01/2017","601.75","554.50","607.25","544.00","1.38M","7.84%"
"11/01/2017","558.00","549.50","571.00","537.75","1.80M","1.87%"
"10/01/2017","547.75","541.25","551.00","510.25","2.11M","1.01%"
"09/01/2017","542.25","511.00","550.50","498.75","1.87M","7.75%"
"08/01/2017","503.25","494.25","510.25","459.25","2.03M","3.23%"
"07/01/2017","487.50","442.00","501.75","423.00","1.99M","11.81%"
"06/01/2017","436.00","451.25","454.75","403.50","1.85M","-2.19%"
"05/01/2017","445.75","456.50","485.25","413.00","2.19M","-2.14%"
"04/01/2017","455.50","475.75","503.25","452.50","1.46M","-3.29%"
"03/01/2017","471.00","496.25","504.00","446.25","1.66M","-4.27%"
"02/01/2017","492.00","491.75","510.75","486.00","1.49M","-1.16%"
"01/01/2017","497.75","507.25","518.75","473.50","1.77M","-1.39%"
"12/01/2016","504.75","454.50","509.50","454.25","1.36M","11.67%"
"11/01/2016","452.00","446.75","461.25","403.75","1.94M","2.44%"
"10/01/2016","441.25","450.50","481.50","438.75","1.70M","-1.45%"
"09/01/2016","447.75","418.00","451.00","402.50","1.75M","6.67%"
"08/01/2016","419.75","376.50","454.50","360.25","1.66M","11.27%"
"07/01/2016","377.25","442.25","449.75","371.25","1.72M","-15.46%"
"06/01/2016","446.25","444.75","470.50","422.25","1.52M","-1.65%"
"05/01/2016","453.75","412.00","455.25","380.25","1.73M","9.60%"
"04/01/2016","414.00","355.00","422.75","317.00","1.70M","15.48%"
"03/01/2016","358.50","327.50","384.00","324.50","1.57M","8.64%"
"02/01/2016","330.00","318.00","336.50","281.00","1.67M","5.77%"
"01/01/2016","312.00","342.25","354.25","253.00","1.80M","-6.66%"
"12/01/2015","334.25","413.25","418.50","331.75","1.64M","-21.54%"
"11/01/2015","426.00","459.00","479.25","412.00","1.76M","-7.39%"
"10/01/2015","460.00","470.00","499.50","434.00","2.07M","-1.50%"
"09/01/2015","467.00","510.50","511.00","458.25","1.74M","-4.89%"
"08/01/2015","491.00","485.00","519.25","425.50","1.71M","-0.30%"
"07/01/2015","492.50","574.25","580.50","484.00","1.70M","-14.50%"
"06/01/2015","576.00","599.50","602.50","561.50","1.69M","-2.95%"
"05/01/2015","593.50","604.25","628.25","565.75","1.54M","-0.96%"
"04/01/2015","599.25","521.25","603.50","509.00","1.51M","14.36%"
"03/01/2015","524.00","587.00","587.00","502.75","1.67M","-9.77%"
"02/01/2015","580.75","498.75","589.50","494.00","2.00M","21.75%"
"01/01/2015","477.00","541.50","543.25","456.25","1.64M","-8.49%"
"12/01/2014","521.25","632.00","652.00","520.00","1.35M","-20.33%"
"11/01/2014","654.25","746.50","754.25","630.25","1.67M","-11.74%"
"10/01/2014","741.25","805.25","814.50","718.25","1.99M","-8.29%"
"09/01/2014","808.25","868.75","872.75","798.00","1.53M","-6.94%"
"08/01/2014","868.50","889.50","895.75","857.00","1.48M","-2.36%"
"07/01/2014","889.50","917.75","920.00","876.25","1.45M","-3.18%"
"06/01/2014","918.75","897.00","947.00","881.00","1.43M","2.80%"
"05/01/2014","893.75","902.25","916.25","892.50","1.50M","-0.80%"
"04/01/2014","901.00","896.25","928.75","873.25","1.49M","0.67%"
"03/01/2014","895.00","921.25","944.25","885.25","1.49M","-2.53%"
"02/01/2014","918.25","909.00","938.75","894.50","1.54M","0.71%"
"01/01/2014","911.75","945.00","945.50","893.75","1.83M","-3.37%"
"12/01/2013","943.50","937.75","957.00","914.25","1.14M","0.08%"
"11/01/2013","942.75","926.25","947.75","882.50","1.53M","2.03%"
"10/01/2013","924.00","915.25","947.00","902.00","2.15M","1.32%"
"09/01/2013","912.00","956.25","971.75","900.25","1.69M","-5.91%"
"08/01/2013","969.25","919.00","985.50","893.50","1.63M","6.19%"
"07/01/2013","912.75","876.00","931.25","869.50","1.75M","4.05%"
