"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","15.48","14.80","15.69","14.68","7.72K","4.70%"
"08/01/2024","14.78","15.47","15.62","14.66","13.20K","-4.61%"
"07/01/2024","15.50","15.39","15.53","14.44","8.09K","0.71%"
"06/01/2024","15.39","15.62","15.83","15.18","8.18K","-2.47%"
"05/01/2024","15.78","19.28","19.55","15.39","6.31K","-18.15%"
"04/01/2024","19.28","16.67","19.61","16.22","14.51K","15.52%"
"03/01/2024","16.69","18.26","18.70","16.67","7.64K","-8.72%"
"02/01/2024","18.28","18.34","19.35","18.20","15.82K","0.97%"
"01/01/2024","18.11","17.52","18.50","17.21","8.98K","3.37%"
"12/01/2023","17.52","17.57","17.74","17.07","14.35K","-0.43%"
"11/01/2023","17.59","16.02","17.85","15.69","11.06K","9.93%"
"10/01/2023","16.00","16.23","16.58","15.94","13.02K","-1.36%"
"09/01/2023","16.23","16.65","16.86","15.60","8.07K","-2.79%"
"08/01/2023","16.69","15.66","16.88","15.66","14.42K","6.51%"
"07/01/2023","15.67","14.98","16.40","14.57","4.97K","4.57%"
"06/01/2023","14.98","14.73","15.86","14.60","10.76K","1.83%"
"05/01/2023","14.72","17.37","18.50","14.31","7.35K","-15.31%"
"04/01/2023","17.38","17.69","17.82","16.43","8.34K","-1.61%"
"03/01/2023","17.66","17.28","17.95","16.25","7.49K","1.79%"
"02/01/2023","17.35","18.19","18.50","16.94","11.53K","-4.59%"
"01/01/2023","18.18","18.33","18.65","17.28","5.44K","-1.11%"
"12/01/2022","18.39","18.10","18.53","16.99","15.34K","1.38%"
"11/01/2022","18.14","16.99","18.49","16.95","10.83K","6.80%"
"10/01/2022","16.99","17.46","17.48","16.28","13.93K","-2.89%"
"09/01/2022","17.49","17.87","18.16","16.97","5.71K","-1.96%"
"08/01/2022","17.84","17.18","17.95","16.80","12.69K","3.75%"
"07/01/2022","17.19","16.70","17.50","16.05","4.63K","2.69%"
"06/01/2022","16.75","17.80","17.84","16.36","10.30K","-5.98%"
"05/01/2022","17.81","17.49","18.15","16.61","6.48K","1.92%"
"04/01/2022","17.48","16.25","17.50","15.94","11.49K","7.18%"
"03/01/2022","16.31","15.62","16.89","15.62","7.44K","3.95%"
"02/01/2022","15.69","15.18","15.77","14.90","11.04K","2.68%"
"01/01/2022","15.27","14.85","15.38","14.10","6.46K","2.83%"
"12/01/2021","14.85","14.29","14.88","13.78","14.14K","4.06%"
"11/01/2021","14.27","13.60","14.91","13.01","9.20K","5.23%"
"10/01/2021","13.56","13.93","14.21","13.53","12.29K","-2.83%"
"09/01/2021","13.96","13.38","14.22","13.20","4.18K","4.30%"
"08/01/2021","13.39","13.90","13.92","13.29","9.37K","-4.02%"
"07/01/2021","13.94","13.48","14.06","12.75","3.73K","3.49%"
"06/01/2021","13.48","13.56","13.99","12.50","10.66K","-0.52%"
"05/01/2021","13.55","13.69","14.62","13.34","7.82K","-1.10%"
"04/01/2021","13.69","13.49","13.89","13.09","11.08K","1.90%"
"03/01/2021","13.44","13.09","13.54","12.90","3.73K","3.03%"
"02/01/2021","13.05","13.64","13.64","12.90","11.85K","-4.57%"
"01/01/2021","13.67","12.75","13.67","12.50","5.22K","7.72%"
"12/01/2020","12.69","12.73","12.81","12.30","15.00K","-0.35%"
"11/01/2020","12.73","12.36","12.82","12.23","2.72K","2.99%"
"10/01/2020","12.36","12.68","12.93","12.05","12.05K","-2.45%"
"09/01/2020","12.68","12.27","12.76","12.06","3.40K","2.59%"
"08/01/2020","12.35","11.66","12.67","11.50","12.19K","6.14%"
"07/01/2020","11.64","12.24","12.39","11.22","4.13K","-4.79%"
"06/01/2020","12.23","12.40","12.78","11.65","11.58K","-1.49%"
"05/01/2020","12.41","14.85","16.55","11.86","5.77K","-16.09%"
"04/01/2020","14.79","13.97","15.62","13.78","15.05K","5.45%"
"03/01/2020","14.02","13.60","14.10","12.69","12.32K","3.12%"
"02/01/2020","13.60","13.80","13.98","13.31","17.12K","-1.23%"
"01/01/2020","13.77","13.26","13.85","12.85","8.43K","3.65%"
"12/01/2019","13.28","12.64","13.31","12.45","15.19K","5.06%"
"11/01/2019","12.65","12.01","12.64","11.80","5.05K","5.20%"
"10/01/2019","12.02","12.18","12.45","11.73","14.37K","-1.84%"
"09/01/2019","12.24","11.95","12.56","11.84","6.82K","2.43%"
"08/01/2019","11.95","12.14","12.20","11.17","15.90K","-1.60%"
"07/01/2019","12.15","11.60","12.52","11.21","5.90K","4.97%"
"06/01/2019","11.57","11.63","12.02","11.34","12.54K","-0.69%"
"05/01/2019","11.65","10.55","11.98","10.41","7.67K","10.16%"
"04/01/2019","10.58","11.02","11.06","10.33","11.78K","-3.91%"
"03/01/2019","11.01","10.59","11.37","10.48","6.41K","3.57%"
"02/01/2019","10.63","10.88","10.98","9.90","14.20K","-2.07%"
"01/01/2019","10.85","10.37","11.00","10.27","5.67K","4.73%"
"12/01/2018","10.36","11.06","11.27","10.10","10.74K","-6.33%"
"11/01/2018","11.06","10.48","11.11","10.48","3.90K","4.83%"
"10/01/2018","10.56","9.98","11.28","9.92","12.88K","5.76%"
