"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","616.30","623.70","631.10","553.70","312.34K","-1.20%"
"08/01/2024","623.80","631.40","632.50","571.90","200.44K","-1.30%"
"07/01/2024","632.00","632.30","685.30","614.00","435.84K","0.78%"
"06/01/2024","627.10","683.00","684.00","598.80","638.84K","-8.21%"
"05/01/2024","683.20","619.00","696.70","613.70","501.61K","10.55%"
"04/01/2024","618.00","637.10","654.20","615.40","624.75K","-2.85%"
"03/01/2024","636.10","593.00","660.30","589.00","409.51K","7.14%"
"02/01/2024","593.70","617.70","617.90","575.00","564.63K","-3.93%"
"01/01/2024","618.00","651.90","659.70","604.70","337.63K","-5.42%"
"12/01/2023","653.40","703.80","705.00","651.00","393.93K","-7.37%"
"11/01/2023","705.40","678.00","730.90","672.00","318.08K","4.03%"
"10/01/2023","678.10","718.50","732.60","678.00","435.52K","-5.29%"
"09/01/2023","716.00","812.50","823.80","714.70","221.89K","-12.03%"
"08/01/2023","813.90","786.70","827.30","763.60","144.91K","3.33%"
"07/01/2023","787.70","740.30","847.50","733.50","263.76K","6.97%"
"06/01/2023","736.40","621.90","741.80","617.20","499.13K","17.86%"
"05/01/2023","624.80","700.10","748.10","611.20","319.78K","-11.17%"
"04/01/2023","703.40","751.20","770.40","698.40","328.85K","-6.15%"
"03/01/2023","749.50","818.20","829.50","699.50","344.24K","-8.40%"
"02/01/2023","818.20","831.00","835.00","811.00","292.77K","-1.56%"
"01/01/2023","831.20","863.00","880.00","790.00","283.69K","-4.00%"
"12/01/2022","865.80","845.20","881.00","810.00","282.84K","2.61%"
"11/01/2022","843.80","878.00","911.90","799.40","277.69K","-4.00%"
"10/01/2022","879.00","856.00","898.50","850.00","305.47K","2.19%"
"09/01/2022","860.20","843.20","864.00","772.40","182.38K","1.90%"
"08/01/2022","844.20","849.40","886.70","803.10","140.80K","-6.41%"
"07/01/2022","902.00","864.40","904.30","787.40","153.89K","2.68%"
"06/01/2022","878.50","1,070.70","1,070.70","810.60","318.69K","-18.16%"
"05/01/2022","1,073.50","1,188.50","1,189.90","1,041.60","165.19K","-9.65%"
