"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","22.47","19.41","23.64","18.74","1.80M","14.29%"
"08/01/2024","19.66","19.32","20.19","17.88","600.32K","1.81%"
"07/01/2024","19.31","20.55","21.00","18.20","490.34K","-4.88%"
"06/01/2024","20.30","18.27","20.48","18.20","1.47M","10.99%"
"05/01/2024","18.29","19.54","19.98","18.02","569.86K","-5.77%"
"04/01/2024","19.41","22.23","22.49","18.97","1.33M","-12.37%"
"03/01/2024","22.15","21.58","22.19","20.41","521.15K","2.12%"
"02/01/2024","21.69","23.28","23.62","21.54","1.24M","-6.71%"
"01/01/2024","23.25","20.45","23.66","20.25","568.00K","13.86%"
"12/01/2023","20.42","25.15","25.17","19.80","675.77K","-18.45%"
"11/01/2023","25.04","25.77","26.76","24.90","391.96K","-2.64%"
"10/01/2023","25.72","25.36","26.62","24.23","412.45K","-2.87%"
"09/01/2023","26.48","25.45","27.88","25.43","1.44M","4.13%"
"08/01/2023","25.43","24.33","26.21","23.42","768.19K","4.69%"
"07/01/2023","24.29","22.96","25.37","22.87","450.83K","6.58%"
"06/01/2023","22.79","24.83","26.19","21.88","1.85M","-7.88%"
"05/01/2023","24.74","26.06","26.39","24.37","836.20K","-6.11%"
"04/01/2023","26.35","21.90","26.83","21.80","1.70M","20.71%"
"03/01/2023","21.83","19.66","21.94","19.55","869.45K","8.77%"
"02/01/2023","20.07","20.48","20.52","19.43","1.41M","-1.81%"
"01/01/2023","20.44","18.69","20.48","17.89","720.95K","9.19%"
"12/01/2022","18.72","18.65","19.64","18.16","446.40K","0.86%"
"11/01/2022","18.56","16.96","19.21","16.95","492.02K","9.89%"
"10/01/2022","16.89","17.03","17.96","16.64","377.40K","-4.47%"
"09/01/2022","17.68","17.77","18.18","17.19","1.45M","-0.51%"
"08/01/2022","17.77","17.74","18.65","17.34","575.78K","0.45%"
"07/01/2022","17.69","18.77","19.69","17.50","447.06K","-4.38%"
"06/01/2022","18.50","19.57","19.89","18.13","1.32M","-5.47%"
"05/01/2022","19.57","19.23","20.29","18.45","538.05K","2.19%"
