"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","31.314","28.955","32.715","27.765","10.84K","8.48%"
"08/01/2024","28.865","29.165","30.225","26.505","1.40M","-0.25%"
"07/01/2024","28.938","29.285","31.770","27.375","130.42K","-1.53%"
"06/01/2024","29.388","30.625","31.670","28.580","1.50M","-3.46%"
"05/01/2024","30.440","26.405","32.570","26.150","244.16K","14.73%"
"04/01/2024","26.532","25.140","29.905","24.855","2.22M","6.49%"
"03/01/2024","24.916","22.775","25.800","22.615","139.07K","9.39%"
"02/01/2024","22.777","23.055","23.560","21.975","1.24M","-1.69%"
"01/01/2024","23.169","23.955","24.205","21.935","125.43K","-3.37%"
"12/01/2023","23.976","25.460","26.045","22.580","13.15K","-5.66%"
"11/01/2023","25.414","22.955","25.455","21.925","1.24M","10.73%"
"10/01/2023","22.952","22.280","23.750","20.765","117.91K","2.70%"
"09/01/2023","22.348","24.560","24.980","22.270","6.48K","-9.04%"
"08/01/2023","24.570","24.900","25.140","22.265","1.30M","-1.61%"
"07/01/2023","24.972","22.870","25.325","22.680","86.74K","9.01%"
"06/01/2023","22.908","23.625","24.620","22.140","1.24M","-2.88%"
"05/01/2023","23.587","25.305","26.245","22.705","160.91K","-6.07%"
"04/01/2023","25.111","24.285","26.235","23.725","1.13M","3.95%"
"03/01/2023","24.156","20.960","24.310","19.895","130.65K","14.95%"
"02/01/2023","21.015","23.840","24.750","20.450","1.17M","-11.84%"
"01/01/2023","23.836","24.225","24.620","22.790","126.82K","-0.51%"
"12/01/2022","23.957","22.310","24.315","22.035","12.53K","10.66%"
"11/01/2022","21.649","19.110","22.380","18.805","1.36M","13.23%"
"10/01/2022","19.119","19.020","21.260","18.025","90.28K","0.56%"
"09/01/2022","19.013","17.775","19.915","17.345","5.32K","6.77%"
"08/01/2022","17.807","20.335","20.870","17.740","1.11M","-11.83%"
"07/01/2022","20.197","20.180","20.350","18.015","157.42K","-0.62%"
"06/01/2022","20.322","21.535","22.565","20.120","1.08M","-6.30%"
"05/01/2022","21.688","22.840","23.270","20.460","113.36K","-5.96%"
"04/01/2022","23.063","24.990","26.495","22.735","993.45K","-8.24%"
"03/01/2022","25.133","24.485","27.350","24.100","81.50K","3.15%"
"02/01/2022","24.366","22.490","25.670","21.985","1.06M","8.81%"
"01/01/2022","22.393","23.370","24.725","21.970","106.84K","-4.05%"
"12/01/2021","23.339","22.830","23.400","21.415","14.07K","2.43%"
"11/01/2021","22.785","23.985","25.490","22.700","1.34M","-4.86%"
"10/01/2021","23.949","22.025","24.895","22.025","105.92K","8.68%"
"09/01/2021","22.037","23.900","24.910","21.420","8.77K","-8.08%"
"08/01/2021","23.975","25.625","26.090","22.295","1.22M","-6.15%"
"07/01/2021","25.547","26.240","26.810","24.510","119.31K","-2.41%"
"06/01/2021","26.179","28.060","28.710","25.580","1.48M","-6.55%"
"05/01/2021","28.014","25.925","28.840","25.855","135.06K","8.34%"
"04/01/2021","25.857","24.460","26.730","24.270","1.16M","5.40%"
"03/01/2021","24.532","26.680","27.120","23.740","147.34K","-7.15%"
"02/01/2021","26.422","28.425","30.350","25.935","1.85M","-1.83%"
"01/01/2021","26.914","26.730","28.045","24.425","384.61K","2.06%"
"12/01/2020","26.372","22.665","27.510","22.665","12.26K","16.91%"
"11/01/2020","22.558","23.635","26.135","21.925","1.58M","-4.60%"
"10/01/2020","23.646","23.700","25.650","22.625","185.74K","0.78%"
"09/01/2020","23.464","28.340","29.095","21.740","10.39K","-17.58%"
"08/01/2020","28.470","24.680","29.915","23.580","3.67M","17.57%"
"07/01/2020","24.216","18.520","26.175","17.970","303.74K","30.24%"
"06/01/2020","18.593","18.635","18.950","17.015","1.32M","0.51%"
"05/01/2020","18.499","15.025","18.550","14.735","129.49K","24.05%"
"04/01/2020","14.913","14.145","16.300","13.895","909.95K","5.35%"
"03/01/2020","14.156","16.535","17.565","11.655","126.24K","-13.80%"
"02/01/2020","16.423","18.100","18.920","16.375","1.49M","-8.82%"
"01/01/2020","18.012","17.875","18.735","17.265","164.54K","0.74%"
"12/01/2019","17.879","16.980","18.150","16.480","7.65K","5.09%"
"11/01/2019","17.013","18.120","18.230","16.615","1.76M","-5.83%"
"10/01/2019","18.067","17.040","18.255","16.900","191.28K","6.60%"
"09/01/2019","16.948","18.430","19.655","16.940","19.39K","-7.10%"
"08/01/2019","18.244","16.280","18.650","15.935","2.08M","11.21%"
"07/01/2019","16.405","15.210","16.640","14.890","172.39K","7.22%"
"06/01/2019","15.301","14.575","15.555","14.565","1.92M","5.04%"
"05/01/2019","14.567","14.920","14.945","14.240","151.34K","-2.51%"
"04/01/2019","14.942","15.095","15.310","14.700","1.34M","-1.11%"
"03/01/2019","15.110","15.590","15.615","14.950","162.16K","-3.05%"
"02/01/2019","15.586","16.060","16.195","15.445","1.21M","-3.02%"
"01/01/2019","16.072","15.500","16.200","15.190","162.86K","3.76%"
"12/01/2018","15.490","14.250","15.500","14.200","4.63K","9.59%"
"11/01/2018","14.135","14.260","14.920","13.860","1.67M","-1.03%"
"10/01/2018","14.282","14.630","14.885","14.240","160.01K","-2.59%"
"09/01/2018","14.662","14.480","14.675","13.900","4.83K","1.24%"
"08/01/2018","14.482","15.535","15.575","14.315","1.68M","-6.92%"
"07/01/2018","15.559","16.110","16.205","15.150","122.44K","-3.67%"
