"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","341.60","310.20","346.90","307.60","1.17M","10.16%"
"08/01/2024","310.10","327.50","343.70","298.10","666.06K","-5.26%"
"07/01/2024","327.30","346.00","359.70","313.00","797.93K","-5.40%"
"06/01/2024","346.00","357.50","362.20","344.10","749.38K","-3.35%"
"05/01/2024","358.00","347.50","390.00","344.70","1.29M","1.73%"
"04/01/2024","351.90","341.30","361.40","328.90","1.68M","3.20%"
"03/01/2024","341.00","328.80","350.70","325.40","1.08M","3.58%"
"02/01/2024","329.20","364.00","365.20","323.20","1.38M","-9.59%"
"01/01/2024","364.10","385.30","385.60","347.40","1.23M","-5.67%"
"12/01/2023","386.00","423.80","423.80","384.30","1.22M","-8.96%"
"11/01/2023","424.00","418.00","460.60","412.90","1.21M","1.44%"
"10/01/2023","418.00","381.20","432.30","366.50","1.44M","9.65%"
"09/01/2023","381.20","404.90","410.80","380.80","971.01K","-5.81%"
"08/01/2023","404.70","424.00","434.80","383.10","635.65K","-4.51%"
"07/01/2023","423.80","414.40","451.00","401.50","549.97K","2.39%"
"06/01/2023","413.90","387.20","438.90","383.50","656.76K","6.73%"
"05/01/2023","387.80","432.50","437.60","381.80","806.54K","-10.31%"
"04/01/2023","432.40","459.50","468.20","422.00","1.14M","-6.26%"
"03/01/2023","461.30","467.50","498.00","431.30","1.12M","-1.24%"
"02/01/2023","467.10","467.80","488.60","464.50","996.05K","-0.30%"
"01/01/2023","468.50","471.00","485.30","441.40","827.27K","-0.53%"
"12/01/2022","471.00","417.80","476.10","415.20","1.18M","12.73%"
"11/01/2022","417.80","418.10","421.80","399.00","818.79K","-0.31%"
"10/01/2022","419.10","403.00","430.00","391.90","766.86K","4.00%"
"09/01/2022","403.00","421.50","444.80","402.40","865.71K","-4.21%"
"08/01/2022","420.70","444.40","468.10","400.40","465.25K","-4.91%"
"07/01/2022","442.40","435.50","461.30","398.90","451.62K","1.58%"
"06/01/2022","435.50","411.20","442.50","397.90","404.91K","6.12%"
"05/01/2022","410.40","432.00","435.30","395.00","551.57K","-5.07%"
"04/01/2022","432.30","460.10","467.80","429.00","887.27K","-5.90%"
"03/01/2022","459.40","448.00","491.60","443.10","740.80K","2.94%"
"02/01/2022","446.30","417.00","487.00","415.40","1.02M","7.03%"
"01/01/2022","417.00","401.20","431.80","386.30","869.51K","4.49%"
"12/01/2021","399.10","342.60","415.10","340.70","1.07M","16.76%"
"11/01/2021","341.80","330.30","375.90","326.70","906.22K","3.45%"
"10/01/2021","330.40","328.70","332.80","309.30","874.17K","0.52%"
"09/01/2021","328.70","343.60","344.90","328.30","679.67K","-4.20%"
"08/01/2021","343.10","351.90","364.00","342.60","350.84K","-2.33%"
"07/01/2021","351.30","377.50","387.10","346.40","376.58K","-6.94%"
"06/01/2021","377.50","397.20","407.50","340.50","486.24K","-4.79%"
"05/01/2021","396.50","428.00","457.20","379.00","624.77K","-6.95%"
"04/01/2021","426.10","429.10","439.10","399.40","1.15M","0.31%"
"03/01/2021","424.80","425.00","427.20","395.80","756.73K","0.81%"
"02/01/2021","421.40","430.00","442.10","415.30","797.79K","-1.79%"
"01/01/2021","429.10","431.90","471.40","413.40","718.30K","-0.07%"
"12/01/2020","429.40","391.00","432.50","375.80","1.08M","9.96%"
"11/01/2020","390.50","371.90","401.30","368.60","659.20K","5.09%"
"10/01/2020","371.60","342.80","385.00","341.90","916.35K","8.40%"
"09/01/2020","342.80","306.00","349.60","302.10","1.07M","11.70%"
"08/01/2020","306.90","291.10","309.50","281.90","392.29K","5.39%"
"07/01/2020","291.20","289.50","299.50","284.20","473.49K","0.73%"
"06/01/2020","289.10","285.00","295.00","283.30","447.54K","1.44%"
"05/01/2020","285.00","295.10","295.80","283.90","429.65K","-3.42%"
"04/01/2020","295.10","318.70","318.80","285.60","881.15K","-7.46%"
"03/01/2020","318.90","305.10","326.40","296.20","1.11M","4.35%"
"02/01/2020","305.60","296.20","307.40","290.70","1.32M","3.14%"
"01/01/2020","296.30","304.30","308.40","295.70","828.22K","-2.76%"
"12/01/2019","304.70","293.10","307.90","292.60","1.29M","3.96%"
"11/01/2019","293.10","306.70","310.00","292.80","986.34K","-4.50%"
"10/01/2019","306.90","301.00","314.40","300.30","855.31K","1.96%"
"09/01/2019","301.00","292.50","303.30","288.30","768.13K","3.19%"
"08/01/2019","291.70","300.40","300.80","291.00","421.14K","-2.93%"
"07/01/2019","300.50","318.20","318.70","299.70","429.19K","-4.69%"
"06/01/2019","315.30","322.60","328.80","310.10","433.67K","-2.29%"
"05/01/2019","322.70","299.90","329.30","283.10","736.24K","7.53%"
"04/01/2019","300.10","310.00","315.80","299.30","1.03M","-3.19%"
"03/01/2019","310.00","306.10","319.70","300.30","747.32K","1.31%"
"02/01/2019","306.00","314.50","321.30","305.70","1.01M","-2.55%"
"01/01/2019","314.00","310.30","324.60","309.60","666.68K","1.32%"
"12/01/2018","309.90","317.90","319.10","307.10","980.24K","-0.19%"
"11/01/2018","310.50","308.00","317.90","303.00","797.26K","0.75%"
"10/01/2018","308.20","308.80","328.50","304.20","902.61K","-0.26%"
"09/01/2018","309.00","305.10","318.40","301.60","728.04K","1.44%"
"08/01/2018","304.60","339.00","339.80","300.80","451.85K","-10.39%"
"07/01/2018","339.90","330.50","341.50","324.10","466.83K","2.69%"
"06/01/2018","331.00","375.80","378.20","322.30","557.51K","-12.01%"
"05/01/2018","376.20","393.90","406.50","372.60","715.30K","-4.47%"
"04/01/2018","393.80","386.30","403.60","367.00","1.28M","1.94%"
"03/01/2018","386.30","392.20","404.00","360.90","909.57K","-2.13%"
"02/01/2018","394.70","341.60","399.20","330.20","1.24M","15.58%"
"01/01/2018","341.50","318.30","350.60","310.30","839.36K","7.80%"
"12/01/2017","316.80","326.30","348.20","315.70","1.14M","-2.97%"
"11/01/2017","326.50","314.10","331.90","311.60","865.09K","4.05%"
"10/01/2017","313.80","314.80","329.90","309.80","683.40K","-0.63%"
"09/01/2017","315.80","296.40","320.90","293.20","752.50K","6.51%"
"08/01/2017","296.50","317.80","318.00","293.50","373.46K","-7.55%"
"07/01/2017","320.70","308.00","341.40","308.00","435.46K","4.74%"
"06/01/2017","306.20","299.50","311.50","293.50","411.90K","2.27%"
"05/01/2017","299.40","315.80","325.70","297.90","593.46K","-5.19%"
"04/01/2017","315.80","311.70","323.60","309.60","1.00M","1.28%"
"03/01/2017","311.80","336.00","339.80","310.60","754.23K","-7.31%"
"02/01/2017","336.40","338.40","354.50","332.80","806.12K","-0.44%"
"01/01/2017","337.90","316.60","354.80","310.70","714.16K","6.73%"
"12/01/2016","316.60","318.80","328.00","311.00","974.92K","-0.53%"
"11/01/2016","318.30","317.90","329.30","306.70","691.69K","0.13%"
"10/01/2016","317.90","299.50","329.80","295.30","760.93K","6.11%"
"09/01/2016","299.60","308.00","322.50","294.10","720.78K","-2.85%"
"08/01/2016","308.40","346.10","349.10","307.40","319.46K","-11.86%"
"07/01/2016","349.90","404.50","406.50","334.30","351.88K","-13.78%"
"06/01/2016","405.80","385.30","421.40","372.50","447.60K","5.32%"
"05/01/2016","385.30","335.20","399.40","331.90","803.84K","15.08%"
"04/01/2016","334.80","273.20","339.90","268.50","1.32M","22.59%"
"03/01/2016","273.10","262.80","279.10","260.80","675.38K","4.04%"
"02/01/2016","262.50","274.70","276.80","258.90","740.18K","-4.34%"
"01/01/2016","274.40","265.50","277.20","263.80","596.41K","3.35%"
"12/01/2015","265.50","285.30","291.60","265.00","920.41K","-6.94%"
"11/01/2015","285.30","303.60","305.50","278.70","635.07K","-5.87%"
"10/01/2015","303.10","308.80","318.60","297.80","752.99K","-1.91%"
"09/01/2015","309.00","313.30","318.90","299.80","766.23K","-1.47%"
"08/01/2015","313.60","338.70","354.80","310.00","349.06K","-7.41%"
"07/01/2015","338.70","352.00","366.40","333.10","444.29K","-3.75%"
"06/01/2015","351.90","298.00","353.90","291.10","413.47K","17.93%"
"05/01/2015","298.40","316.10","317.90","295.80","507.76K","-5.60%"
"04/01/2015","316.10","324.90","332.00","307.50","855.70K","-2.80%"
"03/01/2015","325.20","341.40","344.00","315.50","678.56K","-5.02%"
"02/01/2015","342.40","324.00","351.70","318.70","740.69K","5.68%"
"01/01/2015","324.00","346.10","358.00","314.50","595.97K","-6.79%"
"12/01/2014","347.60","365.00","379.40","345.30","728.31K","-5.11%"
"11/01/2014","366.30","366.20","398.90","347.90","589.58K","-0.11%"
"10/01/2014","366.70","297.50","384.00","295.10","774.46K","22.68%"
"09/01/2014","298.90","362.20","374.40","297.60","578.20K","-17.68%"
"08/01/2014","363.10","360.80","383.50","348.60","301.36K","0.30%"
"07/01/2014","362.00","428.10","432.80","355.90","337.79K","-15.95%"
"06/01/2014","430.70","472.30","478.70","424.00","309.73K","-9.12%"
"05/01/2014","473.90","492.60","493.50","451.30","394.12K","-4.01%"
"04/01/2014","493.70","462.90","494.30","460.80","690.89K","6.49%"
"03/01/2014","463.60","457.90","464.60","428.50","599.60K","1.29%"
"02/01/2014","457.70","411.50","472.90","409.80","752.75K","11.34%"
"01/01/2014","411.10","416.30","434.70","400.70","602.42K","-1.41%"
"12/01/2013","417.00","437.10","444.40","416.20","784.03K","-4.49%"
"11/01/2013","436.60","397.20","440.00","385.60","657.63K","10.11%"
"10/01/2013","396.50","404.00","423.30","396.00","650.18K","-2.20%"
"09/01/2013","405.40","442.50","453.00","404.00","552.36K","-5.37%"
"08/01/2013","428.40","405.00","447.80","370.70","276.28K","6.04%"
"07/01/2013","404.00","433.20","461.60","389.00","451.16K","-7.11%"
"06/01/2013","434.90","426.30","442.30","415.40","278.58K","2.14%"
"05/01/2013","425.80","413.70","428.80","385.70","473.55K","2.73%"
"04/01/2013","414.50","400.80","422.70","388.00","871.81K","3.50%"
"03/01/2013","400.50","435.60","442.90","399.40","554.35K","-8.06%"
"02/01/2013","435.60","423.60","443.90","402.10","684.28K","2.95%"
"01/01/2013","423.10","421.60","430.60","392.40","652.11K","0.88%"
"12/01/2012","419.40","436.50","460.30","418.50","611.06K","-3.56%"
"11/01/2012","434.90","475.60","483.00","415.10","445.19K","-8.48%"
"10/01/2012","475.20","485.70","486.90","444.00","523.34K","-2.40%"
"09/01/2012","486.90","539.00","544.40","470.90","618.13K","-9.19%"
"08/01/2012","536.20","516.90","541.80","488.50","296.95K","3.98%"
"07/01/2012","515.70","434.50","533.70","432.50","398.01K","20.07%"
"06/01/2012","429.50","383.40","435.80","376.80","334.91K","12.38%"
"05/01/2012","382.20","434.80","437.60","382.40","526.26K","-12.24%"
"04/01/2012","435.50","391.10","436.50","386.90","799.96K","11.75%"
"03/01/2012","389.70","351.40","394.50","348.60","644.47K","10.43%"
"02/01/2012","352.90","320.70","354.20","318.90","494.42K","9.84%"
"01/01/2012","321.30","320.60","329.00","296.40","461.19K","2.62%"
"12/01/2011","313.10","291.50","315.90","275.40","661.85K","7.15%"
"11/01/2011","292.20","318.10","319.80","280.80","466.93K","-8.11%"
"10/01/2011","318.00","307.60","331.30","300.90","575.44K","3.05%"
"09/01/2011","308.60","382.20","382.50","306.50","853.04K","-19.36%"
"08/01/2011","382.70","354.60","385.30","337.60","262.25K","8.35%"
"07/01/2011","353.20","337.30","368.30","336.10","291.97K","5.59%"
