"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","1,075.25","1,000.00","1,087.50","995.25","1.79M","7.53%"
"08/01/2024","1,000.00","1,014.50","1,032.75","940.00","1.66M","-1.43%"
"07/01/2024","1,014.50","1,133.50","1,169.75","1,005.25","728.87K","-10.50%"
"06/01/2024","1,133.50","1,202.50","1,203.75","1,130.50","880.51K","-5.82%"
"05/01/2024","1,203.50","1,161.00","1,256.50","1,156.25","1.83M","3.48%"
"04/01/2024","1,163.00","1,209.25","1,215.75","1,145.75","2.66M","-3.51%"
"03/01/2024","1,205.25","1,139.00","1,240.00","1,137.25","1.99M","5.65%"
"02/01/2024","1,140.75","1,231.75","1,232.00","1,128.50","2.14M","-7.46%"
"01/01/2024","1,232.75","1,290.50","1,290.75","1,199.00","1.78M","-5.03%"
"12/01/2023","1,298.00","1,361.50","1,362.50","1,296.75","1.83M","-4.72%"
"11/01/2023","1,362.25","1,311.00","1,410.75","1,304.75","1.90M","3.95%"
"10/01/2023","1,310.50","1,292.00","1,334.00","1,270.25","2.09M","1.24%"
"09/01/2023","1,294.50","1,369.00","1,385.00","1,292.50","1.66M","-5.42%"
"08/01/2023","1,368.75","1,372.50","1,409.50","1,303.00","1.64M","-0.13%"
"07/01/2023","1,370.50","1,442.00","1,504.75","1,362.00","515.07K","-4.96%"
"06/01/2023","1,442.00","1,216.50","1,453.25","1,216.00","779.67K","18.42%"
"05/01/2023","1,217.75","1,419.25","1,446.75","1,193.25","1.27M","-14.20%"
"04/01/2023","1,419.25","1,480.00","1,501.00","1,396.50","2.24M","-3.81%"
"03/01/2023","1,475.50","1,481.50","1,538.50","1,383.75","2.06M","-0.24%"
"02/01/2023","1,479.00","1,530.00","1,549.75","1,477.75","1.95M","-3.35%"
"01/01/2023","1,530.25","1,524.25","1,544.75","1,465.00","1.48M","0.41%"
"12/01/2022","1,524.00","1,472.00","1,537.50","1,431.75","1.69M","3.29%"
"11/01/2022","1,475.50","1,417.00","1,484.00","1,412.75","1.38M","3.95%"
"10/01/2022","1,419.50","1,373.75","1,424.00","1,362.25","1.77M","3.20%"
"09/01/2022","1,375.50","1,420.00","1,508.75","1,373.00","1.51M","-3.30%"
"08/01/2022","1,422.50","1,500.00","1,557.25","1,376.00","1.44M","-4.35%"
"07/01/2022","1,487.25","1,563.75","1,573.25","1,304.50","426.53K","-4.69%"
"06/01/2022","1,560.50","1,623.00","1,689.50","1,494.75","519.52K","-3.69%"
"05/01/2022","1,620.25","1,684.50","1,688.75","1,578.00","933.28K","-3.83%"
"04/01/2022","1,684.75","1,600.00","1,734.00","1,560.50","1.64M","5.43%"
"03/01/2022","1,598.00","1,641.50","1,734.00","1,594.25","1.47M","-2.37%"
"02/01/2022","1,636.75","1,494.75","1,759.25","1,490.00","2.18M","9.46%"
"01/01/2022","1,495.25","1,349.00","1,501.50","1,342.00","1.53M","11.65%"
"12/01/2021","1,339.25","1,231.25","1,384.50","1,223.50","1.88M","9.19%"
"11/01/2021","1,226.50","1,249.00","1,300.50","1,181.25","1.44M","-1.84%"
