"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","604.25","552.25","615.50","544.25","807.57K","9.56%"
"08/01/2024","551.50","551.75","574.75","520.75","1.33M","-0.09%"
"07/01/2024","552.00","573.50","592.25","539.50","859.82K","-3.75%"
"06/01/2024","573.50","697.75","718.50","556.75","1.29M","-18.01%"
"05/01/2024","699.50","604.25","739.25","593.50","1.16M","15.96%"
"04/01/2024","603.25","577.25","633.25","550.00","1.48M","4.78%"
"03/01/2024","575.75","575.00","583.50","523.50","995.25K","-0.09%"
"02/01/2024","576.25","605.00","618.50","553.50","1.12M","-4.79%"
"01/01/2024","605.25","640.00","640.00","585.25","424.34K","-5.36%"
"12/01/2023","639.50","595.50","649.50","589.00","899.83K","6.94%"
"11/01/2023","598.00","585.75","622.00","556.25","1.31M","2.18%"
"10/01/2023","585.25","580.00","631.00","573.25","609.49K","2.05%"
"09/01/2023","573.50","602.00","633.25","570.00","705.21K","-4.73%"
"08/01/2023","602.00","695.75","709.50","593.50","1.25M","-12.97%"
"07/01/2023","691.75","649.00","796.25","622.00","1.06M","6.26%"
"06/01/2023","651.00","608.00","770.25","607.00","1.35M","7.07%"
"05/01/2023","608.00","633.50","675.50","587.75","954.23K","-4.06%"
"04/01/2023","633.75","709.00","722.25","624.25","1.24M","-10.04%"
"03/01/2023","704.50","708.00","735.25","661.00","963.80K","-0.14%"
"02/01/2023","705.50","770.50","807.50","702.50","1.04M","-8.44%"
"01/01/2023","770.50","793.75","800.50","720.75","324.07K","-3.54%"
"12/01/2022","798.75","795.25","805.00","723.50","572.72K","0.41%"
"11/01/2022","795.50","896.75","920.75","773.25","938.43K","-11.54%"
"10/01/2022","899.25","940.00","962.00","842.00","366.78K","-3.51%"
"09/01/2022","932.00","828.25","954.00","791.25","659.90K","12.09%"
"08/01/2022","831.50","831.50","849.00","743.25","1.08M","0.70%"
"07/01/2022","825.75","890.00","940.25","772.50","739.60K","-6.59%"
"06/01/2022","884.00","1,100.25","1,119.50","881.00","928.05K","-19.45%"
"05/01/2022","1,097.50","1,049.00","1,285.00","1,034.25","624.88K","3.95%"
"04/01/2022","1,055.75","1,003.00","1,143.50","982.00","823.95K","5.36%"
"03/01/2022","1,002.00","934.50","1,363.50","932.25","978.49K","7.28%"
"02/01/2022","934.00","767.50","960.75","746.50","1.22M","21.89%"
"01/01/2022","766.25","779.75","834.00","738.75","375.77K","-1.03%"
"12/01/2021","774.25","791.75","827.25","757.25","609.35K","-1.65%"
"11/01/2021","787.25","786.25","874.75","775.75","1.18M","0.29%"
"10/01/2021","785.00","736.25","792.75","725.75","371.72K","6.59%"
"09/01/2021","736.50","723.50","743.50","677.00","676.04K","1.97%"
"08/01/2021","722.25","713.00","786.50","707.00","1.40M","1.30%"
"07/01/2021","713.00","679.00","726.75","609.50","989.55K","4.93%"
"06/01/2021","679.50","676.75","708.50","632.25","1.27M","1.84%"
"05/01/2021","667.25","739.75","767.50","642.75","913.73K","-9.19%"
"04/01/2021","734.75","620.00","769.50","601.50","1.70M","19.33%"
"03/01/2021","615.75","662.50","668.75","592.25","833.49K","-6.74%"
"02/01/2021","660.25","661.75","688.50","628.50","1.18M","-0.34%"
"01/01/2021","662.50","646.25","693.00","626.00","531.31K","3.60%"
"12/01/2020","639.50","585.00","641.50","565.50","809.96K","9.32%"
"11/01/2020","585.00","596.00","628.75","584.25","1.31M","-2.50%"
"10/01/2020","600.00","579.00","637.75","567.50","464.08K","2.78%"
"09/01/2020","583.75","550.00","592.75","539.75","803.11K","5.70%"
"08/01/2020","552.25","534.50","560.25","497.00","1.45M","2.51%"
"07/01/2020","538.75","492.00","554.50","487.75","1.10M","9.56%"
"06/01/2020","491.75","522.75","532.75","471.00","1.26M","-6.06%"
"05/01/2020","523.50","522.50","528.00","496.75","699.47K","-0.14%"
"04/01/2020","524.25","561.25","566.75","506.75","1.16M","-6.80%"
"03/01/2020","562.50","520.00","571.50","494.25","1.27M","7.14%"
"02/01/2020","525.00","550.50","568.50","512.50","1.26M","-4.98%"
"01/01/2020","552.50","562.00","590.75","548.50","527.93K","-1.65%"
"12/01/2019","561.75","542.75","566.50","516.25","690.90K","3.69%"
"11/01/2019","541.75","514.50","546.00","501.75","1.07M","5.25%"
"10/01/2019","514.75","504.00","539.25","492.50","454.17K","2.44%"
"09/01/2019","502.50","463.00","507.00","450.50","654.35K","8.65%"
"08/01/2019","462.50","493.00","506.25","459.25","1.20M","-6.23%"
"07/01/2019","493.25","530.00","543.00","490.75","912.04K","-6.45%"
"06/01/2019","527.25","512.50","557.25","494.00","1.30M","3.43%"
"05/01/2019","509.75","428.00","528.75","418.50","966.96K","18.89%"
"04/01/2019","428.75","465.50","479.75","426.00","1.27M","-7.50%"
"03/01/2019","463.50","459.50","482.50","427.00","1.12M","0.87%"
"02/01/2019","459.50","521.50","532.75","457.75","1.31M","-11.93%"
"01/01/2019","521.75","510.00","534.75","508.75","408.33K","2.20%"
"12/01/2018","510.50","526.00","543.25","510.00","681.74K","-1.02%"
"11/01/2018","515.75","515.75","529.00","503.25","1.22M","-0.05%"
"10/01/2018","516.00","529.00","546.50","506.75","563.81K","-2.13%"
"09/01/2018","527.25","538.00","549.50","495.25","902.91K","-3.35%"
"08/01/2018","545.50","575.00","613.00","518.50","1.86M","-4.84%"
"07/01/2018","573.25","501.25","584.50","471.25","1.21M","14.36%"
"06/01/2018","501.25","541.25","553.75","480.00","1.41M","-7.69%"
"05/01/2018","543.00","512.50","570.75","490.25","1.20M","6.37%"
"04/01/2018","510.50","473.00","513.25","463.00","1.46M","8.96%"
"03/01/2018","468.50","495.50","518.50","459.00","1.31M","-5.35%"
"02/01/2018","495.00","464.50","499.50","451.00","1.31M","6.34%"
"01/01/2018","465.50","441.50","472.00","426.75","530.76K","5.74%"
"12/01/2017","440.25","433.00","443.00","410.50","732.75K","1.67%"
"11/01/2017","433.00","436.50","450.25","424.25","1.44M","-0.69%"
"10/01/2017","436.00","465.25","468.75","433.75","467.54K","-6.54%"
"09/01/2017","466.50","434.50","482.00","428.25","755.73K","7.36%"
"08/01/2017","434.50","496.00","503.25","422.50","1.55M","-13.06%"
"07/01/2017","499.75","538.25","574.50","497.00","1.45M","-4.99%"
"06/01/2017","526.00","444.00","526.00","436.25","1.53M","18.54%"
"05/01/2017","443.75","438.25","461.50","426.00","1.11M","2.66%"
"04/01/2017","432.25","442.25","449.50","416.00","1.47M","-1.54%"
"03/01/2017","439.00","443.00","462.50","428.50","964.18K","-1.07%"
"02/01/2017","443.75","434.00","477.00","429.50","1.16M","2.36%"
"01/01/2017","433.50","421.00","451.25","416.25","463.97K","3.09%"
"12/01/2016","420.50","402.75","429.25","393.00","703.25K","4.41%"
"11/01/2016","402.75","432.75","437.00","402.25","1.31M","-7.15%"
"10/01/2016","433.75","422.50","445.75","413.50","468.78K","2.12%"
"09/01/2016","424.75","390.00","433.25","389.50","611.36K","9.40%"
"08/01/2016","388.25","434.25","449.25","386.75","1.53M","-10.90%"
"07/01/2016","435.75","445.75","464.25","415.75","1.04M","-2.19%"
"06/01/2016","445.50","476.00","533.75","436.00","1.30M","-6.31%"
"05/01/2016","475.50","486.75","495.00","454.75","950.79K","-2.66%"
"04/01/2016","488.50","480.75","518.50","453.00","1.68M","1.61%"
"03/01/2016","480.75","453.25","486.00","442.25","879.37K","6.07%"
"02/01/2016","453.25","481.25","487.25","446.50","1.20M","-6.55%"
"01/01/2016","485.00","479.00","493.50","461.75","268.77K","1.78%"
"12/01/2015","476.50","474.00","505.25","465.50","690.16K","0.21%"
"11/01/2015","475.50","524.00","532.75","475.00","1.25M","-9.51%"
"10/01/2015","525.50","518.75","538.00","491.00","530.09K","1.15%"
"09/01/2015","519.50","484.50","522.50","463.00","793.57K","7.11%"
"08/01/2015","485.00","503.00","533.25","476.50","1.40M","-3.91%"
"07/01/2015","504.75","614.50","615.00","501.50","1.23M","-18.03%"
"06/01/2015","615.75","484.00","618.00","479.25","1.56M","27.68%"
"05/01/2015","482.25","474.00","536.75","460.75","948.33K","1.74%"
"04/01/2015","474.00","515.50","542.75","464.00","1.42M","-7.78%"
"03/01/2015","514.00","513.50","543.75","478.25","972.52K","0.19%"
"02/01/2015","513.00","508.00","545.00","489.75","1.01M","1.23%"
"01/01/2015","506.75","594.50","607.50","501.75","315.53K","-14.76%"
"12/01/2014","594.50","578.00","676.75","570.25","822.52K","2.77%"
"11/01/2014","578.50","546.50","581.00","520.75","1.00M","6.00%"
"10/01/2014","545.75","490.25","558.00","483.00","392.10K","11.26%"
"09/01/2014","490.50","562.75","566.00","480.00","631.32K","-12.95%"
"08/01/2014","563.50","550.25","591.00","544.25","1.19M","2.41%"
"07/01/2014","550.25","577.50","584.50","524.25","721.42K","-4.72%"
"06/01/2014","577.50","637.50","638.50","567.50","848.41K","-9.73%"
"05/01/2014","639.75","723.00","744.00","637.75","765.59K","-11.33%"
"04/01/2014","721.50","700.00","724.75","663.75","1.13M","2.85%"
"03/01/2014","701.50","612.00","725.25","611.25","1.04M","16.48%"
"02/01/2014","602.25","558.00","620.00","556.50","1.03M","7.88%"
"01/01/2014","558.25","611.50","617.75","553.50","390.26K","-8.78%"
"12/01/2013","612.00","668.75","674.75","606.25","547.20K","-8.49%"
"11/01/2013","668.75","680.00","684.00","652.00","912.96K","-1.58%"
"10/01/2013","679.50","686.25","720.50","678.75","382.26K","-1.09%"
"09/01/2013","687.00","663.75","703.00","636.75","481.11K","5.05%"
"08/01/2013","654.00","676.00","679.75","635.50","1.26M","-3.40%"
"07/01/2013","677.00","655.00","694.00","652.25","838.10K","2.93%"
"06/01/2013","657.75","716.25","724.00","656.00","813.98K","-8.07%"
"05/01/2013","715.50","732.25","735.00","681.50","665.15K","-2.12%"
"04/01/2013","731.00","687.25","736.75","664.75","1.21M","5.79%"
"03/01/2013","691.00","715.75","740.50","680.00","806.70K","-3.29%"
"02/01/2013","714.50","788.00","797.75","697.75","959.20K","-9.33%"
"01/01/2013","788.00","794.75","808.50","745.25","332.54K","0.03%"
"12/01/2012","787.75","869.00","877.25","775.25","642.17K","-8.77%"
"11/01/2012","863.50","880.25","929.75","845.00","1.05M","-1.79%"
"10/01/2012","879.25","911.50","913.50","853.00","354.58K","-3.62%"
"09/01/2012","912.25","892.00","937.75","861.50","624.87K","2.56%"
"08/01/2012","889.50","903.50","945.50","857.25","1.24M","-1.44%"
"07/01/2012","902.50","762.50","953.25","756.25","999.23K","19.18%"
"06/01/2012","757.25","661.00","763.50","625.00","999.98K","14.60%"
"05/01/2012","660.75","654.00","729.25","592.25","829.38K","0.95%"
"04/01/2012","654.50","676.00","679.25","609.25","1.05M","-2.89%"
"03/01/2012","674.00","666.25","681.00","626.25","790.21K","0.90%"
"02/01/2012","668.00","680.75","696.00","628.00","729.37K","-1.80%"
"01/01/2012","680.25","682.50","689.25","612.50","352.51K","1.34%"
"12/01/2011","671.25","614.25","673.75","579.00","507.84K","9.32%"
"11/01/2011","614.00","664.75","682.00","586.00","820.23K","-7.60%"
