"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2024","1.9062","2.0450","2.0467","1.8312","655.16K","-7.22%"
"08/01/2024","2.0546","2.2800","2.2800","2.0296","719.25K","-8.94%"
"07/01/2024","2.2562","2.4820","2.5807","2.1800","834.36K","-8.69%"
"06/01/2024","2.4710","2.4016","2.5624","2.2872","696.75K","3.00%"
"05/01/2024","2.3991","2.6252","2.6422","2.3775","746.58K","-9.61%"
"04/01/2024","2.6541","2.6799","2.8229","2.6257","735.14K","-1.28%"
"03/01/2024","2.6885","2.5706","2.7540","2.5041","537.75K","4.57%"
"02/01/2024","2.5711","2.4752","2.6335","2.3593","581.37K","4.38%"
"01/01/2024","2.4631","2.1585","2.5146","2.0379","487.89K","15.87%"
"12/01/2023","2.1258","2.1637","2.2240","1.9806","340.41K","-2.39%"
"11/01/2023","2.1778","2.2154","2.2731","2.0700","285.35K","-1.53%"
"10/01/2023","2.2117","2.3492","2.3837","2.1377","260.89K","-5.87%"
"09/01/2023","2.3496","2.4826","2.7002","2.3449","256.49K","-5.27%"
"08/01/2023","2.4803","2.6297","2.7196","2.4539","324.92K","-5.51%"
"07/01/2023","2.6250","2.4583","2.9223","2.3900","418.24K","6.60%"
"06/01/2023","2.4625","2.3776","2.5894","2.3403","474.64K","3.66%"
"05/01/2023","2.3756","2.4760","2.6228","2.2546","378.56K","-4.52%"
"04/01/2023","2.4880","2.7280","2.8273","2.4339","304.74K","-5.33%"
"03/01/2023","2.6280","2.6533","2.7950","2.3640","246.30K","-0.15%"
"02/01/2023","2.6320","2.7329","2.7578","2.4674","233.61K","-3.77%"
"01/01/2023","2.7352","2.4850","2.7397","2.2451","150.17K","10.37%"
"12/01/2022","2.4783","2.3730","2.4830","2.0344","132.19K","4.02%"
"11/01/2022","2.3825","2.4894","2.6974","2.2243","144.23K","-3.11%"
"10/01/2022","2.4589","2.3287","2.6580","2.3287","175.74K","7.90%"
"09/01/2022","2.2789","2.3650","2.5153","2.2402","161.50K","-4.56%"
"08/01/2022","2.3879","2.8416","2.8500","2.3684","174.00K","-16.66%"
"07/01/2022","2.8652","3.4025","3.5834","2.8455","127.98K","-15.78%"
"06/01/2022","3.4019","3.7781","4.1214","3.3442","172.35K","-9.17%"
"05/01/2022","3.7455","3.3599","3.9215","3.2816","255.37K","11.00%"
"04/01/2022","3.3744","3.1029","3.4896","2.9653","245.56K","8.93%"
"03/01/2022","3.0978","2.9402","3.7684","2.8664","215.78K","6.49%"
"02/01/2022","2.9089","2.6653","3.0664","2.6210","343.92K","9.34%"
"01/01/2022","2.6604","2.2459","2.6837","2.2157","289.21K","19.38%"
"12/01/2021","2.2286","1.9454","2.2952","1.8649","324.57K","15.58%"
"11/01/2021","1.9282","2.3111","2.3818","1.8945","312.06K","-16.82%"
"10/01/2021","2.3182","2.1584","2.4679","2.1419","491.33K","7.52%"
"09/01/2021","2.1561","2.0728","2.1930","2.0231","498.85K","4.34%"
"08/01/2021","2.0664","2.1927","2.1927","1.8739","1.27M","-5.89%"
"07/01/2021","2.1958","2.2240","2.3302","2.0582","684.44K","-1.24%"
"06/01/2021","2.2234","2.1555","2.2937","2.1046","519.44K","4.02%"
"05/01/2021","2.1375","2.0634","2.1744","2.0345","587.01K","3.43%"
"04/01/2021","2.0667","1.9576","2.1180","1.9164","461.63K","5.79%"
"03/01/2021","1.9536","1.9761","2.1540","1.8710","595.63K","0.61%"
"02/01/2021","1.9417","1.6713","1.9865","1.6538","369.54K","17.38%"
"01/01/2021","1.6542","1.4310","1.7129","1.3702","870.19K","16.87%"
"12/01/2020","1.4154","1.2461","1.4162","1.2198","781.04K","13.02%"
"11/01/2020","1.2524","1.0017","1.2823","0.9802","611.56K","21.92%"
"10/01/2020","1.0272","1.1601","1.2052","1.0038","657.17K","-11.84%"
"09/01/2020","1.1652","1.2046","1.2198","1.0673","855.36K","-1.92%"
"08/01/2020","1.1880","1.0956","1.2938","1.0916","740.78K","7.94%"
"07/01/2020","1.1006","1.2020","1.2749","1.0795","661.94K","-7.31%"
"06/01/2020","1.1874","1.0877","1.3242","1.0589","576.38K","8.85%"
"05/01/2020","1.0909","0.8206","1.0990","0.7640","476.59K","35.03%"
"04/01/2020","0.8079","0.6413","0.8375","0.5255","210.16K","22.59%"
"03/01/2020","0.6590","1.4566","1.5804","0.4639","362.65K","-55.39%"
"02/01/2020","1.4771","1.6517","1.8006","1.4520","665.01K","-11.31%"
"01/01/2020","1.6655","1.7142","1.7972","1.4452","585.94K","-2.20%"
"12/01/2019","1.7030","1.6132","1.7654","1.5628","312.50K","6.78%"
"11/01/2019","1.5948","1.5752","1.7032","1.5701","187.54K","1.46%"
