Date,Price
2012-01-01,2324.0
2012-02-01,2334.0
2012-03-01,2246.0
2012-04-01,2219.0
2012-05-01,2088.0
2012-06-01,2291.0
2012-07-01,2388.0
2012-08-01,2610.0
2012-09-01,2530.0
2012-10-01,2401.0
2012-11-01,2498.0
2012-12-01,2246.0
2013-01-01,2207.0
2013-02-01,2135.0
2013-03-01,2185.0
2013-04-01,2368.0
2013-05-01,2200.0
2013-06-01,2164.0
2013-07-01,2308.0
2013-08-01,2436.0
2013-09-01,2643.0
2013-10-01,2688.0
2013-11-01,2788.0
2013-12-01,2716.0
2014-01-01,2922.0
2014-02-01,2957.0
2014-03-01,2968.0
2014-04-01,2980.0
2014-05-01,3070.0
2014-06-01,3127.0
2014-07-01,3186.0
2014-08-01,3229.0
2014-09-01,3259.0
2014-10-01,2893.0
2014-11-01,2843.0
2014-12-01,2892.0
2015-01-01,2698.0
2015-02-01,3016.0
2015-03-01,2699.0
2015-04-01,2943.0
2015-05-01,3078.0
2015-06-01,3269.0
2015-07-01,3221.0
2015-08-01,3099.0
2015-09-01,3117.0
2015-10-01,3263.0
2015-11-01,3339.0
2015-12-01,3207.0
2016-01-01,2767.0
2016-02-01,2955.0
2016-03-01,2959.0
2016-04-01,3233.0
2016-05-01,3026.0
2016-06-01,2963.0
2016-07-01,2846.0
2016-08-01,2898.0
2016-09-01,2734.0
2016-10-01,2643.0
2016-11-01,2389.0
2016-12-01,2113.0
2017-01-01,2102.0
2017-02-01,1909.0
2017-03-01,2098.0
2017-04-01,1841.0
2017-05-01,2056.0
2017-06-01,1940.0
2017-07-01,2087.0
2017-08-01,1926.0
2017-09-01,2034.0
2017-10-01,2089.0
2017-11-01,2049.0
2017-12-01,1893.0
2018-01-01,2020.0
2018-02-01,2218.0
2018-03-01,2584.0
2018-04-01,2825.0
2018-05-01,2507.0
2018-06-01,2512.0
2018-07-01,2220.0
2018-08-01,2336.0
2018-09-01,2082.0
2018-10-01,2253.0
2018-11-01,2203.0
2018-12-01,2449.0
2019-01-01,2209.0
2019-02-01,2247.0
2019-03-01,2270.0
2019-04-01,2359.0
2019-05-01,2406.0
2019-06-01,2425.0
2019-07-01,2400.0
2019-08-01,2222.0
2019-09-01,2456.0
2019-10-01,2446.0
2019-11-01,2568.0
2019-12-01,2541.0
2020-01-01,2801.0
2020-02-01,2672.0
2020-03-01,2259.0
2020-04-01,2414.0
2020-05-01,2408.0
2020-06-01,2186.0
2020-07-01,2399.0
2020-08-01,2654.0
2020-09-01,2527.0
2020-10-01,2305.0
2020-11-01,2739.0
2020-12-01,2535.0
2021-01-01,2474.0
2021-02-01,2604.0
2021-03-01,2385.0
2021-04-01,2382.0
2021-05-01,2456.0
2021-06-01,2389.0
2021-07-01,2422.0
2021-08-01,2540.0
2021-09-01,2677.0
2021-10-01,2580.0
2021-11-01,2346.0
2021-12-01,2553.0
2022-01-01,2576.0
2022-02-01,2529.0
2022-03-01,2687.0
2022-04-01,2567.0
2022-05-01,2515.0
2022-06-01,2340.0
2022-07-01,2373.0
2022-08-01,2413.0
2022-09-01,2340.0
2022-10-01,2343.0
2022-11-01,2498.0
2022-12-01,2601.0
2023-01-01,2629.0
2023-02-01,2789.0
2023-03-01,2894.0
2023-04-01,2937.0
2023-05-01,3019.0
2023-06-01,3353.0
2023-07-01,3543.0
2023-08-01,3638.0
2023-09-01,3428.0
2023-10-01,3847.0
2023-11-01,4277.0
2023-12-01,4162.0
2024-01-01,4754.0
2024-02-01,6049.0
2024-03-01,9306.0
2024-04-01,9283.0
2024-05-01,8586.0
