Date,Price
2012-01-01,98.85
2012-02-01,107.52
2012-03-01,103.54
2012-04-01,105.26
2012-05-01,86.85
2012-06-01,85.37
2012-07-01,88.34
2012-08-01,96.76
2012-09-01,92.56
2012-10-01,86.73
2012-11-01,89.49
2012-12-01,92.27
2013-01-01,97.96
2013-02-01,92.46
2013-03-01,97.49
2013-04-01,93.68
2013-05-01,92.21
2013-06-01,96.44
2013-07-01,104.22
2013-08-01,107.08
2013-09-01,101.9
2013-10-01,96.65
2013-11-01,93.01
2013-12-01,98.55
2014-01-01,96.71
2014-02-01,101.89
2014-03-01,100.82
2014-04-01,99.11
2014-05-01,101.98
2014-06-01,104.73
2014-07-01,97.32
2014-08-01,95.02
2014-09-01,90.27
2014-10-01,80.42
2014-11-01,66.26
2014-12-01,53.7
2015-01-01,48.99
2015-02-01,52.14
2015-03-01,49.34
2015-04-01,60.71
2015-05-01,60.6
2015-06-01,59.83
2015-07-01,47.53
2015-08-01,49.93
2015-09-01,45.56
2015-10-01,47.47
2015-11-01,42.96
2015-12-01,38.17
2016-01-01,35.28
2016-02-01,35.58
2016-03-01,39.75
2016-04-01,46.69
2016-05-01,49.53
2016-06-01,49.01
2016-07-01,42.33
2016-08-01,45.31
2016-09-01,48.82
2016-10-01,47.46
2016-11-01,50.34
2016-12-01,54.66
2017-01-01,53.42
2017-02-01,54.43
2017-03-01,51.07
2017-04-01,49.62
2017-05-01,48.56
2017-06-01,46.29
2017-07-01,50.26
2017-08-01,47.96
2017-09-01,51.95
2017-10-01,54.59
2017-11-01,57.45
2017-12-01,60.44
2018-01-01,64.56
2018-02-01,61.47
2018-03-01,64.87
2018-04-01,68.48
2018-05-01,66.91
2018-06-01,72.46
2018-07-01,67.63
2018-08-01,69.37
2018-09-01,73.06
2018-10-01,65.44
2018-11-01,51.09
2018-12-01,45.72
2019-01-01,54.04
2019-02-01,57.61
2019-03-01,60.28
2019-04-01,63.98
2019-05-01,53.64
2019-06-01,58.52
2019-07-01,58.63
2019-08-01,54.89
2019-09-01,53.98
2019-10-01,54.25
2019-11-01,55.14
2019-12-01,60.77
2020-01-01,51.68
2020-02-01,44.94
2020-03-01,24.51
2020-04-01,21.85
2020-05-01,35.84
2020-06-01,39.34
2020-07-01,40.57
2020-08-01,42.9
2020-09-01,40.47
2020-10-01,36.15
2020-11-01,45.51
2020-12-01,48.63
2021-01-01,52.08
2021-02-01,61.23
2021-03-01,59.18
2021-04-01,63.48
2021-05-01,66.1
2021-06-01,72.77
2021-07-01,73.23
2021-08-01,68.26
2021-09-01,74.7
2021-10-01,81.78
2021-11-01,65.85
2021-12-01,74.88
2022-01-01,86.49
2022-02-01,93.5
2022-03-01,98.52
2022-04-01,102.94
2022-05-01,111.91
2022-06-01,103.1
2022-07-01,96.75
2022-08-01,89.03
2022-09-01,78.72
2022-10-01,85.4
2022-11-01,80.66
2022-12-01,80.45
2023-01-01,79.17
2023-02-01,77.19
2023-03-01,75.8
2023-04-01,76.61
2023-05-01,68.24
2023-06-01,70.78
2023-07-01,81.32
2023-08-01,82.96
2023-09-01,88.8
2023-10-01,80.5
2023-11-01,76.05
2023-12-01,71.84
2024-01-01,75.71
2024-02-01,77.45
2024-03-01,82.42
2024-04-01,81.28
2024-05-01,76.73
