Date,Price
2012-01-01,110.69
2012-02-01,121.56
2012-03-01,122.08
2012-04-01,119.17
2012-05-01,101.43
2012-06-01,97.88
2012-07-01,103.84
2012-08-01,114.05
2012-09-01,111.58
2012-10-01,107.56
2012-11-01,110.25
2012-12-01,109.89
2013-01-01,114.54
2013-02-01,110.42
2013-03-01,109.79
2013-04-01,102.04
2013-05-01,100.2
2013-06-01,101.72
2013-07-01,106.91
2013-08-01,112.32
2013-09-01,107.43
2013-10-01,108.63
2013-11-01,109.33
2013-12-01,110.53
2014-01-01,105.81
2014-02-01,108.63
2014-03-01,107.65
2014-04-01,107.53
2014-05-01,108.68
2014-06-01,112.07
2014-07-01,106.53
2014-08-01,103.77
2014-09-01,95.32
2014-10-01,86.34
2014-11-01,70.58
2014-12-01,58.21
2015-01-01,53.95
2015-02-01,63.15
2015-03-01,56.21
2015-04-01,67.45
2015-05-01,66.14
2015-06-01,64.14
2015-07-01,52.85
2015-08-01,54.99
2015-09-01,49.05
2015-10-01,50.31
2015-11-01,45.24
2015-12-01,37.67
2016-01-01,35.99
2016-02-01,36.57
2016-03-01,40.33
2016-04-01,47.37
2016-05-01,49.89
2016-06-01,49.71
2016-07-01,43.53
2016-08-01,46.89
2016-09-01,50.19
2016-10-01,48.61
2016-11-01,51.84
2016-12-01,57.49
2017-01-01,55.58
2017-02-01,56.51
2017-03-01,53.53
2017-04-01,52.05
2017-05-01,50.76
2017-06-01,48.77
2017-07-01,52.72
2017-08-01,52.86
2017-09-01,56.79
2017-10-01,60.94
2017-11-01,62.63
2017-12-01,66.44
2018-01-01,68.89
2018-02-01,64.73
2018-03-01,69.34
2018-04-01,74.69
2018-05-01,77.56
2018-06-01,79.23
2018-07-01,74.21
2018-08-01,77.64
2018-09-01,82.73
2018-10-01,75.04
2018-11-01,59.46
2018-12-01,54.02
2019-01-01,60.84
2019-02-01,66.31
2019-03-01,67.58
2019-04-01,72.06
2019-05-01,61.99
2019-06-01,64.74
2019-07-01,65.05
2019-08-01,59.25
2019-09-01,59.25
2019-10-01,59.62
2019-11-01,60.49
2019-12-01,65.29
2020-01-01,56.62
2020-02-01,49.67
2020-03-01,26.35
2020-04-01,26.48
2020-05-01,37.84
2020-06-01,41.27
2020-07-01,43.52
2020-08-01,45.66
2020-09-01,42.3
2020-10-01,37.94
2020-11-01,47.88
2020-12-01,51.82
2021-01-01,55.04
2021-02-01,64.42
2021-03-01,62.74
2021-04-01,66.76
2021-05-01,68.95
2021-06-01,74.62
2021-07-01,75.41
2021-08-01,71.63
2021-09-01,78.31
2021-10-01,83.72
2021-11-01,69.23
2021-12-01,77.35
2022-01-01,89.26
2022-02-01,97.97
2022-03-01,104.71
2022-04-01,107.14
2022-05-01,115.6
2022-06-01,109.03
2022-07-01,103.97
2022-08-01,95.64
2022-09-01,85.14
2022-10-01,92.81
2022-11-01,86.97
2022-12-01,85.65
2023-01-01,85.46
2023-02-01,83.45
2023-03-01,79.89
2023-04-01,80.33
2023-05-01,72.6
2023-06-01,75.41
2023-07-01,85.43
2023-08-01,86.83
2023-09-01,92.2
2023-10-01,85.02
2023-11-01,80.86
2023-12-01,76.91
2024-01-01,80.55
2024-02-01,81.91
2024-03-01,87.0
2024-04-01,86.33
2024-05-01,81.11
