Date,Price
2012-01-01,94.51
2012-02-01,90.44
2012-03-01,93.92
2012-04-01,89.4
2012-05-01,71.85
2012-06-01,71.57
2012-07-01,71.34
2012-08-01,77.26
2012-09-01,70.65
2012-10-01,71.39
2012-11-01,73.91
2012-12-01,75.86
2013-01-01,83.15
2013-02-01,85.29
2013-03-01,89.81
2013-04-01,87.47
2013-05-01,81.89
2013-06-01,85.61
2013-07-01,85.18
2013-08-01,83.49
2013-09-01,87.21
2013-10-01,79.2
2013-11-01,79.35
2013-12-01,84.4
2014-01-01,86.33
2014-02-01,87.14
2014-03-01,93.55
2014-04-01,94.29
2014-05-01,77.13
2014-06-01,73.38
2014-07-01,62.87
2014-08-01,66.57
2014-09-01,61.37
2014-10-01,62.92
2014-11-01,60.08
2014-12-01,61.07
2015-01-01,60.02
2015-02-01,64.93
2015-03-01,63.46
2015-04-01,67.88
2015-05-01,65.3
2015-06-01,68.91
2015-07-01,64.21
2015-08-01,63.0
2015-09-01,60.44
2015-10-01,63.0
2015-11-01,62.64
2015-12-01,64.11
2016-01-01,61.6
2016-02-01,56.5
2016-03-01,58.31
2016-04-01,63.77
2016-05-01,63.99
2016-06-01,64.62
2016-07-01,74.04
2016-08-01,65.58
2016-09-01,68.08
2016-10-01,69.37
2016-11-01,71.58
2016-12-01,71.02
2017-01-01,75.6
2017-02-01,76.34
2017-03-01,78.59
2017-04-01,78.87
2017-05-01,75.04
2017-06-01,70.36
2017-07-01,68.86
2017-08-01,70.93
2017-09-01,68.45
2017-10-01,68.34
2017-11-01,72.81
2017-12-01,78.96
2018-01-01,78.36
2018-02-01,82.93
2018-03-01,81.8
2018-04-01,83.84
2018-05-01,93.35
2018-06-01,85.17
2018-07-01,89.59
2018-08-01,82.22
2018-09-01,76.37
2018-10-01,78.3
2018-11-01,78.91
2018-12-01,73.5
2019-01-01,75.66
2019-02-01,72.82
2019-03-01,78.31
2019-04-01,76.78
2019-05-01,67.77
2019-06-01,65.75
2019-07-01,63.84
2019-08-01,58.83
2019-09-01,60.83
2019-10-01,65.88
2019-11-01,65.36
2019-12-01,70.18
2020-01-01,68.31
2020-02-01,61.49
2020-03-01,50.9
2020-04-01,57.33
2020-05-01,57.27
2020-06-01,61.48
2020-07-01,62.66
2020-08-01,65.16
2020-09-01,65.79
2020-10-01,69.78
2020-11-01,72.15
2020-12-01,78.7
2021-01-01,81.84
2021-02-01,88.83
2021-03-01,82.17
2021-04-01,88.08
2021-05-01,83.78
2021-06-01,85.51
2021-07-01,89.39
2021-08-01,92.53
2021-09-01,105.8
2021-10-01,111.22
2021-11-01,106.41
2021-12-01,110.48
2022-01-01,123.07
2022-02-01,119.12
2022-03-01,132.07
2022-04-01,145.63
2022-05-01,130.08
2022-06-01,105.64
2022-07-01,96.74
2022-08-01,113.21
2022-09-01,85.34
2022-10-01,71.64
2022-11-01,84.61
2022-12-01,83.45
2023-01-01,86.95
2023-02-01,84.03
2023-03-01,83.1
2023-04-01,80.8
2023-05-01,80.31
2023-06-01,81.58
2023-07-01,84.72
2023-08-01,87.82
2023-09-01,87.15
2023-10-01,83.51
2023-11-01,80.06
2023-12-01,82.15
2024-01-01,86.41
2024-02-01,99.57
2024-03-01,91.97
2024-04-01,78.43
2024-05-01,76.58
