Date,Price
2012-01-01,645.25
2012-02-01,658.0
2012-03-01,643.25
2012-04-01,634.25
2012-05-01,525.5
2012-06-01,628.5
2012-07-01,805.25
2012-08-01,799.75
2012-09-01,759.5
2012-10-01,757.0
2012-11-01,752.75
2012-12-01,700.25
2013-01-01,742.0
2013-02-01,703.5
2013-03-01,676.0
2013-04-01,650.0
2013-05-01,597.25
2013-06-01,547.25
2013-07-01,479.0
2013-08-01,482.0
2013-09-01,454.5
2013-10-01,439.25
2013-11-01,424.5
2013-12-01,430.25
2014-01-01,439.5
2014-02-01,463.5
2014-03-01,506.75
2014-04-01,519.0
2014-05-01,458.0
2014-06-01,418.75
2014-07-01,367.0
2014-08-01,364.75
2014-09-01,333.5
2014-10-01,389.25
2014-11-01,388.75
2014-12-01,405.75
2015-01-01,378.5
2015-02-01,393.25
2015-03-01,384.25
2015-04-01,366.25
2015-05-01,357.25
2015-06-01,422.0
2015-07-01,381.25
2015-08-01,375.25
2015-09-01,398.75
2015-10-01,391.5
2015-11-01,372.25
2015-12-01,364.5
2016-01-01,376.75
2016-02-01,357.0
2016-03-01,355.75
2016-04-01,391.75
2016-05-01,406.75
2016-06-01,365.5
2016-07-01,342.75
2016-08-01,315.5
2016-09-01,346.5
2016-10-01,362.75
2016-11-01,348.5
2016-12-01,357.5
2017-01-01,367.0
2017-02-01,373.75
2017-03-01,371.75
2017-04-01,366.5
2017-05-01,380.0
2017-06-01,381.0
2017-07-01,384.75
2017-08-01,357.75
2017-09-01,367.75
2017-10-01,359.5
2017-11-01,355.75
2017-12-01,359.0
2018-01-01,369.5
2018-02-01,382.0
2018-03-01,396.25
2018-04-01,400.75
2018-05-01,403.25
2018-06-01,359.5
2018-07-01,386.5
2018-08-01,365.0
2018-09-01,368.0
2018-10-01,375.75
2018-11-01,377.75
2018-12-01,383.0
2019-01-01,385.25
2019-02-01,370.75
2019-03-01,366.25
2019-04-01,362.5
2019-05-01,436.0
2019-06-01,424.75
2019-07-01,410.0
2019-08-01,369.75
2019-09-01,399.5
2019-10-01,398.75
2019-11-01,381.25
2019-12-01,394.75
2020-01-01,386.5
2020-02-01,368.25
2020-03-01,346.0
2020-04-01,320.0
2020-05-01,330.0
2020-06-01,341.5
2020-07-01,327.0
2020-08-01,357.75
2020-09-01,388.25
2020-10-01,403.25
2020-11-01,426.0
2020-12-01,483.25
2021-01-01,547.5
2021-02-01,547.5
2021-03-01,547.5
2021-04-01,673.25
2021-05-01,573.25
2021-06-01,599.25
2021-07-01,545.25
2021-08-01,534.25
2021-09-01,544.5
2021-10-01,576.25
2021-11-01,567.5
2021-12-01,595.0
2022-01-01,624.5
2022-02-01,690.75
2022-03-01,733.0
2022-04-01,813.5
2022-05-01,725.0
2022-06-01,628.75
2022-07-01,620.0
2022-08-01,670.5
2022-09-01,684.0
2022-10-01,696.75
2022-11-01,667.0
2022-12-01,678.0
2023-01-01,677.5
2023-02-01,630.25
2023-03-01,636.0
2023-04-01,585.0
2023-05-01,516.25
2023-06-01,488.5
2023-07-01,513.0
2023-08-01,478.25
2023-09-01,491.75
2023-10-01,493.0
2023-11-01,482.75
2023-12-01,484.0
2024-01-01,458.5
2024-02-01,429.5
2024-03-01,454.5
2024-04-01,446.75
2024-05-01,454.0
