Date,Price
2012-01-01,157.62
2012-02-01,160.18
2012-03-01,149.12
2012-04-01,153.72
2012-05-01,158.12
2012-06-01,154.4
2012-07-01,140.38
2012-08-01,146.68
2012-09-01,144.35
2012-10-01,148.7
2012-11-01,148.43
2012-12-01,154.28
2013-01-01,149.55
2013-02-01,144.93
2013-03-01,143.4
2013-04-01,148.9
2013-05-01,146.57
2013-06-01,151.6
2013-07-01,156.97
2013-08-01,158.95
2013-09-01,165.2
2013-10-01,164.38
2013-11-01,165.68
2013-12-01,167.4
2014-01-01,169.68
2014-02-01,173.07
2014-03-01,177.85
2014-04-01,187.47
2014-05-01,198.12
2014-06-01,214.0
2014-07-01,221.2
2014-08-01,216.72
2014-09-01,235.05
2014-10-01,228.47
2014-11-01,230.2
2014-12-01,217.32
2015-01-01,205.4
2015-02-01,200.32
2015-03-01,216.9
2015-04-01,212.97
2015-05-01,221.68
2015-06-01,213.4
2015-07-01,207.75
2015-08-01,197.88
2015-09-01,172.6
2015-10-01,183.2
2015-11-01,160.43
2015-12-01,163.65
2016-01-01,156.68
2016-02-01,159.07
2016-03-01,155.25
2016-04-01,140.43
2016-05-01,145.32
2016-06-01,143.5
2016-07-01,138.57
2016-08-01,138.35
2016-09-01,119.65
2016-10-01,116.0
2016-11-01,124.45
2016-12-01,125.1
2017-01-01,122.42
2017-02-01,124.7
2017-03-01,132.7
2017-04-01,154.7
2017-05-01,151.82
2017-06-01,148.03
2017-07-01,146.65
2017-08-01,142.57
2017-09-01,154.0
2017-10-01,159.57
2017-11-01,152.28
2017-12-01,142.68
2018-01-01,145.85
2018-02-01,147.0
2018-03-01,133.32
2018-04-01,146.2
2018-05-01,147.3
2018-06-01,150.95
2018-07-01,149.57
2018-08-01,149.12
2018-09-01,158.05
2018-10-01,150.12
2018-11-01,142.85
2018-12-01,146.75
2019-01-01,142.55
2019-02-01,146.15
2019-03-01,148.78
2019-04-01,149.15
2019-05-01,134.07
2019-06-01,136.7
2019-07-01,142.45
2019-08-01,130.8
2019-09-01,141.93
2019-10-01,147.6
2019-11-01,143.03
2019-12-01,144.22
2020-01-01,137.53
2020-02-01,132.7
2020-03-01,122.9
2020-04-01,117.1
2020-05-01,135.75
2020-06-01,133.38
2020-07-01,146.22
2020-08-01,140.62
2020-09-01,142.05
2020-10-01,134.12
2020-11-01,139.97
2020-12-01,140.22
2021-01-01,140.75
2021-02-01,142.57
2021-03-01,149.4
2021-04-01,146.75
2021-05-01,153.53
2021-06-01,157.43
2021-07-01,161.8
2021-08-01,167.75
2021-09-01,152.55
2021-10-01,156.12
2021-11-01,166.5
2021-12-01,169.95
2022-01-01,168.45
2022-02-01,162.0
2022-03-01,161.4
2022-04-01,168.28
2022-05-01,168.12
2022-06-01,176.22
2022-07-01,181.55
2022-08-01,183.47
2022-09-01,174.62
2022-10-01,179.45
2022-11-01,183.45
2022-12-01,186.22
2023-01-01,190.05
2023-02-01,195.07
2023-03-01,205.25
2023-04-01,230.72
2023-05-01,242.22
2023-06-01,250.82
2023-07-01,249.2
2023-08-01,253.28
2023-09-01,254.9
2023-10-01,237.2
2023-11-01,222.57
2023-12-01,223.1
2024-01-01,246.15
2024-02-01,253.72
2024-03-01,247.12
2024-04-01,255.5
2024-05-01,258.12
2024-06-01,259.65
