Date,Price
2012-01-01,1739.1
2012-02-01,1711.3
2012-03-01,1670.5
2012-04-01,1664.2
2012-05-01,1563.3
2012-06-01,1604.2
2012-07-01,1611.4
2012-08-01,1685.3
2012-09-01,1772.5
2012-10-01,1719.1
2012-11-01,1711.6
2012-12-01,1675.8
2013-01-01,1661.3
2013-02-01,1578.1
2013-03-01,1595.2
2013-04-01,1472.1
2013-05-01,1392.8
2013-06-01,1223.7
2013-07-01,1312.4
2013-08-01,1395.8
2013-09-01,1326.8
2013-10-01,1323.7
2013-11-01,1250.5
2013-12-01,1202.3
2014-01-01,1239.8
2014-02-01,1321.6
2014-03-01,1283.7
2014-04-01,1295.9
2014-05-01,1245.8
2014-06-01,1322.0
2014-07-01,1281.7
2014-08-01,1286.5
2014-09-01,1211.1
2014-10-01,1171.6
2014-11-01,1175.1
2014-12-01,1184.1
2015-01-01,1278.9
2015-02-01,1213.1
2015-03-01,1183.0
2015-04-01,1182.4
2015-05-01,1189.6
2015-06-01,1171.8
2015-07-01,1094.8
2015-08-01,1132.0
2015-09-01,1115.5
2015-10-01,1141.4
2015-11-01,1065.4
2015-12-01,1060.2
2016-01-01,1116.5
2016-02-01,1234.4
2016-03-01,1234.9
2016-04-01,1290.5
2016-05-01,1216.2
2016-06-01,1320.6
2016-07-01,1350.3
2016-08-01,1307.9
2016-09-01,1315.1
2016-10-01,1273.1
2016-11-01,1172.4
2016-12-01,1151.7
2017-01-01,1209.8
2017-02-01,1253.9
2017-03-01,1249.5
2017-04-01,1268.3
2017-05-01,1273.6
2017-06-01,1242.3
2017-07-01,1268.9
2017-08-01,1318.5
2017-09-01,1282.7
2017-10-01,1270.5
2017-11-01,1274.8
2017-12-01,1309.3
2018-01-01,1340.4
2018-02-01,1317.9
2018-03-01,1324.3
2018-04-01,1319.2
2018-05-01,1302.6
2018-06-01,1254.5
2018-07-01,1226.4
2018-08-01,1201.6
2018-09-01,1193.9
2018-10-01,1215.0
2018-11-01,1223.6
2018-12-01,1281.3
2019-01-01,1322.3
2019-02-01,1316.1
2019-03-01,1295.6
2019-04-01,1285.7
2019-05-01,1308.0
2019-06-01,1413.7
2019-07-01,1429.1
2019-08-01,1523.0
2019-09-01,1469.2
2019-10-01,1514.8
2019-11-01,1470.0
2019-12-01,1523.1
2020-01-01,1584.9
2020-02-01,1566.7
2020-03-01,1589.3
2020-04-01,1694.2
2020-05-01,1742.9
2020-06-01,1800.5
2020-07-01,1968.0
2020-08-01,1970.5
2020-09-01,1891.3
2020-10-01,1879.9
2020-11-01,1778.0
2020-12-01,1895.1
2021-01-01,1849.0
2021-02-01,1728.8
2021-03-01,1714.4
2021-04-01,1767.7
2021-05-01,1904.0
2021-06-01,1771.6
2021-07-01,1813.5
2021-08-01,1815.8
2021-09-01,1756.3
2021-10-01,1783.9
2021-11-01,1775.1
2021-12-01,1828.6
2022-01-01,1796.0
2022-02-01,1900.7
2022-03-01,1951.1
2022-04-01,1911.7
2022-05-01,1845.2
2022-06-01,1807.3
2022-07-01,1766.9
2022-08-01,1716.9
2022-09-01,1667.2
2022-10-01,1640.7
2022-11-01,1753.2
2022-12-01,1826.2
2023-01-01,1936.6
2023-02-01,1836.7
2023-03-01,1977.0
2023-04-01,1999.1
2023-05-01,1973.1
2023-06-01,1929.4
2023-07-01,1979.6
2023-08-01,1947.0
2023-09-01,1856.9
2023-10-01,1994.3
2023-11-01,2047.6
2023-12-01,2071.8
2024-01-01,2057.4
2024-02-01,2054.7
2024-03-01,2227.1
2024-04-01,2302.9
2024-05-01,2333.9
2024-06-01,2339.6
