Date,Price
2012-01-01,379.0
2012-02-01,387.7
2012-03-01,382.5
2012-04-01,383.1
2012-05-01,336.55
2012-06-01,349.40000000000003
2012-07-01,341.75
2012-08-01,345.8
2012-09-01,376.15
2012-10-01,351.75
2012-11-01,364.05
2012-12-01,364.75
2013-01-01,373.20000000000005
2013-02-01,353.75
2013-03-01,340.2
2013-04-01,318.5
2013-05-01,329.25
2013-06-01,305.55
2013-07-01,311.85
2013-08-01,322.8
2013-09-01,332.1
2013-10-01,330.05
2013-11-01,322.2
2013-12-01,341.35
2014-01-01,319.7
2014-02-01,321.05
2014-03-01,302.55
2014-04-01,303.15
2014-05-01,312.35
2014-06-01,319.7
2014-07-01,323.09999999999997
2014-08-01,314.5
2014-09-01,300.65
2014-10-01,304.7
2014-11-01,286.1
2014-12-01,283.2
2015-01-01,249.45
2015-02-01,270.35
2015-03-01,274.0
2015-04-01,288.6
2015-05-01,272.8
2015-06-01,262.0
2015-07-01,236.35000000000002
2015-08-01,234.05
2015-09-01,234.3
2015-10-01,231.75
2015-11-01,204.6
2015-12-01,213.0
2016-01-01,206.70000000000002
2016-02-01,213.0
2016-03-01,218.29999999999998
2016-04-01,228.05
2016-05-01,209.54999999999998
2016-06-01,219.34999999999997
2016-07-01,222.14999999999998
2016-08-01,207.29999999999998
2016-09-01,220.65
2016-10-01,220.5
2016-11-01,262.55
2016-12-01,250.2
2017-01-01,272.75
2017-02-01,270.8
2017-03-01,265.25
2017-04-01,260.25
2017-05-01,258.0
2017-06-01,270.5
2017-07-01,289.15000000000003
2017-08-01,308.70000000000005
2017-09-01,294.65
2017-10-01,310.1
2017-11-01,304.59999999999997
2017-12-01,329.05
2018-01-01,319.55
2018-02-01,312.04999999999995
2018-03-01,302.55
2018-04-01,306.34999999999997
2018-05-01,306.5
2018-06-01,295.84999999999997
2018-07-01,283.15000000000003
2018-08-01,265.65
2018-09-01,279.65
2018-10-01,265.9
2018-11-01,278.4
2018-12-01,263.0
2019-01-01,278.45
2019-02-01,295.0
2019-03-01,293.6
2019-04-01,290.35
2019-05-01,264.0
2019-06-01,271.3
2019-07-01,266.59999999999997
2019-08-01,254.05
2019-09-01,257.2
2019-10-01,263.8
2019-11-01,265.0
2019-12-01,279.59999999999997
2020-01-01,251.7
2020-02-01,254.35
2020-03-01,222.8
2020-04-01,234.54999999999998
2020-05-01,242.55
2020-06-01,272.0
2020-07-01,286.8
2020-08-01,304.8
2020-09-01,302.95
2020-10-01,304.75
2020-11-01,342.7
2020-12-01,351.7
2021-01-01,355.6
2021-02-01,409.55
2021-03-01,399.54999999999995
2021-04-01,447.49999999999994
2021-05-01,467.75
2021-06-01,429.3
2021-07-01,448.25
2021-08-01,436.65000000000003
2021-09-01,408.95
2021-10-01,436.8
2021-11-01,427.9
2021-12-01,446.0
2022-01-01,432.44999999999993
2022-02-01,445.09999999999997
2022-03-01,475.1
2022-04-01,440.35
2022-05-01,429.6
2022-06-01,371.25
2022-07-01,357.35
2022-08-01,351.90000000000003
2022-09-01,343.0
2022-10-01,337.5
2022-11-01,373.85
2022-12-01,381.0
2023-01-01,422.6
2023-02-01,409.34999999999997
2023-03-01,409.45
2023-04-01,388.55
2023-05-01,363.7
2023-06-01,375.15
2023-07-01,400.8
2023-08-01,379.4
2023-09-01,373.15
2023-10-01,364.9
2023-11-01,383.3
2023-12-01,388.3
2024-01-01,390.6
2024-02-01,384.1
2024-03-01,400.7
2024-04-01,456.29999999999995
2024-05-01,460.20000000000005
2024-06-01,438.5
