Date,Price
2012-01-01,203.4
2012-02-01,185.75
2012-03-01,161.5
2012-04-01,141.85
2012-05-01,113.8
2012-06-01,121.75
2012-07-01,109.85
2012-08-01,118.95
2012-09-01,113.4
2012-10-01,106.5
2012-11-01,123.9
2012-12-01,117.35
2013-01-01,120.2
2013-02-01,127.8
2013-03-01,134.95
2013-04-01,140.4
2013-05-01,151.2
2013-06-01,128.7
2013-07-01,144.1
2013-08-01,137.35
2013-09-01,132.9
2013-10-01,122.4
2013-11-01,141.05
2013-12-01,139.2
2014-01-01,143.35
2014-02-01,146.75
2014-03-01,154.2
2014-04-01,160.6
2014-05-01,161.5
2014-06-01,146.75
2014-07-01,145.0
2014-08-01,150.05
2014-09-01,146.0
2014-10-01,138.85
2014-11-01,150.15
2014-12-01,139.8
2015-01-01,139.6
2015-02-01,121.15
2015-03-01,124.95
2015-04-01,115.3
2015-05-01,116.5
2015-06-01,118.6
2015-07-01,124.75
2015-08-01,129.05
2015-09-01,107.15
2015-10-01,133.75
2015-11-01,141.75
2015-12-01,144.65
2016-01-01,132.55
2016-02-01,126.6
2016-03-01,146.75
2016-04-01,128.45
2016-05-01,152.35
2016-06-01,177.2
2016-07-01,175.0
2016-08-01,184.1
2016-09-01,203.15
2016-10-01,213.65
2016-11-01,214.45
2016-12-01,193.85
2017-01-01,169.55
2017-02-01,162.0
2017-03-01,153.05
2017-04-01,158.35
2017-05-01,132.75
2017-06-01,132.55
2017-07-01,132.85
2017-08-01,133.8
2017-09-01,148.4
2017-10-01,154.5
2017-11-01,160.2
2017-12-01,136.85
2018-01-01,149.7
2018-02-01,144.65
2018-03-01,141.55
2018-04-01,155.7
2018-05-01,162.25
2018-06-01,160.35
2018-07-01,168.45
2018-08-01,154.45
2018-09-01,148.15
2018-10-01,137.6
2018-11-01,143.4
2018-12-01,125.8
2019-01-01,120.5
2019-02-01,117.3
2019-03-01,121.0
2019-04-01,97.05
2019-05-01,111.3
2019-06-01,104.05
2019-07-01,106.15
2019-08-01,103.75
2019-09-01,102.7
2019-10-01,98.85
2019-11-01,101.6
2019-12-01,99.75
2020-01-01,99.5
2020-02-01,95.95
2020-03-01,120.4
2020-04-01,111.25
2020-05-01,123.5
2020-06-01,128.4
2020-07-01,124.5
2020-08-01,116.8
2020-09-01,116.3
2020-10-01,114.35
2020-11-01,129.0
2020-12-01,125.5
2021-01-01,113.75
2021-02-01,111.75
2021-03-01,113.7
2021-04-01,111.95
2021-05-01,121.7
2021-06-01,123.15
2021-07-01,135.7
2021-08-01,136.95
2021-09-01,135.4
2021-10-01,123.05
2021-11-01,125.3
2021-12-01,139.95
2022-01-01,144.3
2022-02-01,141.95
2022-03-01,150.0
2022-04-01,180.4
2022-05-01,172.2
2022-06-01,173.05
2022-07-01,166.75
2022-08-01,185.35
2022-09-01,183.85
2022-10-01,201.1
2022-11-01,195.55
2022-12-01,204.2
2023-01-01,212.45
2023-02-01,253.6
2023-03-01,257.8
2023-04-01,268.55
2023-05-01,268.55
2023-06-01,254.75
2023-07-01,299.55
2023-08-01,318.55
2023-09-01,335.1
2023-10-01,383.7
2023-11-01,387.4
2023-12-01,312.55
2024-01-01,351.05
2024-02-01,358.15
2024-03-01,359.35
2024-04-01,363.55
2024-05-01,425.0
2024-06-01,413.2
