Date,Price
2012-01-01,218.0
2012-02-01,203.25
2012-03-01,185.0
2012-04-01,179.55
2012-05-01,162.95
2012-06-01,170.7
2012-07-01,177.25
2012-08-01,164.75
2012-09-01,177.5
2012-10-01,159.35
2012-11-01,150.6
2012-12-01,146.7
2013-01-01,150.0
2013-02-01,143.2
2013-03-01,139.65
2013-04-01,135.1
2013-05-01,129.15
2013-06-01,120.4
2013-07-01,121.3
2013-08-01,116.3
2013-09-01,116.85
2013-10-01,108.55
2013-11-01,110.85
2013-12-01,112.95
2014-01-01,127.2
2014-02-01,180.3
2014-03-01,180.0
2014-04-01,205.85
2014-05-01,179.9
2014-06-01,175.1
2014-07-01,198.75
2014-08-01,201.2
2014-09-01,197.45
2014-10-01,192.3
2014-11-01,187.45
2014-12-01,169.3
2015-01-01,164.65
2015-02-01,140.5
2015-03-01,136.1
2015-04-01,137.45
2015-05-01,128.6
2015-06-01,132.4
2015-07-01,128.5
2015-08-01,124.3
2015-09-01,124.4
2015-10-01,124.25
2015-11-01,119.65
2015-12-01,128.8
2016-01-01,118.5
2016-02-01,115.05
2016-03-01,129.55
2016-04-01,121.5
2016-05-01,123.45
2016-06-01,145.65
2016-07-01,149.5
2016-08-01,147.05
2016-09-01,154.9
2016-10-01,167.55
2016-11-01,150.6
2016-12-01,139.4
2017-01-01,152.0
2017-02-01,142.6
2017-03-01,141.65
2017-04-01,133.4
2017-05-01,131.7
2017-06-01,125.7
2017-07-01,142.75
2017-08-01,129.35
2017-09-01,131.65
2017-10-01,128.6
2017-11-01,128.5
2017-12-01,128.55
2018-01-01,124.2
2018-02-01,122.0
2018-03-01,120.2
2018-04-01,122.8
2018-05-01,125.9
2018-06-01,115.1
2018-07-01,113.1
2018-08-01,101.8
2018-09-01,105.85
2018-10-01,116.45
2018-11-01,107.55
2018-12-01,104.95
2019-01-01,109.0
2019-02-01,98.45
2019-03-01,97.05
2019-04-01,93.15
2019-05-01,107.1
2019-06-01,109.45
2019-07-01,103.3
2019-08-01,96.85
2019-09-01,104.7
2019-10-01,105.45
2019-11-01,119.05
2019-12-01,131.9
2020-01-01,104.9
2020-02-01,111.35
2020-03-01,120.35
2020-04-01,106.3
2020-05-01,98.15
2020-06-01,101.0
2020-07-01,121.6
2020-08-01,129.05
2020-09-01,112.7
2020-10-01,106.85
2020-11-01,123.3
2020-12-01,130.15
2021-01-01,125.0
2021-02-01,137.5
2021-03-01,125.4
2021-04-01,141.45
2021-05-01,164.3
2021-06-01,159.75
2021-07-01,182.45
2021-08-01,195.9
2021-09-01,196.8
2021-10-01,206.65
2021-11-01,232.3
2021-12-01,226.0
2022-01-01,235.5
2022-02-01,232.9
2022-03-01,226.45
2022-04-01,222.1
2022-05-01,231.45
2022-06-01,230.1
2022-07-01,213.8
2022-08-01,235.25
2022-09-01,212.55
2022-10-01,174.05
2022-11-01,169.9
2022-12-01,166.95
2023-01-01,181.7
2023-02-01,186.3
2023-03-01,169.7
2023-04-01,185.95
2023-05-01,175.85
2023-06-01,159.0
2023-07-01,164.55
2023-08-01,154.5
2023-09-01,147.2
2023-10-01,164.9
2023-11-01,184.7
2023-12-01,186.2
2024-01-01,190.95
2024-02-01,184.35
2024-03-01,188.05
2024-04-01,216.65
2024-05-01,221.25
2024-06-01,226.8
