Date,Price
2014-06-01,2242.25
2014-07-01,2351.75
2014-08-01,2462.25
2014-09-01,2329.25
2014-10-01,2453.5
2014-11-01,2378.5
2014-12-01,2208.5
2015-01-01,2255.5
2015-02-01,2075.5
2015-03-01,2059.0
2015-04-01,2035.25
2015-05-01,1845.0
2015-06-01,1799.75
2015-07-01,1717.5
2015-08-01,1703.5
2015-09-01,1643.5
2015-10-01,1566.0
2015-11-01,1601.5
2015-12-01,1641.5
2016-01-01,1649.25
2016-02-01,1666.0
2016-03-01,1611.25
2016-04-01,1740.25
2016-05-01,1613.75
2016-06-01,1695.25
2016-07-01,1680.5
2016-08-01,1664.75
2016-09-01,1739.25
2016-10-01,1800.0
2016-11-01,1861.5
2016-12-01,1787.0
2017-01-01,1928.0
2017-02-01,2020.25
2017-03-01,2032.75
2017-04-01,1995.0
2017-05-01,1999.75
2017-06-01,1990.0
2017-07-01,1988.0
2017-08-01,2177.0
2017-09-01,2199.25
2017-10-01,2239.5
2017-11-01,2244.5
2017-12-01,2250.0
2018-01-01,2255.0
2018-02-01,2260.0
2018-03-01,2265.0
2018-04-01,2305.0
2018-05-01,2309.25
2018-06-01,2313.5
2018-07-01,2318.75
2018-08-01,2323.0
2018-09-01,2328.25
2018-10-01,2332.5
2018-11-01,2332.5
2018-12-01,2332.5
2019-01-01,2332.5
2019-02-01,2225.0
2019-03-01,2225.0
2019-04-01,2225.0
2019-05-01,2225.0
2019-06-01,1820.0
2019-07-01,1850.0
2019-08-01,1758.0
2019-09-01,1737.25
2019-10-01,1763.5
2019-11-01,1781.25
2019-12-01,1832.75
2020-01-01,1743.75
2020-02-01,1691.75
2020-03-01,1512.0
2020-04-01,1511.25
2020-05-01,1538.0
2020-06-01,1634.25
2020-07-01,1713.25
2020-08-01,1790.25
2020-09-01,1789.25
2020-10-01,1844.5
2020-11-01,2035.25
2020-12-01,2005.0
2021-01-01,1995.0
2021-02-01,2186.75
2021-03-01,2223.25
2021-04-01,2415.75
2021-05-01,2518.0
2021-06-01,2564.0
2021-07-01,2627.75
2021-08-01,2736.0
2021-09-01,2893.0
2021-10-01,2747.0
2021-11-01,2609.25
2021-12-01,2804.5
2022-01-01,3084.0
2022-02-01,3396.75
2022-03-01,3518.5
2022-04-01,3057.75
2022-05-01,2781.25
2022-06-01,2424.25
2022-07-01,2477.75
2022-08-01,2356.5
2022-09-01,2170.75
2022-10-01,2240.0
2022-11-01,2469.75
2022-12-01,2409.75
2023-01-01,2652.0
2023-02-01,2343.5
2023-03-01,2393.75
2023-04-01,2362.25
2023-05-01,2259.75
2023-06-01,2126.5
2023-07-01,2251.5
2023-08-01,2190.75
2023-09-01,2343.5
2023-10-01,2250.0
2023-11-01,2174.25
2023-12-01,2357.5
2024-01-01,2245.5
2024-02-01,2193.75
2024-03-01,2308.25
2024-04-01,2573.75
2024-05-01,2605.75
