Date,Price
2012-01-01,88.88
2012-02-01,97.75
2012-03-01,91.92
2012-04-01,85.92
2012-05-01,91.0
2012-06-01,94.78
2012-07-01,80.3
2012-08-01,72.4
2012-09-01,73.75
2012-10-01,84.47
2012-11-01,86.92
2012-12-01,88.72
2013-01-01,89.35
2013-02-01,89.3
2013-03-01,89.55
2013-04-01,92.58
2013-05-01,93.85
2013-06-01,97.45
2013-07-01,83.33
2013-08-01,84.75
2013-09-01,86.62
2013-10-01,92.03
2013-11-01,90.58
2013-12-01,90.67
2014-01-01,94.8
2014-02-01,111.4
2014-03-01,124.0
2014-04-01,123.12
2014-05-01,120.47
2014-06-01,132.82
2014-07-01,103.17
2014-08-01,92.0
2014-09-01,94.53
2014-10-01,88.05
2014-11-01,88.22
2014-12-01,83.28
2015-01-01,72.25
2015-02-01,79.9
2015-03-01,68.72
2015-04-01,81.42
2015-05-01,83.45
2015-06-01,74.38
2015-07-01,63.73
2015-08-01,63.62
2015-09-01,66.72
2015-10-01,62.75
2015-11-01,56.8
2015-12-01,65.95
2016-01-01,70.7
2016-02-01,76.6
2016-03-01,77.22
2016-04-01,81.7
2016-05-01,81.45
2016-06-01,83.28
2016-07-01,59.05
2016-08-01,57.52
2016-09-01,43.98
2016-10-01,54.62
2016-11-01,55.23
2016-12-01,68.08
2017-01-01,69.25
2017-02-01,73.95
2017-03-01,69.85
2017-04-01,74.0
2017-05-01,83.03
2017-06-01,83.75
2017-07-01,66.03
2017-08-01,58.02
2017-09-01,59.95
2017-10-01,73.0
2017-11-01,69.78
2017-12-01,75.65
2018-01-01,72.25
2018-02-01,74.88
2018-03-01,67.83
2018-04-01,72.7
2018-05-01,78.05
2018-06-01,76.45
2018-07-01,50.73
2018-08-01,53.4
2018-09-01,57.92
2018-10-01,65.33
2018-11-01,67.55
2018-12-01,67.08
2019-01-01,60.23
2019-02-01,65.7
2019-03-01,81.33
2019-04-01,88.22
2019-05-01,85.92
2019-06-01,76.0
2019-07-01,71.0
2019-08-01,63.38
2019-09-01,72.6
2019-10-01,73.33
2019-11-01,68.17
2019-12-01,77.92
2020-01-01,61.6
2020-02-01,69.03
2020-03-01,52.98
2020-04-01,58.95
2020-05-01,57.02
2020-06-01,49.02
2020-07-01,49.62
2020-08-01,55.12
2020-09-01,63.1
2020-10-01,65.55
2020-11-01,68.58
2020-12-01,72.25
2021-01-01,76.65
2021-02-01,88.88
2021-03-01,101.5
2021-04-01,109.72
2021-05-01,119.35
2021-06-01,103.25
2021-07-01,88.03
2021-08-01,81.95
2021-09-01,85.4
2021-10-01,78.67
2021-11-01,79.97
2021-12-01,86.72
2022-01-01,95.7
2022-02-01,107.65
2022-03-01,113.58
2022-04-01,106.38
2022-05-01,108.0
2022-06-01,102.1
2022-07-01,97.22
2022-08-01,83.88
2022-09-01,76.22
2022-10-01,88.45
2022-11-01,85.35
2022-12-01,95.3
2023-01-01,86.42
2023-02-01,94.4
2023-03-01,84.62
2023-04-01,91.7
2023-05-01,83.33
2023-06-01,92.6
2023-07-01,86.0
2023-08-01,74.33
2023-09-01,71.78
2023-10-01,74.88
2023-11-01,71.47
2023-12-01,74.85
2024-01-01,84.83
2024-02-01,90.72
2024-03-01,92.5
2024-04-01,102.47
2024-05-01,97.12
