Date,Price
2012-01-01,2.638
2012-02-01,2.71
2012-03-01,2.259
2012-04-01,2.394
2012-05-01,2.481
2012-06-01,2.833
2012-07-01,3.212
2012-08-01,2.963
2012-09-01,3.615
2012-10-01,3.82
2012-11-01,3.584
2012-12-01,3.365
2013-01-01,3.392
2013-02-01,3.531
2013-03-01,4.066
2013-04-01,4.394
2013-05-01,4.003
2013-06-01,3.559
2013-07-01,3.471
2013-08-01,3.684
2013-09-01,3.729
2013-10-01,3.663
2013-11-01,3.957
2013-12-01,4.193
2014-01-01,4.454
2014-02-01,4.55
2014-03-01,4.404
2014-04-01,4.843
2014-05-01,4.524
2014-06-01,4.44
2014-07-01,3.867
2014-08-01,4.116
2014-09-01,4.19
2014-10-01,3.959
2014-11-01,4.085
2014-12-01,2.896
2015-01-01,2.687
2015-02-01,2.771
2015-03-01,2.691
2015-04-01,2.802
2015-05-01,2.665
2015-06-01,2.842
2015-07-01,2.749
2015-08-01,2.761
2015-09-01,2.701
2015-10-01,2.49
2015-11-01,2.29
2015-12-01,2.363
2016-01-01,2.332
2016-02-01,1.808
2016-03-01,2.054
2016-04-01,2.322
2016-05-01,2.383
2016-06-01,2.918
2016-07-01,2.917
2016-08-01,3.003
2016-09-01,3.132
2016-10-01,3.195
2016-11-01,3.359
2016-12-01,3.684
2017-01-01,3.165
2017-02-01,2.87
2017-03-01,3.254
2017-04-01,3.353
2017-05-01,3.109
2017-06-01,3.031
2017-07-01,2.834
2017-08-01,3.102
2017-09-01,3.181
2017-10-01,3.026
2017-11-01,3.032
2017-12-01,2.906
2018-01-01,2.86
2018-02-01,2.696
2018-03-01,2.778
2018-04-01,2.8
2018-05-01,2.965
2018-06-01,2.901
2018-07-01,2.798
2018-08-01,2.939
2018-09-01,3.091
2018-10-01,3.302
2018-11-01,4.419
2018-12-01,2.851
2019-01-01,2.765
2019-02-01,2.823
2019-03-01,2.713
2019-04-01,2.617
2019-05-01,2.46
2019-06-01,2.282
2019-07-01,2.25
2019-08-01,2.324
2019-09-01,2.504
2019-10-01,2.732
2019-11-01,2.262
2019-12-01,2.158
2020-01-01,1.886
2020-02-01,1.732
2020-03-01,1.756
2020-04-01,2.17
2020-05-01,1.94
2020-06-01,1.789
2020-07-01,1.957
2020-08-01,2.92
2020-09-01,3.117
2020-10-01,3.469
2020-11-01,2.865
2020-12-01,2.526
2021-01-01,2.592
2021-02-01,2.809
2021-03-01,2.667
2021-04-01,2.978
2021-05-01,3.007
2021-06-01,3.624
2021-07-01,3.92
2021-08-01,4.425
2021-09-01,5.991
2021-10-01,5.529
2021-11-01,4.506
2021-12-01,3.557
2022-01-01,4.675
2022-02-01,4.42
2022-03-01,5.701
2022-04-01,7.355
2022-05-01,8.138
2022-06-01,5.392
2022-07-01,8.208
2022-08-01,9.189
2022-09-01,7.065
2022-10-01,6.607
2022-11-01,6.818
2022-12-01,4.104
2023-01-01,2.741
2023-02-01,2.863
2023-03-01,2.465
2023-04-01,2.578
2023-05-01,2.358
2023-06-01,2.774
2023-07-01,2.741
2023-08-01,3.147
2023-09-01,3.312
2023-10-01,3.813
2023-11-01,2.763
2023-12-01,2.327
2024-01-01,2.121
2024-02-01,2.008
2024-03-01,1.997
2024-04-01,2.319
2024-05-01,2.662
