Date,Price
2012-01-01,686.35
2012-02-01,707.05
2012-03-01,653.55
2012-04-01,682.35
2012-05-01,612.8
2012-06-01,584.05
2012-07-01,590.55
2012-08-01,628.35
2012-09-01,640.4
2012-10-01,609.8
2012-11-01,686.95
2012-12-01,703.0
2013-01-01,745.7
2013-02-01,733.35
2013-03-01,767.65
2013-04-01,697.8
2013-05-01,752.6
2013-06-01,659.9
2013-07-01,726.35
2013-08-01,722.75
2013-09-01,726.6
2013-10-01,736.8
2013-11-01,718.45
2013-12-01,718.1
2014-01-01,703.2
2014-02-01,743.95
2014-03-01,777.3
2014-04-01,812.5
2014-05-01,835.9
2014-06-01,842.15
2014-07-01,873.7
2014-08-01,908.95
2014-09-01,775.25
2014-10-01,791.8
2014-11-01,812.7
2014-12-01,798.4
2015-01-01,772.4
2015-02-01,818.8
2015-03-01,735.1
2015-04-01,776.5
2015-05-01,776.75
2015-06-01,672.15
2015-07-01,610.85
2015-08-01,601.6
2015-09-01,651.6
2015-10-01,677.25
2015-11-01,542.3
2015-12-01,561.75
2016-01-01,498.5
2016-02-01,494.9
2016-03-01,563.5
2016-04-01,627.65
2016-05-01,548.05
2016-06-01,597.7
2016-07-01,709.75
2016-08-01,668.6
2016-09-01,721.0
2016-10-01,618.0
2016-11-01,771.4
2016-12-01,683.3
2017-01-01,754.3
2017-02-01,771.05
2017-03-01,798.15
2017-04-01,826.7
2017-05-01,819.0
2017-06-01,838.1
2017-07-01,885.4
2017-08-01,929.9
2017-09-01,938.25
2017-10-01,979.15
2017-11-01,1004.05
2017-12-01,1075.05
2018-01-01,1023.55
2018-02-01,1044.7
2018-03-01,946.0
2018-04-01,960.55
2018-05-01,986.4
2018-06-01,958.9
2018-07-01,931.9
2018-08-01,978.8
2018-09-01,1089.4
2018-10-01,1068.5
2018-11-01,1166.4
2018-12-01,1253.3
2019-01-01,1299.9
2019-02-01,1514.8
2019-03-01,1344.7
2019-04-01,1382.7
2019-05-01,1333.9
2019-06-01,1530.7
2019-07-01,1524.4
2019-08-01,1538.2
2019-09-01,1650.0
2019-10-01,1755.6
2019-11-01,1813.7
2019-12-01,1909.9
2020-01-01,2224.7
2020-02-01,2507.2
2020-03-01,2321.1
2020-04-01,1956.0
2020-05-01,1933.2
2020-06-01,1946.9
2020-07-01,2145.3
2020-08-01,2249.1
2020-09-01,2337.0
2020-10-01,2217.2
2020-11-01,2401.1
2020-12-01,2452.5
2021-01-01,2208.4
2021-02-01,2391.5
2021-03-01,2629.3
2021-04-01,2953.7
2021-05-01,2825.9
2021-06-01,2778.8
2021-07-01,2656.2
2021-08-01,2474.3
2021-09-01,1905.6
2021-10-01,1980.3
2021-11-01,1703.7
2021-12-01,1904.7
2022-01-01,2355.8
2022-02-01,2502.1
2022-03-01,2255.1
2022-04-01,2307.0
2022-05-01,2000.2
2022-06-01,1915.3
2022-07-01,2129.7
2022-08-01,2073.7
2022-09-01,2179.6
2022-10-01,1831.7
2022-11-01,1858.6
2022-12-01,1794.3
2023-01-01,1648.3
2023-02-01,1425.0
2023-03-01,1477.3
2023-04-01,1509.9
2023-05-01,1350.4
2023-06-01,1207.4
2023-07-01,1275.6
2023-08-01,1215.2
2023-09-01,1262.5
2023-10-01,1126.1
2023-11-01,1014.3
2023-12-01,1109.0
2024-01-01,996.8
2024-02-01,941.4
2024-03-01,1020.6
2024-04-01,952.8
2024-05-01,905.6
