Date,Price
2012-01-01,1586.6
2012-02-01,1692.6
2012-03-01,1640.7
2012-04-01,1569.9
2012-05-01,1417.6
2012-06-01,1450.1
2012-07-01,1415.8
2012-08-01,1537.3
2012-09-01,1665.8
2012-10-01,1577.5
2012-11-01,1604.6
2012-12-01,1540.2
2013-01-01,1673.9
2013-02-01,1583.5
2013-03-01,1572.3
2013-04-01,1506.2
2013-05-01,1461.8
2013-06-01,1338.4
2013-07-01,1428.4
2013-08-01,1527.1
2013-09-01,1409.6
2013-10-01,1446.4
2013-11-01,1368.8
2013-12-01,1371.9
2014-01-01,1374.8
2014-02-01,1446.8
2014-03-01,1419.2
2014-04-01,1426.9
2014-05-01,1452.7
2014-06-01,1482.0
2014-07-01,1464.7
2014-08-01,1424.7
2014-09-01,1299.5
2014-10-01,1234.3
2014-11-01,1211.3
2014-12-01,1208.9
2015-01-01,1239.2
2015-02-01,1185.6
2015-03-01,1142.8
2015-04-01,1139.9
2015-05-01,1111.5
2015-06-01,1078.9
2015-07-01,985.0
2015-08-01,1010.5
2015-09-01,909.7
2015-10-01,988.8
2015-11-01,832.9
2015-12-01,892.6
2016-01-01,873.6
2016-02-01,934.3
2016-03-01,975.8
2016-04-01,1078.8
2016-05-01,980.4
2016-06-01,1022.5
2016-07-01,1149.1
2016-08-01,1053.5
2016-09-01,1029.3
2016-10-01,978.0
2016-11-01,909.9
2016-12-01,903.8
2017-01-01,994.8
2017-02-01,1031.0
2017-03-01,949.9
2017-04-01,948.3
2017-05-01,950.3
2017-06-01,925.5
2017-07-01,939.1
2017-08-01,998.5
2017-09-01,910.7
2017-10-01,917.8
2017-11-01,942.5
2017-12-01,934.7
2018-01-01,1002.1
2018-02-01,988.1
2018-03-01,928.9
2018-04-01,902.0
2018-05-01,910.1
2018-06-01,852.8
2018-07-01,843.8
2018-08-01,787.1
2018-09-01,820.2
2018-10-01,841.3
2018-11-01,799.8
2018-12-01,796.8
2019-01-01,823.0
2019-02-01,875.2
2019-03-01,850.6
2019-04-01,890.5
2019-05-01,794.2
2019-06-01,836.1
2019-07-01,878.1
2019-08-01,931.7
2019-09-01,885.9
2019-10-01,932.1
2019-11-01,900.4
2019-12-01,973.3
2020-01-01,960.5
2020-02-01,864.7
2020-03-01,725.9
2020-04-01,808.0
2020-05-01,874.6
2020-06-01,840.7
2020-07-01,916.2
2020-08-01,937.9
2020-09-01,903.6
2020-10-01,846.0
2020-11-01,965.9
2020-12-01,1076.2
2021-01-01,1078.0
2021-02-01,1185.3
2021-03-01,1189.3
2021-04-01,1204.3
2021-05-01,1182.4
2021-06-01,1071.8
2021-07-01,1047.7
2021-08-01,1014.1
2021-09-01,961.6
2021-10-01,1020.2
2021-11-01,927.3
2021-12-01,965.0
2022-01-01,1020.0
2022-02-01,1038.7
2022-03-01,993.9
2022-04-01,938.5
2022-05-01,968.3
2022-06-01,899.4
2022-07-01,889.0
2022-08-01,827.0
2022-09-01,868.4
2022-10-01,934.7
2022-11-01,1039.3
2022-12-01,1075.9
2023-01-01,1020.8
2023-02-01,955.5
2023-03-01,1001.2
2023-04-01,1098.2
2023-05-01,999.0
2023-06-01,908.3
2023-07-01,958.4
2023-08-01,974.4
2023-09-01,911.1
2023-10-01,940.2
2023-11-01,935.9
2023-12-01,999.7
2024-01-01,928.9
2024-02-01,884.0
2024-03-01,912.3
2024-04-01,946.0
2024-05-01,1042.0
