Date,Price
2012-01-01,949.75
2012-02-01,1003.75
2012-03-01,1013.75
2012-04-01,1003.0
2012-05-01,866.75
2012-06-01,843.25
2012-07-01,906.5
2012-08-01,994.25
2012-09-01,974.5
2012-10-01,949.5
2012-11-01,953.0
2012-12-01,927.0
2013-01-01,982.75
2013-02-01,939.0
2013-03-01,918.25
2013-04-01,849.75
2013-05-01,845.5
2013-06-01,877.25
2013-07-01,912.75
2013-08-01,969.25
2013-09-01,912.0
2013-10-01,924.0
2013-11-01,942.75
2013-12-01,943.5
2014-01-01,911.75
2014-02-01,918.25
2014-03-01,895.0
2014-04-01,901.0
2014-05-01,893.75
2014-06-01,918.75
2014-07-01,889.5
2014-08-01,868.5
2014-09-01,808.25
2014-10-01,741.25
2014-11-01,654.25
2014-12-01,521.25
2015-01-01,477.0
2015-02-01,580.75
2015-03-01,524.0
2015-04-01,599.25
2015-05-01,593.5
2015-06-01,576.0
2015-07-01,492.5
2015-08-01,491.0
2015-09-01,467.0
2015-10-01,460.0
2015-11-01,426.0
2015-12-01,334.25
2016-01-01,312.0
2016-02-01,330.0
2016-03-01,358.5
2016-04-01,414.0
2016-05-01,453.75
2016-06-01,446.25
2016-07-01,377.25
2016-08-01,419.75
2016-09-01,447.75
2016-10-01,441.25
2016-11-01,452.0
2016-12-01,504.75
2017-01-01,497.75
2017-02-01,492.0
2017-03-01,471.0
2017-04-01,455.5
2017-05-01,445.75
2017-06-01,436.0
2017-07-01,487.5
2017-08-01,503.25
2017-09-01,542.25
2017-10-01,547.75
2017-11-01,558.0
2017-12-01,601.75
2018-01-01,612.5
2018-02-01,578.75
2018-03-01,618.0
2018-04-01,650.5
2018-05-01,681.75
2018-06-01,676.75
2018-07-01,657.25
2018-08-01,692.0
2018-09-01,724.25
2018-10-01,699.0
2018-11-01,545.0
2018-12-01,511.25
2019-01-01,582.25
2019-02-01,620.75
2019-03-01,607.25
2019-04-01,637.75
2019-05-01,577.5
2019-06-01,597.5
2019-07-01,603.75
2019-08-01,562.25
2019-09-01,586.5
2019-10-01,563.5
2019-11-01,571.75
2019-12-01,613.75
2020-01-01,502.5
2020-02-01,439.5
2020-03-01,294.75
2020-04-01,254.75
2020-05-01,294.75
2020-06-01,355.25
2020-07-01,367.5
2020-08-01,368.25
2020-09-01,333.75
2020-10-01,307.0
2020-11-01,390.0
2020-12-01,423.0
2021-01-01,452.25
2021-02-01,532.75
2021-03-01,507.5
2021-04-01,535.0
2021-05-01,569.0
2021-06-01,598.25
2021-07-01,614.25
2021-08-01,601.75
2021-09-01,675.5
2021-10-01,712.25
2021-11-01,597.75
2021-12-01,666.25
2022-01-01,782.75
2022-02-01,854.75
2022-03-01,1008.0
2022-04-01,1166.5
2022-05-01,1199.0
2022-06-01,1124.0
2022-07-01,1089.25
2022-08-01,1075.25
2022-09-01,941.75
2022-10-01,1019.75
2022-11-01,934.5
2022-12-01,906.0
2023-01-01,899.75
2023-02-01,825.0
2023-03-01,751.75
2023-04-01,694.5
2023-05-01,656.75
2023-06-01,702.5
2023-07-01,860.0
2023-08-01,883.25
2023-09-01,966.25
2023-10-01,850.75
2023-11-01,786.5
2023-12-01,742.25
2024-01-01,837.0
2024-02-01,806.25
2024-03-01,808.0
2024-04-01,776.25
2024-05-01,734.5
2024-06-01,784.0
