Date,Price
2012-01-01,525.8
2012-02-01,575.5
2012-03-01,619.9
2012-04-01,637.7
2012-05-01,567.3
2012-06-01,593.7
2012-07-01,633.5
2012-08-01,641.2
2012-09-01,601.8
2012-10-01,615.6
2012-11-01,594.1
2012-12-01,589.9
2013-01-01,612.7
2013-02-01,625.0
2013-03-01,608.8
2013-04-01,613.6
2013-05-01,572.5
2013-06-01,534.8
2013-07-01,489.0
2013-08-01,527.7
2013-09-01,491.0
2013-10-01,494.4
2013-11-01,500.0
2013-12-01,449.9
2014-01-01,440.4
2014-02-01,429.9
2014-03-01,461.0
2014-04-01,477.4
2014-05-01,464.9
2014-06-01,457.3
2014-07-01,445.4
2014-08-01,425.8
2014-09-01,402.5
2014-10-01,439.0
2014-11-01,425.7
2014-12-01,439.8
2015-01-01,449.4
2015-02-01,469.3
2015-03-01,454.4
2015-04-01,446.5
2015-05-01,465.6
2015-06-01,536.1
2015-07-01,500.1
2015-08-01,479.8
2015-09-01,481.0
2015-10-01,473.4
2015-11-01,474.0
2015-12-01,486.5
2016-01-01,485.0
2016-02-01,449.7
2016-03-01,481.9
2016-04-01,501.0
2016-05-01,517.0
2016-06-01,495.7
2016-07-01,460.3
2016-08-01,464.4
2016-09-01,470.7
2016-10-01,522.3
2016-11-01,532.5
2016-12-01,504.0
2017-01-01,514.1
2017-02-01,520.2
2017-03-01,488.5
2017-04-01,514.7
2017-05-01,482.1
2017-06-01,498.0
2017-07-01,513.7
2017-08-01,505.1
2017-09-01,498.9
2017-10-01,518.7
2017-11-01,518.4
2017-12-01,488.7
2018-01-01,503.1
2018-02-01,524.0
2018-03-01,528.4
2018-04-01,532.3
2018-05-01,524.0
2018-06-01,509.4
2018-07-01,507.4
2018-08-01,502.5
2018-09-01,503.2
2018-10-01,486.0
2018-11-01,486.5
2018-12-01,484.2
2019-01-01,489.6
2019-02-01,469.2
2019-03-01,462.9
2019-04-01,441.2
2019-05-01,473.4
2019-06-01,455.9
2019-07-01,451.1
2019-08-01,456.1
2019-09-01,460.2
2019-10-01,457.4
2019-11-01,465.7
2019-12-01,478.1
2020-01-01,459.8
2020-02-01,456.3
2020-03-01,477.7
2020-04-01,465.4
2020-05-01,470.0
2020-06-01,476.0
2020-07-01,497.1
2020-08-01,505.5
2020-09-01,528.1
2020-10-01,542.6
2020-11-01,573.7
2020-12-01,637.0
2021-01-01,669.0
2021-02-01,739.2
2021-03-01,717.7
2021-04-01,868.7
2021-05-01,715.2
2021-06-01,811.7
2021-07-01,835.9
2021-08-01,880.4
2021-09-01,880.0
2021-10-01,959.8
2021-11-01,960.0
2021-12-01,1012.6
2022-01-01,1002.0
2022-02-01,1032.7
2022-03-01,1107.3
2022-04-01,1188.1
2022-05-01,1073.5
2022-06-01,878.5
2022-07-01,902.0
2022-08-01,844.2
2022-09-01,860.2
2022-10-01,879.0
2022-11-01,843.8
2022-12-01,865.8
2023-01-01,831.2
2023-02-01,818.2
2023-03-01,749.5
2023-04-01,703.4
2023-05-01,624.8
2023-06-01,736.4
2023-07-01,787.7
2023-08-01,813.9
2023-09-01,716.0
2023-10-01,678.1
2023-11-01,705.4
2023-12-01,653.4
2024-01-01,618.0
2024-02-01,593.7
2024-03-01,636.1
2024-04-01,618.0
2024-05-01,683.2
