Date,Price
2012-01-01,33.262
2012-02-01,34.617
2012-03-01,32.484
2012-04-01,30.987
2012-05-01,27.757
2012-06-01,27.588
2012-07-01,27.914
2012-08-01,31.391
2012-09-01,34.547
2012-10-01,32.316
2012-11-01,33.229
2012-12-01,30.198
2013-01-01,31.351
2013-02-01,28.411
2013-03-01,28.323
2013-04-01,24.164
2013-05-01,22.243
2013-06-01,19.459
2013-07-01,19.628
2013-08-01,23.478
2013-09-01,21.684
2013-10-01,21.867
2013-11-01,19.999
2013-12-01,19.357
2014-01-01,19.12
2014-02-01,21.222
2014-03-01,19.752
2014-04-01,19.148
2014-05-01,18.682
2014-06-01,21.031
2014-07-01,20.412
2014-08-01,19.433
2014-09-01,17.029
2014-10-01,16.106
2014-11-01,15.522
2014-12-01,15.583
2015-01-01,17.208
2015-02-01,16.536
2015-03-01,16.598
2015-04-01,16.139
2015-05-01,16.701
2015-06-01,15.568
2015-07-01,14.745
2015-08-01,14.576
2015-09-01,14.513
2015-10-01,15.567
2015-11-01,14.059
2015-12-01,13.789
2016-01-01,14.243
2016-02-01,14.91
2016-03-01,15.464
2016-04-01,17.816
2016-05-01,15.994
2016-06-01,18.601
2016-07-01,20.347
2016-08-01,18.643
2016-09-01,19.175
2016-10-01,17.796
2016-11-01,16.426
2016-12-01,15.961
2017-01-01,17.543
2017-02-01,18.444
2017-03-01,18.256
2017-04-01,17.232
2017-05-01,17.406
2017-06-01,16.596
2017-07-01,16.786
2017-08-01,17.508
2017-09-01,16.642
2017-10-01,16.693
2017-11-01,16.411
2017-12-01,17.09
2018-01-01,17.241
2018-02-01,16.368
2018-03-01,16.268
2018-04-01,16.361
2018-05-01,16.458
2018-06-01,16.152
2018-07-01,15.559
2018-08-01,14.482
2018-09-01,14.662
2018-10-01,14.282
2018-11-01,14.135
2018-12-01,15.49
2019-01-01,16.072
2019-02-01,15.586
2019-03-01,15.11
2019-04-01,14.942
2019-05-01,14.567
2019-06-01,15.301
2019-07-01,16.405
2019-08-01,18.244
2019-09-01,16.948
2019-10-01,18.067
2019-11-01,17.013
2019-12-01,17.879
2020-01-01,18.012
2020-02-01,16.423
2020-03-01,14.156
2020-04-01,14.913
2020-05-01,18.499
2020-06-01,18.593
2020-07-01,24.216
2020-08-01,28.47
2020-09-01,23.464
2020-10-01,23.646
2020-11-01,22.558
2020-12-01,26.372
2021-01-01,26.914
2021-02-01,26.422
2021-03-01,24.532
2021-04-01,25.857
2021-05-01,28.014
2021-06-01,26.179
2021-07-01,25.547
2021-08-01,23.975
2021-09-01,22.037
2021-10-01,23.949
2021-11-01,22.785
2021-12-01,23.339
2022-01-01,22.393
2022-02-01,24.366
2022-03-01,25.133
2022-04-01,23.063
2022-05-01,21.688
2022-06-01,20.322
2022-07-01,20.197
2022-08-01,17.807
2022-09-01,19.013
2022-10-01,19.119
2022-11-01,21.649
2022-12-01,23.957
2023-01-01,23.836
2023-02-01,21.015
2023-03-01,24.156
2023-04-01,25.111
2023-05-01,23.587
2023-06-01,22.908
2023-07-01,24.972
2023-08-01,24.57
2023-09-01,22.348
2023-10-01,22.952
2023-11-01,25.414
2023-12-01,23.976
2024-01-01,23.169
2024-02-01,22.777
2024-03-01,24.916
2024-04-01,26.532
2024-05-01,30.44
