Date,Price
2012-01-01,321.3
2012-02-01,352.9
2012-03-01,389.7
2012-04-01,435.5
2012-05-01,382.2
2012-06-01,429.5
2012-07-01,515.7
2012-08-01,536.2
2012-09-01,486.9
2012-10-01,475.2
2012-11-01,434.9
2012-12-01,419.4
2013-01-01,423.1
2013-02-01,435.6
2013-03-01,400.5
2013-04-01,414.5
2013-05-01,425.8
2013-06-01,434.9
2013-07-01,404.0
2013-08-01,428.4
2013-09-01,405.4
2013-10-01,396.5
2013-11-01,436.6
2013-12-01,417.0
2014-01-01,411.1
2014-02-01,457.7
2014-03-01,463.6
2014-04-01,493.7
2014-05-01,473.9
2014-06-01,430.7
2014-07-01,362.0
2014-08-01,363.1
2014-09-01,298.9
2014-10-01,366.7
2014-11-01,366.3
2014-12-01,347.6
2015-01-01,324.0
2015-02-01,342.4
2015-03-01,325.2
2015-04-01,316.1
2015-05-01,298.4
2015-06-01,351.9
2015-07-01,338.7
2015-08-01,313.6
2015-09-01,309.0
2015-10-01,303.1
2015-11-01,285.3
2015-12-01,265.5
2016-01-01,274.4
2016-02-01,262.5
2016-03-01,273.1
2016-04-01,334.8
2016-05-01,385.3
2016-06-01,405.8
2016-07-01,349.9
2016-08-01,308.4
2016-09-01,299.6
2016-10-01,317.9
2016-11-01,318.3
2016-12-01,316.6
2017-01-01,337.9
2017-02-01,336.4
2017-03-01,311.8
2017-04-01,315.8
2017-05-01,299.4
2017-06-01,306.2
2017-07-01,320.7
2017-08-01,296.5
2017-09-01,315.8
2017-10-01,313.8
2017-11-01,326.5
2017-12-01,316.8
2018-01-01,341.5
2018-02-01,394.7
2018-03-01,386.3
2018-04-01,393.8
2018-05-01,376.2
2018-06-01,331.0
2018-07-01,339.9
2018-08-01,304.6
2018-09-01,309.0
2018-10-01,308.2
2018-11-01,310.5
2018-12-01,309.9
2019-01-01,314.0
2019-02-01,306.0
2019-03-01,310.0
2019-04-01,300.1
2019-05-01,322.7
2019-06-01,315.3
2019-07-01,300.5
2019-08-01,291.7
2019-09-01,301.0
2019-10-01,306.9
2019-11-01,293.1
2019-12-01,304.7
2020-01-01,296.3
2020-02-01,305.6
2020-03-01,318.9
2020-04-01,295.1
2020-05-01,285.0
2020-06-01,289.1
2020-07-01,291.2
2020-08-01,306.9
2020-09-01,342.8
2020-10-01,371.6
2020-11-01,390.5
2020-12-01,429.4
2021-01-01,429.1
2021-02-01,421.4
2021-03-01,424.8
2021-04-01,426.1
2021-05-01,396.5
2021-06-01,377.5
2021-07-01,351.3
2021-08-01,343.1
2021-09-01,328.7
2021-10-01,330.4
2021-11-01,341.8
2021-12-01,399.1
2022-01-01,417.0
2022-02-01,446.3
2022-03-01,459.4
2022-04-01,432.3
2022-05-01,410.4
2022-06-01,435.5
2022-07-01,442.4
2022-08-01,420.7
2022-09-01,403.0
2022-10-01,419.1
2022-11-01,417.8
2022-12-01,471.0
2023-01-01,468.5
2023-02-01,467.1
2023-03-01,461.3
2023-04-01,432.4
2023-05-01,387.8
2023-06-01,413.9
2023-07-01,423.8
2023-08-01,404.7
2023-09-01,381.2
2023-10-01,418.0
2023-11-01,424.0
2023-12-01,386.0
2024-01-01,364.1
2024-02-01,329.2
2024-03-01,341.0
2024-04-01,351.9
2024-05-01,358.0
2024-06-01,346.0
