Date,Price
2012-01-01,3.0043
2012-02-01,3.2507
2012-03-01,3.2493
2012-04-01,3.0842
2012-05-01,2.6676
2012-06-01,2.5575
2012-07-01,2.5834
2012-08-01,2.8845
2012-09-01,2.792
2012-10-01,2.6022
2012-11-01,2.7309
2012-12-01,2.7636
2013-01-01,3.1809
2013-02-01,3.0779
2013-03-01,3.0836
2013-04-01,2.784
2013-05-01,2.7363
2013-06-01,2.6988
2013-07-01,2.8463
2013-08-01,2.8533
2013-09-01,2.6107
2013-10-01,2.5913
2013-11-01,2.6732
2013-12-01,2.7919
2014-01-01,2.8133
2014-02-01,2.9675
2014-03-01,2.9035
2014-04-01,2.9284
2014-05-01,2.9378
2014-06-01,3.0055
2014-07-01,2.655
2014-08-01,2.587
2014-09-01,2.3883
2014-10-01,2.1457
2014-11-01,1.8311
2014-12-01,1.5041
2015-01-01,1.6985
2015-02-01,1.9704
2015-03-01,1.7583
2015-04-01,2.0293
2015-05-01,2.0292
2015-06-01,1.9997
2015-07-01,1.5718
2015-08-01,1.4736
2015-09-01,1.3368
2015-10-01,1.3712
2015-11-01,1.3112
2015-12-01,1.2982
2016-01-01,1.3487
2016-02-01,1.3482
2016-03-01,1.4613
2016-04-01,1.6084
2016-05-01,1.6124
2016-06-01,1.5074
2016-07-01,1.2328
2016-08-01,1.3226
2016-09-01,1.4346
2016-10-01,1.4172
2016-11-01,1.4914
2016-12-01,1.6864
2017-01-01,1.7695
2017-02-01,1.7556
2017-03-01,1.6966
2017-04-01,1.5527
2017-05-01,1.5848
2017-06-01,1.5024
2017-07-01,1.5597
2017-08-01,1.6058
2017-09-01,1.5787
2017-10-01,1.7125
2017-11-01,1.7412
2017-12-01,1.8133
2018-01-01,2.0646
2018-02-01,1.9393
2018-03-01,2.025
2018-04-01,2.1268
2018-05-01,2.1528
2018-06-01,2.1321
2018-07-01,1.966
2018-08-01,1.9779
2018-09-01,2.0757
2018-10-01,1.7523
2018-11-01,1.4052
2018-12-01,1.312
2019-01-01,1.5824
2019-02-01,1.7658
2019-03-01,1.868
2019-04-01,2.0332
2019-05-01,1.7392
2019-06-01,1.8541
2019-07-01,1.7063
2019-08-01,1.5028
2019-09-01,1.5291
2019-10-01,1.5718
2019-11-01,1.5948
2019-12-01,1.703
2020-01-01,1.6655
2020-02-01,1.4771
2020-03-01,0.659
2020-04-01,0.8079
2020-05-01,1.0909
2020-06-01,1.1874
2020-07-01,1.1006
2020-08-01,1.188
2020-09-01,1.1652
2020-10-01,1.0272
2020-11-01,1.2524
2020-12-01,1.4154
2021-01-01,1.6542
2021-02-01,1.9417
2021-03-01,1.9536
2021-04-01,2.0667
2021-05-01,2.1375
2021-06-01,2.2234
2021-07-01,2.1958
2021-08-01,2.0664
2021-09-01,2.1561
2021-10-01,2.3182
2021-11-01,1.9282
2021-12-01,2.2286
2022-01-01,2.6604
2022-02-01,2.9089
2022-03-01,3.0978
2022-04-01,3.3744
2022-05-01,3.7455
2022-06-01,3.4019
2022-07-01,2.8652
2022-08-01,2.3879
2022-09-01,2.2789
2022-10-01,2.4589
2022-11-01,2.3825
2022-12-01,2.4783
2023-01-01,2.7352
2023-02-01,2.632
2023-03-01,2.628
2023-04-01,2.488
2023-05-01,2.3756
2023-06-01,2.4625
2023-07-01,2.625
2023-08-01,2.4803
2023-09-01,2.3496
2023-10-01,2.2117
2023-11-01,2.1778
2023-12-01,2.1258
2024-01-01,2.4631
2024-02-01,2.5711
2024-03-01,2.6885
2024-04-01,2.6541
2024-05-01,2.3991
