Date,Price
2012-01-01,16.52
2012-02-01,15.54
2012-03-01,15.66
2012-04-01,14.94
2012-05-01,16.33
2012-06-01,16.87
2012-07-01,17.08
2012-08-01,19.76
2012-09-01,20.86
2012-10-01,20.16
2012-11-01,18.74
2012-12-01,17.91
2013-01-01,16.98
2013-02-01,17.19
2013-03-01,17.26
2013-04-01,18.67
2013-05-01,17.78
2013-06-01,16.88
2013-07-01,18.71
2013-08-01,17.83
2013-09-01,18.0
2013-10-01,18.33
2013-11-01,18.47
2013-12-01,18.67
2014-01-01,23.11
2014-02-01,22.15
2014-03-01,23.79
2014-04-01,21.22
2014-05-01,20.83
2014-06-01,21.25
2014-07-01,21.36
2014-08-01,23.95
2014-09-01,24.06
2014-10-01,21.25
2014-11-01,18.0
2014-12-01,15.69
2015-01-01,16.0
2015-02-01,15.69
2015-03-01,15.65
2015-04-01,16.34
2015-05-01,16.82
2015-06-01,16.11
2015-07-01,16.41
2015-08-01,16.21
2015-09-01,15.72
2015-10-01,15.32
2015-11-01,14.62
2015-12-01,13.75
2016-01-01,13.89
2016-02-01,13.74
2016-03-01,14.01
2016-04-01,13.17
2016-05-01,12.79
2016-06-01,16.37
2016-07-01,16.84
2016-08-01,16.58
2016-09-01,15.21
2016-10-01,16.04
2016-11-01,16.52
2016-12-01,16.47
2017-01-01,16.71
2017-02-01,16.27
2017-03-01,15.31
2017-04-01,15.35
2017-05-01,16.7
2017-06-01,16.58
2017-07-01,16.59
2017-08-01,16.43
2017-09-01,16.24
2017-10-01,16.58
2017-11-01,14.68
2017-12-01,14.08
2018-01-01,13.57
2018-02-01,14.11
2018-03-01,14.27
2018-04-01,15.18
2018-05-01,16.38
2018-06-01,14.6
2018-07-01,14.76
2018-08-01,16.71
2018-09-01,15.8
2018-10-01,15.17
2018-11-01,13.98
2018-12-01,14.31
2019-01-01,14.36
2019-02-01,15.2
2019-03-01,15.61
2019-04-01,16.08
2019-05-01,16.2
2019-06-01,17.29
2019-07-01,17.68
2019-08-01,17.62
2019-09-01,18.13
2019-10-01,19.47
2019-11-01,19.3
2019-12-01,17.26
2020-01-01,17.14
2020-02-01,16.31
2020-03-01,14.49
2020-04-01,12.44
2020-05-01,18.5
2020-06-01,22.35
2020-07-01,21.03
2020-08-01,15.68
2020-09-01,18.63
2020-10-01,23.9
2020-11-01,15.15
2020-12-01,17.49
2021-01-01,15.36
2021-02-01,16.22
2021-03-01,18.23
2021-04-01,19.18
2021-05-01,17.24
2021-06-01,17.13
2021-07-01,16.29
2021-08-01,16.75
2021-09-01,18.26
2021-10-01,18.5
2021-11-01,18.01
2021-12-01,20.04
2022-01-01,20.35
2022-02-01,22.05
2022-03-01,24.47
2022-04-01,24.47
2022-05-01,24.57
2022-06-01,22.82
2022-07-01,20.41
2022-08-01,19.89
2022-09-01,21.75
2022-10-01,20.47
2022-11-01,19.42
2022-12-01,19.54
2023-01-01,17.84
2023-02-01,18.03
2023-03-01,19.1
2023-04-01,16.82
2023-05-01,15.41
2023-06-01,14.86
2023-07-01,17.69
2023-08-01,19.1
2023-09-01,16.88
2023-10-01,17.19
2023-11-01,16.19
2023-12-01,15.43
2024-01-01,16.91
2024-02-01,17.17
2024-03-01,15.56
2024-04-01,18.38
2024-05-01,19.38
2024-06-01,19.45
