Date,Price
2012-01-01,305.09
2012-02-01,320.59000000000003
2012-03-01,317.01
2012-04-01,318.42
2012-05-01,270.32
2012-06-01,270.99
2012-07-01,284.8
2012-08-01,318.02000000000004
2012-09-01,315.91999999999996
2012-10-01,306.23
2012-11-01,306.07
2012-12-01,303.18
2013-01-01,311.87
2013-02-01,296.03000000000003
2013-03-01,304.7
2013-04-01,283.96
2013-05-01,278.14
2013-06-01,285.88
2013-07-01,305.5
2013-08-01,313.66
2013-09-01,297.15
2013-10-01,295.39
2013-11-01,303.08000000000004
2013-12-01,306.52
2014-01-01,299.71000000000004
2014-02-01,301.63
2014-03-01,292.98
2014-04-01,292.81
2014-05-01,288.82
2014-06-01,297.53
2014-07-01,288.99
2014-08-01,286.01
2014-09-01,265.05
2014-10-01,251.09
2014-11-01,216.12
2014-12-01,183.35999999999999
2015-01-01,170.08
2015-02-01,197.37
2015-03-01,170.79999999999998
2015-04-01,198.04999999999998
2015-05-01,194.97
2015-06-01,188.98999999999998
2015-07-01,158.89
2015-08-01,170.12
2015-09-01,153.74
2015-10-01,151.67
2015-11-01,135.42000000000002
2015-12-01,112.38999999999999
2016-01-01,107.87
2016-02-01,109.36999999999999
2016-03-01,118.55
2016-04-01,138.6
2016-05-01,149.71
2016-06-01,148.87
2016-07-01,130.75
2016-08-01,142.57
2016-09-01,153.83
2016-10-01,150.39000000000001
2016-11-01,157.63
2016-12-01,172.82
2017-01-01,163.08
2017-02-01,163.98999999999998
2017-03-01,157.46
2017-04-01,150.72
2017-05-01,151.79
2017-06-01,148.31
2017-07-01,166.74
2017-08-01,174.19
2017-09-01,181.0
2017-10-01,188.05
2017-11-01,189.76
2017-12-01,206.80999999999997
2018-01-01,206.64
2018-02-01,190.35
2018-03-01,202.1
2018-04-01,214.93
2018-05-01,220.46
2018-06-01,220.97000000000003
2018-07-01,213.74
2018-08-01,224.31
2018-09-01,234.85
2018-10-01,225.14
2018-11-01,182.94
2018-12-01,167.94
2019-01-01,187.74
2019-02-01,202.73
2019-03-01,197.14000000000001
2019-04-01,207.79000000000002
2019-05-01,184.04
2019-06-01,193.94
2019-07-01,197.07
2019-08-01,183.73
2019-09-01,189.72
2019-10-01,187.57999999999998
2019-11-01,187.85
2019-12-01,202.28000000000003
2020-01-01,162.84
2020-02-01,147.73000000000002
2020-03-01,100.15
2020-04-01,83.31
2020-05-01,103.66
2020-06-01,118.65
2020-07-01,122.39999999999999
2020-08-01,121.73
2020-09-01,115.21999999999998
2020-10-01,108.59
2020-11-01,137.14
2020-12-01,148.4
2021-01-01,159.84
2021-02-01,184.31
2021-03-01,176.98000000000002
2021-04-01,192.24
2021-05-01,203.83
2021-06-01,212.82999999999998
2021-07-01,219.56000000000003
2021-08-01,213.01999999999998
2021-09-01,233.84999999999997
2021-10-01,247.87
2021-11-01,206.02999999999997
2021-12-01,232.53
2022-01-01,271.57
2022-02-01,293.13
2022-03-01,336.09
2022-04-01,401.71999999999997
2022-05-01,393.5
2022-06-01,383.04999999999995
2022-07-01,354.9
2022-08-01,366.74
2022-09-01,322.16
2022-10-01,367.41
2022-11-01,336.35
2022-12-01,329.5
2023-01-01,314.48
2023-02-01,280.56
2023-03-01,262.06
2023-04-01,237.71
2023-05-01,225.09
2023-06-01,244.76
2023-07-01,298.55
2023-08-01,311.31
2023-09-01,330.06
2023-10-01,291.0
2023-11-01,275.42
2023-12-01,252.89000000000001
2024-01-01,278.52000000000004
2024-02-01,264.99
2024-03-01,262.27
2024-04-01,252.76000000000002
2024-05-01,238.42
2024-06-01,253.31
