Date,Price
2012-01-01,128.57
2012-02-01,129.75
2012-03-01,116.15
2012-04-01,114.15
2012-05-01,118.9
2012-06-01,120.45
2012-07-01,124.4
2012-08-01,126.03
2012-09-01,124.7
2012-10-01,125.92
2012-11-01,130.4
2012-12-01,132.3
2013-01-01,132.8
2013-02-01,129.85
2013-03-01,124.38
2013-04-01,121.9
2013-05-01,120.45
2013-06-01,122.03
2013-07-01,125.47
2013-08-01,126.8
2013-09-01,131.97
2013-10-01,132.72
2013-11-01,134.25
2013-12-01,134.62
2014-01-01,140.43
2014-02-01,144.97
2014-03-01,137.5
2014-04-01,137.2
2014-05-01,138.6
2014-06-01,150.07
2014-07-01,157.32
2014-08-01,151.43
2014-09-01,163.47
2014-10-01,166.05
2014-11-01,169.22
2014-12-01,163.55
2015-01-01,152.28
2015-02-01,151.7
2015-03-01,152.32
2015-04-01,149.7
2015-05-01,151.28
2015-06-01,148.07
2015-07-01,145.93
2015-08-01,143.2
2015-09-01,130.93
2015-10-01,141.72
2015-11-01,132.35
2015-12-01,136.8
2016-01-01,134.0
2016-02-01,136.97
2016-03-01,124.03
2016-04-01,114.92
2016-05-01,118.05
2016-06-01,114.83
2016-07-01,111.72
2016-08-01,106.58
2016-09-01,100.12
2016-10-01,103.33
2016-11-01,111.95
2016-12-01,116.05
2017-01-01,114.17
2017-02-01,117.92
2017-03-01,110.88
2017-04-01,124.03
2017-05-01,121.7
2017-06-01,116.3
2017-07-01,111.95
2017-08-01,105.4
2017-09-01,115.25
2017-10-01,125.62
2017-11-01,124.97
2017-12-01,121.55
2018-01-01,122.92
2018-02-01,123.28
2018-03-01,102.58
2018-04-01,106.1
2018-05-01,103.95
2018-06-01,106.72
2018-07-01,109.3
2018-08-01,108.78
2018-09-01,118.85
2018-10-01,116.95
2018-11-01,120.5
2018-12-01,123.88
2019-01-01,126.3
2019-02-01,129.85
2019-03-01,119.0
2019-04-01,114.25
2019-05-01,103.08
2019-06-01,104.35
2019-07-01,107.65
2019-08-01,98.92
2019-09-01,110.3
2019-10-01,117.22
2019-11-01,126.2
2019-12-01,125.92
2020-01-01,119.67
2020-02-01,107.58
2020-03-01,92.08
2020-04-01,85.95
2020-05-01,99.6
2020-06-01,96.28
2020-07-01,107.88
2020-08-01,105.3
2020-09-01,112.35
2020-10-01,108.3
2020-11-01,112.88
2020-12-01,115.03
2021-01-01,121.85
2021-02-01,120.0
2021-03-01,122.9
2021-04-01,116.58
2021-05-01,118.6
2021-06-01,122.72
2021-07-01,127.2
2021-08-01,126.9
2021-09-01,125.72
2021-10-01,129.28
2021-11-01,137.9
2021-12-01,139.7
2022-01-01,144.53
2022-02-01,141.43
2022-03-01,137.12
2022-04-01,132.65
2022-05-01,130.38
2022-06-01,132.57
2022-07-01,142.22
2022-08-01,142.57
2022-09-01,147.05
2022-10-01,152.47
2022-11-01,155.68
2022-12-01,157.9
2023-01-01,163.03
2023-02-01,165.47
2023-03-01,162.12
2023-04-01,165.47
2023-05-01,167.68
2023-06-01,177.18
2023-07-01,179.53
2023-08-01,180.82
2023-09-01,187.93
2023-10-01,183.55
2023-11-01,171.82
2023-12-01,168.5
2024-01-01,180.7
2024-02-01,185.35
2024-03-01,180.25
2024-04-01,174.97
2024-05-01,178.45
2024-06-01,185.43
