Date,Price
2012-01-01,292.75
2012-02-01,314.5
2012-03-01,342.0
2012-04-01,345.5
2012-05-01,280.75
2012-06-01,338.0
2012-07-01,382.75
2012-08-01,397.5
2012-09-01,376.0
2012-10-01,397.0
2012-11-01,378.75
2012-12-01,354.5
2013-01-01,367.0
2013-02-01,377.25
2013-03-01,391.25
2013-04-01,391.75
2013-05-01,370.25
2013-06-01,366.25
2013-07-01,331.5
2013-08-01,340.5
2013-09-01,306.0
2013-10-01,312.0
2013-11-01,331.5
2013-12-01,325.25
2014-01-01,361.25
2014-02-01,462.5
2014-03-01,355.5
2014-04-01,360.5
2014-05-01,352.75
2014-06-01,323.25
2014-07-01,330.5
2014-08-01,342.25
2014-09-01,322.5
2014-10-01,329.0
2014-11-01,306.5
2014-12-01,304.0
2015-01-01,280.0
2015-02-01,278.25
2015-03-01,266.75
2015-04-01,244.25
2015-05-01,241.75
2015-06-01,264.0
2015-07-01,252.0
2015-08-01,230.25
2015-09-01,230.0
2015-10-01,229.25
2015-11-01,232.5
2015-12-01,219.5
2016-01-01,208.5
2016-02-01,182.75
2016-03-01,196.25
2016-04-01,205.75
2016-05-01,201.5
2016-06-01,202.5
2016-07-01,199.25
2016-08-01,176.0
2016-09-01,187.0
2016-10-01,219.25
2016-11-01,212.25
2016-12-01,228.5
2017-01-01,238.75
2017-02-01,244.25
2017-03-01,220.75
2017-04-01,228.0
2017-05-01,241.5
2017-06-01,284.75
2017-07-01,286.25
2017-08-01,237.0
2017-09-01,255.25
2017-10-01,269.25
2017-11-01,263.25
2017-12-01,247.0
2018-01-01,265.75
2018-02-01,270.25
2018-03-01,233.75
2018-04-01,235.75
2018-05-01,252.5
2018-06-01,240.0
2018-07-01,245.75
2018-08-01,252.5
2018-09-01,265.5
2018-10-01,272.75
2018-11-01,292.25
2018-12-01,278.0
2019-01-01,284.25
2019-02-01,264.0
2019-03-01,268.5
2019-04-01,288.25
2019-05-01,298.5
2019-06-01,277.25
2019-07-01,263.75
2019-08-01,269.0
2019-09-01,279.5
2019-10-01,293.5
2019-11-01,309.75
2019-12-01,289.75
2020-01-01,298.25
2020-02-01,272.75
2020-03-01,267.5
2020-04-01,284.0
2020-05-01,286.0
2020-06-01,291.25
2020-07-01,271.5
2020-08-01,275.0
2020-09-01,287.5
2020-10-01,295.25
2020-11-01,291.5
2020-12-01,355.0
2021-01-01,346.5
2021-02-01,364.75
2021-03-01,377.75
2021-04-01,405.75
2021-05-01,380.25
2021-06-01,391.0
2021-07-01,447.75
2021-08-01,502.25
2021-09-01,572.5
2021-10-01,704.75
2021-11-01,714.0
2021-12-01,649.75
2022-01-01,657.0
2022-02-01,641.0
2022-03-01,684.5
2022-04-01,650.25
2022-05-01,641.5
2022-06-01,515.5
2022-07-01,443.0
2022-08-01,395.75
2022-09-01,393.75
2022-10-01,398.0
2022-11-01,385.75
2022-12-01,364.0
2023-01-01,387.25
2023-02-01,335.0
2023-03-01,361.25
2023-04-01,312.0
2023-05-01,344.5
2023-06-01,389.5
2023-07-01,456.25
2023-08-01,493.25
2023-09-01,450.5
2023-10-01,408.0
2023-11-01,370.0
2023-12-01,381.75
2024-01-01,375.5
2024-02-01,371.0
2024-03-01,352.25
2024-04-01,369.5
2024-05-01,392.25
2024-06-01,315.0
