Date,Price
2012-01-01,14.27
2012-02-01,14.46
2012-03-01,15.03
2012-04-01,15.13
2012-05-01,14.49
2012-06-01,14.49
2012-07-01,15.9
2012-08-01,15.28
2012-09-01,15.79
2012-10-01,15.14
2012-11-01,15.59
2012-12-01,15.18
2013-01-01,15.83
2013-02-01,15.78
2013-03-01,15.65
2013-04-01,15.1
2013-05-01,15.49
2013-06-01,15.59
2013-07-01,16.03
2013-08-01,15.75
2013-09-01,15.34
2013-10-01,15.1
2013-11-01,16.15
2013-12-01,15.27
2014-01-01,15.41
2014-02-01,15.64
2014-03-01,15.66
2014-04-01,15.56
2014-05-01,14.38
2014-06-01,13.57
2014-07-01,13.21
2014-08-01,12.66
2014-09-01,12.9
2014-10-01,12.28
2014-11-01,12.6
2014-12-01,11.75
2015-01-01,10.84
2015-02-01,10.74
2015-03-01,11.11
2015-04-01,10.3
2015-05-01,9.78
2015-06-01,10.45
2015-07-01,11.77
2015-08-01,12.16
2015-09-01,13.49
2015-10-01,11.9
2015-11-01,12.17
2015-12-01,11.84
2016-01-01,11.63
2016-02-01,10.78
2016-03-01,9.97
2016-04-01,11.11
2016-05-01,11.19
2016-06-01,10.65
2016-07-01,10.22
2016-08-01,9.43
2016-09-01,10.13
2016-10-01,10.15
2016-11-01,9.95
2016-12-01,9.61
2017-01-01,9.8
2017-02-01,9.56
2017-03-01,10.15
2017-04-01,9.42
2017-05-01,11.39
2017-06-01,11.81
2017-07-01,12.52
2017-08-01,12.82
2017-09-01,12.27
2017-10-01,11.6
2017-11-01,12.83
2017-12-01,11.9
2018-01-01,12.71
2018-02-01,12.54
2018-03-01,12.52
2018-04-01,13.07
2018-05-01,11.34
2018-06-01,11.23
2018-07-01,11.97
2018-08-01,10.83
2018-09-01,9.98
2018-10-01,10.56
2018-11-01,11.06
2018-12-01,10.36
2019-01-01,10.85
2019-02-01,10.63
2019-03-01,11.01
2019-04-01,10.58
2019-05-01,11.65
2019-06-01,11.57
2019-07-01,12.15
2019-08-01,11.95
2019-09-01,12.24
2019-10-01,12.02
2019-11-01,12.65
2019-12-01,13.28
2020-01-01,13.77
2020-02-01,13.6
2020-03-01,14.02
2020-04-01,14.79
2020-05-01,12.41
2020-06-01,12.23
2020-07-01,11.64
2020-08-01,12.35
2020-09-01,12.68
2020-10-01,12.36
2020-11-01,12.73
2020-12-01,12.69
2021-01-01,13.67
2021-02-01,13.05
2021-03-01,13.44
2021-04-01,13.69
2021-05-01,13.55
2021-06-01,13.48
2021-07-01,13.94
2021-08-01,13.39
2021-09-01,13.96
2021-10-01,13.56
2021-11-01,14.27
2021-12-01,14.85
2022-01-01,15.27
2022-02-01,15.69
2022-03-01,16.31
2022-04-01,17.48
2022-05-01,17.81
2022-06-01,16.75
2022-07-01,17.19
2022-08-01,17.84
2022-09-01,17.49
2022-10-01,16.99
2022-11-01,18.14
2022-12-01,18.39
2023-01-01,18.18
2023-02-01,17.35
2023-03-01,17.66
2023-04-01,17.38
2023-05-01,14.72
2023-06-01,14.98
2023-07-01,15.67
2023-08-01,16.69
2023-09-01,16.23
2023-10-01,16.0
2023-11-01,17.59
2023-12-01,17.52
2024-01-01,18.11
2024-02-01,18.28
2024-03-01,16.69
2024-04-01,19.28
2024-05-01,15.78
2024-06-01,15.39
