Date,Price
2012-01-01,23.09
2012-02-01,25.01
2012-03-01,23.82
2012-04-01,21.12
2012-05-01,19.78
2012-06-01,21.01
2012-07-01,22.9
2012-08-01,20.51
2012-09-01,20.42
2012-10-01,19.4
2012-11-01,19.38
2012-12-01,19.6
2013-01-01,18.84
2013-02-01,18.39
2013-03-01,17.7
2013-04-01,17.6
2013-05-01,16.9
2013-06-01,16.92
2013-07-01,17.47
2013-08-01,16.88
2013-09-01,18.14
2013-10-01,18.19
2013-11-01,17.24
2013-12-01,16.56
2014-01-01,15.76
2014-02-01,17.66
2014-03-01,18.13
2014-04-01,17.72
2014-05-01,18.19
2014-06-01,18.01
2014-07-01,18.25
2014-08-01,17.44
2014-09-01,16.45
2014-10-01,16.34
2014-11-01,15.96
2014-12-01,14.92
2015-01-01,15.04
2015-02-01,13.77
2015-03-01,12.06
2015-04-01,13.18
2015-05-01,12.28
2015-06-01,12.47
2015-07-01,12.4
2015-08-01,11.77
2015-09-01,12.88
2015-10-01,14.17
2015-11-01,14.46
2015-12-01,14.92
2016-01-01,13.08
2016-02-01,14.36
2016-03-01,15.45
2016-04-01,16.32
2016-05-01,17.66
2016-06-01,20.33
2016-07-01,19.44
2016-08-01,20.56
2016-09-01,23.0
2016-10-01,21.11
2016-11-01,19.27
2016-12-01,19.25
2017-01-01,20.46
2017-02-01,19.23
2017-03-01,16.88
2017-04-01,16.13
2017-05-01,15.13
2017-06-01,13.81
2017-07-01,15.6
2017-08-01,14.98
2017-09-01,14.1
2017-10-01,14.82
2017-11-01,15.03
2017-12-01,15.02
2018-01-01,13.37
2018-02-01,13.38
2018-03-01,12.46
2018-04-01,11.75
2018-05-01,13.02
2018-06-01,12.25
2018-07-01,11.48
2018-08-01,11.42
2018-09-01,11.2
2018-10-01,13.3
2018-11-01,12.95
2018-12-01,12.1
2019-01-01,12.81
2019-02-01,12.78
2019-03-01,12.65
2019-04-01,12.34
2019-05-01,12.43
2019-06-01,12.62
2019-07-01,13.2
2019-08-01,12.23
2019-09-01,12.65
2019-10-01,12.58
2019-11-01,12.98
2019-12-01,13.54
2020-01-01,14.35
2020-02-01,14.14
2020-03-01,10.5
2020-04-01,10.37
2020-05-01,10.97
2020-06-01,11.96
2020-07-01,13.2
2020-08-01,13.28
2020-09-01,13.51
2020-10-01,13.39
2020-11-01,13.82
2020-12-01,14.68
2021-01-01,15.08
2021-02-01,16.45
2021-03-01,14.77
2021-04-01,16.98
2021-05-01,17.39
2021-06-01,17.89
2021-07-01,18.43
2021-08-01,20.55
2021-09-01,20.34
2021-10-01,18.95
2021-11-01,18.28
2021-12-01,18.6
2022-01-01,17.8
2022-02-01,17.7
2022-03-01,19.32
2022-04-01,19.15
2022-05-01,19.57
2022-06-01,18.5
2022-07-01,17.69
2022-08-01,17.77
2022-09-01,17.68
2022-10-01,16.89
2022-11-01,18.56
2022-12-01,18.72
2023-01-01,20.44
2023-02-01,20.07
2023-03-01,21.83
2023-04-01,26.35
2023-05-01,24.74
2023-06-01,22.79
2023-07-01,24.29
2023-08-01,25.43
2023-09-01,26.48
2023-10-01,25.72
2023-11-01,25.04
2023-12-01,20.42
2024-01-01,23.25
2024-02-01,21.69
2024-03-01,22.15
2024-04-01,19.41
2024-05-01,18.29
2024-06-01,20.3
