Date,Price
2012-01-01,1208.5
2012-02-01,1320.0
2012-03-01,1408.25
2012-04-01,1505.5
2012-05-01,1322.75
2012-06-01,1481.75
2012-07-01,1656.75
2012-08-01,1756.5
2012-09-01,1602.75
2012-10-01,1548.75
2012-11-01,1432.5
2012-12-01,1409.5
2013-01-01,1459.75
2013-02-01,1452.25
2013-03-01,1385.5
2013-04-01,1399.0
2013-05-01,1437.75
2013-06-01,1431.0
2013-07-01,1249.75
2013-08-01,1357.5
2013-09-01,1285.0
2013-10-01,1266.25
2013-11-01,1317.75
2013-12-01,1292.5
2014-01-01,1268.5
2014-02-01,1414.0
2014-03-01,1429.5
2014-04-01,1512.75
2014-05-01,1424.5
2014-06-01,1329.75
2014-07-01,1099.75
2014-08-01,1024.25
2014-09-01,921.25
2014-10-01,1049.25
2014-11-01,1022.5
2014-12-01,1023.5
2015-01-01,967.75
2015-02-01,1031.75
2015-03-01,977.75
2015-04-01,976.0
2015-05-01,919.25
2015-06-01,1049.5
2015-07-01,953.25
2015-08-01,887.5
2015-09-01,894.0
2015-10-01,885.75
2015-11-01,883.25
2015-12-01,864.25
2016-01-01,884.5
2016-02-01,861.0
2016-03-01,917.75
2016-04-01,1029.75
2016-05-01,1076.5
2016-06-01,1174.25
2016-07-01,1020.0
2016-08-01,943.0
2016-09-01,959.25
2016-10-01,1011.75
2016-11-01,1041.25
2016-12-01,1004.0
2017-01-01,1034.25
2017-02-01,1035.75
2017-03-01,957.0
2017-04-01,956.25
2017-05-01,918.25
2017-06-01,947.0
2017-07-01,999.5
2017-08-01,945.25
2017-09-01,978.5
2017-10-01,984.75
2017-11-01,997.75
2017-12-01,961.75
2018-01-01,1007.0
2018-02-01,1055.5
2018-03-01,1055.5
2018-04-01,1048.5
2018-05-01,1023.25
2018-06-01,863.5
2018-07-01,908.75
2018-08-01,843.5
2018-09-01,859.5
2018-10-01,851.75
2018-11-01,907.5
2018-12-01,895.0
2019-01-01,929.25
2019-02-01,910.25
2019-03-01,897.75
2019-04-01,854.0
2019-05-01,884.5
2019-06-01,904.5
2019-07-01,869.0
2019-08-01,869.0
2019-09-01,919.5
2019-10-01,932.25
2019-11-01,891.25
2019-12-01,955.5
2020-01-01,886.75
2020-02-01,892.75
2020-03-01,889.5
2020-04-01,855.25
2020-05-01,843.5
2020-06-01,878.75
2020-07-01,890.25
2020-08-01,953.5
2020-09-01,1027.25
2020-10-01,1056.25
2020-11-01,1169.5
2020-12-01,1311.0
2021-01-01,1367.0
2021-02-01,1404.25
2021-03-01,1427.75
2021-04-01,1534.25
2021-05-01,1482.0
2021-06-01,1430.0
2021-07-01,1355.5
2021-08-01,1292.5
2021-09-01,1265.5
2021-10-01,1249.5
2021-11-01,1226.5
2021-12-01,1339.25
2022-01-01,1495.25
2022-02-01,1636.75
2022-03-01,1598.0
2022-04-01,1684.75
2022-05-01,1620.25
2022-06-01,1560.5
2022-07-01,1487.25
2022-08-01,1422.5
2022-09-01,1375.5
2022-10-01,1419.5
2022-11-01,1475.5
2022-12-01,1524.0
2023-01-01,1530.25
2023-02-01,1479.0
2023-03-01,1475.5
2023-04-01,1419.25
2023-05-01,1217.75
2023-06-01,1442.0
2023-07-01,1370.5
2023-08-01,1368.75
2023-09-01,1294.5
2023-10-01,1310.5
2023-11-01,1362.25
2023-12-01,1298.0
2024-01-01,1232.75
2024-02-01,1140.75
2024-03-01,1205.25
2024-04-01,1163.0
2024-05-01,1203.5
2024-06-01,1133.5
