,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2021-01-13,90.9000015258789,103.0,90.01000213623047,96.36499786376952,25159000,0.0,0.0,False,,,,,
2021-01-14,103.5,137.97999572753906,101.0,114.94000244140624,20858700,0.0,0.0,False,,,,0.17189441761574342,23.358566801408756
2021-01-15,123.0540008544922,127.23999786376952,107.0,117.0,8310700,0.0,0.0,False,,,,0.06848763041220972,23.376330461886216
2021-01-19,117.0,117.6750030517578,108.0,110.98999786376952,3304900,0.0,0.0,False,,,,0.01361458593137428,24.01697042753889
2021-01-20,110.0,112.0,103.25,106.20999908447266,5091400,0.0,0.0,False,,,,0.020974099915579598,23.97294859733553
2021-01-21,107.16000366210938,109.9000015258789,104.3000030517578,108.97000122070312,1735300,0.0,0.0,False,,,,0.007148594803689609,23.998602965813046
2021-01-22,107.19000244140624,121.0,107.19000244140624,119.9499969482422,4343500,0.0,0.0,False,,,,0.01789311446425737,24.094605303465844
2021-01-25,117.11000061035156,123.4489974975586,108.0,112.6999969482422,2660000,0.0,0.0,False,,,,0.010957910550230139,24.03225973358919
2021-01-26,113.83999633789062,114.0,109.51000213623048,110.08000183105467,1287400,0.0,0.0,False,,,,0.0053034639257016096,24.008737730440945
2021-01-27,105.73999786376952,108.9000015258789,100.8000030517578,105.29000091552734,2259300,0.0,0.0,False,,,,0.009307220791780058,23.964248796186016
2021-01-28,105.0,106.29000091552734,97.20500183105467,99.41999816894533,2097400,0.0,0.0,False,0.3830957842183181,,,0.008640271273704021,23.906883621871216
2021-01-29,100.0,104.58399963378906,97.5999984741211,99.58999633789062,1836300,0.0,0.0,False,-2.634637488373073,,,0.007564665843378799,23.908592060793744
2021-02-01,100.0,107.6500015258789,99.6240005493164,107.61000061035156,1266000,0.0,0.0,False,-1.3778044578831479,,,0.005215306299470435,23.98604392550624
2021-02-02,110.0,118.8000030517578,110.0,113.0,1875600,0.0,0.0,False,0.3097416350611201,,,0.0077265627924855826,24.034918158334396
2021-02-03,115.95099639892578,115.98999786376952,109.0999984741211,110.9499969482422,1451700,0.0,0.0,False,0.7860235761162649,,,0.00598030028036432,24.016609961494957
2021-02-04,110.05999755859376,110.5,106.37999725341795,108.7699966430664,1692700,0.0,0.0,False,-0.03230863464097235,,,0.006973103454276149,23.996765869865136
2021-02-05,108.83000183105467,109.41300201416016,101.25,103.4499969482422,2932300,0.0,0.0,False,-2.961765038926687,,,0.012079654551293171,23.946618714313775
2021-02-08,109.45999908447266,123.5,109.0,122.76000213623048,3417400,0.0,0.0,False,1.1825170824501658,,,0.014078031396374615,24.117761586775273
2021-02-09,121.48999786376952,144.89999389648438,117.04000091552734,131.0,4056800,0.0,0.0,False,2.4894976449783046,,,0.016712049443674295,24.182727662823208
2021-02-10,141.9499969482422,146.89999389648438,129.0,136.22999572753906,2353000,0.0,0.0,False,4.019093025623078,,,0.009693219370184782,24.22187494203791
2021-02-11,140.0,140.5,131.16000366210938,139.99000549316406,2285600,0.0,0.0,False,6.094897449791261,,,0.009415564042709025,24.249101370348477
2021-02-12,129.63999938964844,131.6699981689453,123.01000213623048,125.88999938964844,4903500,0.0,0.0,False,3.3197261606799473,,,0.020200043001147926,24.14293884455193
2021-02-16,129.3000030517578,129.3000030517578,115.0,119.1500015258789,5642300,0.0,0.0,False,1.3286690006522741,,,0.02289550750562643,24.10300012457653
2021-02-17,116.62999725341795,117.5,110.8000030517578,112.52999877929688,2786700,0.0,0.0,False,-0.05058489981432349,,,0.011307961428128453,24.04583675013951
2021-02-18,109.63999938964844,109.9499969482422,104.61000061035156,105.5500030517578,3589200,0.0,0.0,False,-0.5754078630988922,,,0.014564371894297427,23.98180171143265
2021-02-19,110.29000091552734,110.75,105.0,105.98999786376952,2973900,0.0,0.0,False,-0.30295355669472507,,,0.011553298502269216,24.029513808747048
2021-02-22,105.01000213623048,105.72000122070312,102.0,104.83000183105467,2955600,0.0,0.0,False,0.16123807650938043,,,0.011482204866776587,24.01850908679428
2021-02-23,99.26000213623048,102.3499984741211,91.0999984741211,102.01000213623048,4105200,0.0,0.0,False,-3.2234093586799046,,,0.015948283739034796,23.991239947498713
2021-02-24,99.27999877929688,103.75,98.70500183105467,102.48999786376952,1894100,0.0,0.0,False,-4.90174994116703,,,0.007358385518392724,23.99593429086307
2021-02-25,99.93000030517578,101.0,90.0,94.19499969482422,5472000,0.0,0.0,False,-7.411754631836299,,,0.0212581624817301,23.91153617724041
2021-02-26,92.18000030517578,97.81999969482422,91.02999877929688,93.05999755859376,2596700,0.0,0.0,False,-9.174745815722547,,,0.01008791493353592,23.899413499044652
2021-03-01,95.5,96.3499984741211,90.80999755859376,91.44000244140624,2913300,0.0,0.0,False,-9.154565206812554,,,0.011317873676539528,23.881852125049
2021-03-02,92.6999969482422,98.19000244140624,91.0,91.8000030517578,3733500,0.0,0.0,False,-7.500222522785812,,,0.014504267109930434,23.885781409732896
2021-03-03,91.6500015258789,92.37999725341795,83.93000030517578,86.30999755859375,6083900,0.0,0.0,False,-7.492965741007918,,,0.023635331637901637,23.824114516807988
2021-03-04,85.0,85.44999694824219,77.0999984741211,84.45999908447266,5611100,0.0,0.0,False,-7.0454646933756555,,,0.02179855180943636,23.802447117528924
2021-03-05,82.82499694824219,83.04000091552734,70.05000305175781,81.13999938964844,5385300,0.0,0.0,False,-8.597209019291073,,,0.020921341815215846,23.762345129119
2021-03-08,80.08399963378906,80.25,72.94999694824219,74.30999755859375,3771900,0.0,0.0,False,-9.050647324575182,,,0.014653447197521522,23.674414578177938
2021-03-09,77.25,81.18000030517578,75.77999877929688,79.66000366210938,3712800,0.0,0.0,False,-4.720467987608025,,,0.014423849718963362,23.743936702588147
2021-03-10,82.70500183105469,85.19000244140625,78.30000305175781,80.76000213623047,2130900,0.0,0.0,False,-4.500388949451627,,,0.008278329391871102,23.75765089875913
2021-03-11,82.36000061035156,83.5,80.25,81.25,2228900,0.0,0.0,False,-3.1973775761182863,,,0.008659049407077526,23.76369990007275
2021-03-12,78.0,80.07499694824219,76.01000213623047,79.56999969482422,2276800,0.0,0.0,False,-3.368969152221121,,,0.00884513602675495,23.742806212417033
2021-03-15,80.0,82.77999877929688,79.0,81.3499984741211,1885200,0.0,0.0,False,-2.4762679069991966,,,0.007323809925174998,23.764929893770987
2021-03-16,82.22000122070312,84.19999694824219,79.5,80.80000305175781,1609300,0.0,0.0,False,-2.704999095345538,,,0.006251966535425485,23.758146082159232
2021-03-17,78.98999786376953,81.33999633789062,76.7699966430664,81.08999633789062,1424700,0.0,0.0,False,-1.472137292778099,,,0.005534814343516241,23.76172868265832
2021-03-18,79.87000274658203,80.47000122070312,73.0999984741211,74.38999938964844,4230700,0.0,0.0,False,-2.4972071146436154,,,0.01643583845238588,23.6754905948614
2021-03-19,74.15899658203125,78.51000213623047,71.51000213623047,77.37000274658203,3185200,0.0,0.0,False,-0.9444412254744746,,,0.012374177473831637,23.71476822292358
2021-03-22,77.80999755859375,83.45999908447266,77.80999755859375,81.98999786376953,2158000,0.0,0.0,False,2.361516418399809,,,0.008383610130770021,23.77276634141622
2021-03-23,81.22000122070312,81.75,78.19999694824219,78.87000274658203,963800,0.0,0.0,False,-0.24573218946947073,,,0.0037442648026117455,23.733970041096967
2021-03-24,79.4800033569336,79.80000305175781,72.5199966430664,72.62999725341797,1555000,0.0,0.0,False,-2.1453220173631906,,,0.006041016567816211,23.651547100664896
2021-03-25,70.62000274658203,71.30000305175781,67.72000122070312,69.55999755859375,2244400,0.0,0.0,False,-3.021204434323007,,,0.00871926532784997,23.608358733251137
2021-03-26,70.0,72.37000274658203,67.0199966430664,69.72000122070312,1474100,0.0,0.0,False,-2.587673956142686,,,0.005726728310365194,23.610656317023373
2021-03-29,69.72000122070312,73.91999816894531,68.66999816894531,69.98999786376953,1984400,0.0,0.0,False,-2.9900627544982594,,,0.007709191818118643,23.61452142304241
2021-03-30,69.68699645996094,69.74099731445312,65.7699966430664,66.38999938964844,2254700,0.0,0.0,False,-3.710984866922204,,,0.00875927977842779,23.561715512400543
2021-03-31,67.71399688720703,71.19999694824219,65.6500015258789,70.72000122070312,2296000,0.0,0.0,False,-2.3385075161157474,,,0.008919726070550495,23.624897514453366
2021-04-01,73.0,74.97000122070312,70.37000274658203,71.44999694824219,1661000,0.0,0.0,False,-0.8066433744010519,,,0.006452815767937445,23.635166940526982
2021-04-05,71.73999786376953,72.40799713134766,68.4000015258789,69.38999938964844,1154800,0.0,0.0,False,-2.190600075014958,,,0.0044862803424528365,23.6059118349784
2021-04-06,70.37000274658203,73.5,69.69999694824219,73.0,1909100,0.0,0.0,False,-2.390461391793107,,,0.007416658990107993,23.656628520011292
2021-04-07,72.73100280761719,72.73100280761719,69.75,71.5,1264500,0.0,0.0,False,-2.0751314547896613,,,0.00491245366559717,23.635866528562865
2021-04-08,72.7699966430664,72.9000015258789,68.97000122070312,69.80999755859375,1091200,0.0,0.0,False,-1.0129585674404893,,,0.004239200822380097,23.611946309873055
2021-04-09,69.43000030517578,71.19999694824219,68.37999725341797,70.70999908447266,1070800,0.0,0.0,False,0.4592766619803979,,,0.004159948900847331,23.624756071531415
2021-04-12,71.43000030517578,71.47000122070312,66.7300033569336,67.93000030517578,1890900,0.0,0.0,False,-0.6700437454580254,,,0.0073459538444268,23.584646846558616
2021-04-13,67.98999786376953,70.18000030517578,65.30999755859375,70.11000061035156,2493400,0.0,0.0,False,0.04307603693343176,,,0.009686604958323434,23.616234524787405
2021-04-14,70.18000030517578,72.19999694824219,68.62999725341797,68.7300033569336,1540600,0.0,0.0,False,0.9715998742539131,,,0.005985074034969553,23.59635491283875
2021-04-15,70.3499984741211,70.58999633789062,67.4800033569336,68.66999816894531,1222600,0.0,0.0,False,-0.991679890064653,1.278677260346181,0.056502975954198675,0.004749676434605852,23.595481474830937
2021-04-16,70.0,70.13999938964844,67.18000030517578,69.72000122070312,1315300,0.0,0.0,False,-0.8203558996724474,0.9735146612980186,0.05066537078853313,0.0051098064898062135,23.610656317023373
2021-04-19,68.5,69.55999755859375,65.16000366210938,66.0199966430664,1948300,0.0,0.0,False,-1.4818878473189205,1.0142995375525392,0.05089859922528547,0.007568946996190562,23.556126754440726
2021-04-20,65.41000366210938,67.19000244140625,63.02399826049805,65.0,1855200,0.0,0.0,False,-4.196171096790917,1.0078509122416255,0.05060294695064956,0.00720726298174446,23.54055634875854
2021-04-21,64.47000122070312,67.63999938964844,63.790000915527344,67.55000305175781,1160400,0.0,0.0,False,-1.8256970553619851,0.9394657464963461,0.05072482794057955,0.0045080357718932035,23.579037188446872
2021-04-22,67.7300033569336,70.37000274658203,67.0999984741211,68.62000274658203,1309800,0.0,0.0,False,-0.565013266291962,0.9513199861094256,0.05063793488744495,0.0050884395501772815,23.594753156319175
2021-04-23,68.6500015258789,74.5999984741211,68.6500015258789,74.12000274658203,2585200,0.0,0.0,False,1.215247149062533,0.9314440853392588,0.049999115529282025,0.010202293661254806,23.656141586064546
2021-04-26,74.5,78.76000213623047,73.69999694824219,77.97000122070312,2272900,0.0,0.0,False,3.815731180264027,0.8657701769356737,0.05004490475189065,0.009688777158926739,23.629678317355882
2021-04-27,78.19000244140625,78.3499984741211,74.72000122070312,76.37000274658203,959100,0.0,0.0,False,2.2519861738998928,0.8642035814438833,0.05002971224138372,0.0037260057814742947,23.701759063727344
2021-04-28,75.30999755859375,77.70800018310547,75.30999755859375,77.20999908447266,1145100,0.0,0.0,False,3.219525870008488,0.8299932850207625,0.04981639490375752,0.004448596830743629,23.712698049326
2021-04-29,78.88999938964844,79.30000305175781,72.80000305175781,74.0199966430664,1886800,0.0,0.0,False,1.8618038899214033,0.8382650052496688,0.04960594181338376,0.00733002576215796,23.670504360469202
2021-04-30,72.62999725341797,74.29499816894531,70.2300033569336,70.5,1764900,0.0,0.0,False,0.24718052386989284,0.8600925195152408,0.049910119081653506,0.006856456682018541,23.621781788681126
2021-05-03,71.69999694824219,71.75,66.30999755859375,66.77999877929688,1534000,0.0,0.0,False,0.25457180525475614,0.9363630610503615,0.04907584583759102,0.005959433707414834,23.56757269509894
2021-05-04,65.7699966430664,66.0,60.130001068115234,62.16999816894531,4054400,0.0,0.0,False,-0.8638198904793386,0.9910766997472386,0.04915976939427002,0.015750930914825753,23.496041617691766
2021-05-05,62.86000061035156,63.70000076293945,55.84999847412109,57.59999847412109,4970400,0.0,0.0,False,-2.811015122943606,0.9690580120366193,0.04982938859652093,0.019309497587571507,23.419691620073795
2021-05-06,57.81999969482422,57.90999984741211,52.47999954223633,54.43999862670898,3879500,0.0,0.0,False,-3.9278923363758365,0.9729174959930772,0.05014552271591024,0.015071462234625717,23.363268231420395
2021-05-07,57.040000915527344,58.70199966430664,53.77999877929688,54.0,3332300,0.0,0.0,False,-6.894223433432064,0.9555428468543237,0.04989392787008248,0.012945645986452708,23.355153125427176
2021-05-10,52.650001525878906,57.66999816894531,52.130001068115234,57.0,5777300,0.0,0.0,False,-6.686720728067143,0.1265583794109686,0.043982857501757414,0.02244422187604154,23.409220346697452
2021-05-11,49.880001068115234,55.900001525878906,46.5,55.45000076293945,7339300,0.0,0.0,False,-6.831181229316545,0.14269571708841258,0.04286689563075468,0.028512432730658212,23.38165080641833
