,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,47.89329173644138,48.07860835463103,47.22067462408024,47.83838272094727,6841700,0.0,0.0,False,,,,,
2010-09-08,48.030568885266376,49.06008946074319,48.0099740751704,48.552188873291016,6323200,0.0,0.0,False,,,,,
2010-09-09,49.11499672913049,49.30031337825295,48.051161867520754,48.48355865478516,5355900,0.0,0.0,False,,,,,
2010-09-10,48.682588573548806,49.1149852598403,48.29823596351192,48.90908432006836,5018300,0.0,0.0,False,,,,,
2010-09-13,49.38956107325132,49.74646467386022,49.21797421353196,49.58173751831055,7694600,0.0,0.0,False,,,,,
2010-09-14,49.60916229525816,49.67093625064933,49.1218565342462,49.30030822753906,6040400,0.0,0.0,False,,,,,
2010-09-15,48.991461369988855,49.60230996056074,48.59338397269545,49.50622177124024,5506100,0.0,0.0,False,,,,,
2010-09-16,49.36208697212229,49.65721646325861,48.92282520434916,49.41699600219727,6233000,0.0,0.0,False,,,,,
2010-09-17,49.56799032139698,50.31610617592056,48.79241471702653,50.22688293457031,11341800,0.0,0.0,False,,,,,
2010-09-20,50.281776477749005,51.33875135561049,50.02096129864895,51.3044319152832,8886300,0.0,0.0,False,,,,,
2010-09-21,51.33189568099822,52.92422060220223,51.28385159771927,52.43004989624024,14968300,0.0,0.0,False,9.609069629860256,,,,
2010-09-22,52.33395945594745,52.50554620826203,51.819199199003705,52.28591537475586,8386100,0.0,0.0,False,7.374691581868201,,,,
2010-09-23,51.76429369208373,53.19189682489739,51.476029185384576,52.34082794189453,8745800,0.0,0.0,False,7.78366313207088,,,,
2010-09-24,53.39780029713587,54.85971756590249,53.27425762397164,54.722450256347656,14218600,0.0,0.0,False,7.54946128626396,,,,
2010-09-27,54.701857635075925,54.89403920711655,54.15278313848281,54.592044830322266,8361900,0.0,0.0,False,6.201756619247199,,,,
2010-09-28,54.52342511443232,54.86659872620712,53.83021295245138,54.68128204345703,7784800,0.0,0.0,False,6.963012821879588,,,,
2010-09-29,54.63325342321893,54.90779343769043,54.50971067852752,54.90092849731445,7939900,0.0,0.0,False,6.948525386783431,,,,
2010-09-30,54.935237074146265,54.96269159379322,53.67922029147269,54.00180435180664,11940800,0.0,0.0,False,5.294721012254242,,,,
2010-10-01,53.734132665271744,54.13907507326131,53.21250723243823,53.68608856201172,8540800,0.0,0.0,False,3.8487594028811505,,,,
2010-10-04,53.54878731771113,53.713514357720136,52.51240718214936,53.034027099609375,6418700,0.0,0.0,False,1.873275862925821,,,,
2010-10-05,53.8645334782176,54.74305710398683,53.67235185321846,54.4959716796875,7140300,0.0,0.0,False,2.1057828019263733,,,,
2010-10-06,54.633215703348206,54.83912188114387,53.86451047725584,54.27631759643555,6252200,0.0,0.0,False,2.028342726657919,,,,
2010-10-07,54.53716259329668,54.76365848712601,53.43214288433965,54.0429916381836,8978100,0.0,0.0,False,1.7176250752984374,,,,
2010-10-08,54.50283143392339,55.5941209237633,54.17338248739032,55.16172409057617,14296600,0.0,0.0,False,0.5858438571483151,,,,
2010-10-11,54.928334279165504,55.42250481940572,54.57143624255346,54.894020080566406,4593700,0.0,0.0,False,0.40113653000250615,,,,
2010-10-12,54.73618542468247,54.73618542468247,53.74098414788989,54.45478057861328,10034200,0.0,0.0,False,-0.2948959222595799,,,,
2010-10-13,55.15486324897658,55.72453270070036,54.96268686439838,55.10681915283203,8493200,0.0,0.0,False,0.2579849385590646,,,,
2010-10-14,55.244085704621256,55.47744647996135,54.40674126698892,54.84600830078125,5663900,0.0,0.0,False,1.1610840708270458,,,,
2010-10-15,55.099938624483016,55.23034623558385,54.22141526560051,54.736175537109375,6522900,0.0,0.0,False,1.4728292165074945,,,,
2010-10-18,54.87346460532264,55.2578226545389,54.674428496131895,55.07250595092773,6542700,0.0,0.0,False,3.1150519271663826,,,,
2010-10-19,54.20084700612209,54.70874254086996,53.3772271059861,53.91258239746094,9857200,0.0,0.0,False,-0.9303428731814473,,,,
2010-10-20,54.1527990507979,55.44312999517695,54.09102507538715,55.12741088867188,9662300,0.0,0.0,False,1.1523296692575506,,,,
2010-10-21,55.89343897119048,56.03836515123215,53.49179760870539,54.44417190551758,17736900,0.44,0.0,False,0.5217754536436576,,,,
2010-10-22,54.35446005220261,54.45798026201738,53.73334405857057,54.05770492553711,6445800,0.0,0.0,False,-1.5976112931133708,,,,
2010-10-25,54.319949794961694,55.21021514602207,54.17502361203416,54.554595947265625,6484700,0.0,0.0,False,-0.4776131111462456,,,,
2010-10-26,53.90588336186564,54.56150267163281,53.74025416265472,54.2785530090332,6240500,0.0,0.0,False,-0.25301943984364483,,,,
2010-10-27,53.96798694666242,54.1129184049104,53.22265299203013,53.98179244995117,6782800,0.0,0.0,False,-1.6859334568451307,,,,
2010-10-28,54.43037178423207,54.52008648675597,52.98800220126942,53.6505241394043,7055800,0.0,0.0,False,-1.7936201655236312,,,,
2010-10-29,53.560801361091976,54.34754637308186,53.54009837634312,54.24402618408203,4563900,0.0,0.0,False,-0.6996769214851569,,,,
2010-11-01,54.499366744637626,55.33442034532141,54.18190874261976,54.70640182495117,7470500,0.0,0.0,False,-0.5107670525040998,,,,
2010-11-02,55.20331457198552,55.506972452146464,54.87895370276935,55.03768539428711,4941400,0.0,0.0,False,1.908519165737642,,,,
2010-11-03,55.0860010906275,55.175715809632,54.20954109648413,55.12740707397461,5771800,0.0,0.0,False,-8.364236188833387e-06,,,,
2010-11-04,55.77609553618126,57.47380828639861,55.734689577598,57.4047966003418,13044100,0.0,0.0,False,3.7652017665307156,,,,
2010-11-05,57.4531216451875,57.86029439438924,57.23228102785226,57.65325927734375,6271600,0.0,0.0,False,4.826599609882257,,,,
2010-11-08,57.45313710880652,57.660177546832976,56.86652955474099,57.36342239379883,4283800,0.0,0.0,False,3.6247741092394024,,,,
2010-11-09,57.41864174509492,57.60497923498357,56.183317382204336,56.52838134765625,6030100,0.0,0.0,False,2.719759417354569,,,,
2010-11-10,56.70089331974664,57.1701750924964,56.10738308740777,56.90792846679688,5944000,0.0,0.0,False,3.6462238924319688,,,,
2010-11-11,56.40414444111256,57.04596347193196,56.25921297731661,56.894134521484375,5006000,0.0,0.0,False,4.178146132155599,,,,
2010-11-12,56.4800546893692,56.95624453993472,55.23782785108886,55.927955627441406,6156900,0.0,0.0,False,1.9388686906476305,,,,
2010-11-15,55.134293452763615,57.68086597748774,55.07218449618777,56.46623992919922,15814200,0.0,0.0,False,2.003566200597449,,,,
2010-11-16,56.507657642337314,56.71469807112384,55.00317895355815,55.46556854248047,12510000,0.0,0.0,False,0.44908800980085867,,,,
2010-11-17,55.59669510396678,56.21090843823373,55.217127964786215,56.01767349243164,5402900,0.0,0.0,False,0.9202619425263854,,,,
2010-11-18,56.93555458932267,57.57737377893992,56.77682284769334,57.35653305053711,6638700,0.0,0.0,False,-0.061786759185708376,,,,
2010-11-19,57.34270413231975,57.95692258722412,56.94243409537076,57.95001983642578,5740500,0.0,0.0,False,0.36901039368298927,,,,
2010-11-22,57.88789736707259,58.212258160078605,57.135660860105766,57.9707145690918,6411200,0.0,0.0,False,0.7665523888575789,,,,
2010-11-23,57.47383353552138,57.54284525189608,56.59737368052418,57.02524948120117,5739200,0.0,0.0,False,0.6259879320366695,,,,
2010-11-24,57.45314788187691,58.51594548353479,57.45314788187691,58.44693374633789,5865900,0.0,0.0,False,1.6981477305723371,,,,
2010-11-26,57.85340871886714,58.14326110105053,57.59115681238594,58.06044387817383,2520700,0.0,0.0,False,1.266556473035901,,,,
