,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2019-06-14,36.0,41.34000015258789,32.7400016784668,34.9900016784668,69671400,0.0,0.0,False,,,,,
2019-06-17,34.720001220703125,35.36000061035156,32.66999816894531,33.70000076293945,15403000,0.0,0.0,False,,,,0.3702644230769231,21.06110858522896
2019-06-18,34.5,37.470001220703125,34.349998474121094,37.36000061035156,11022800,0.0,0.0,False,,,,0.26497115384615383,21.164211354929165
2019-06-19,37.59999847412109,37.630001068115234,34.25,34.900001525878906,11163600,0.0,0.0,False,,,,0.2683557692307692,21.096097598161332
2019-06-20,35.11000061035156,35.54999923706055,33.599998474121094,34.22999954223633,7901000,0.0,0.0,False,,,,0.18992788461538462,21.076713164400413
2019-06-21,33.4900016784668,34.0,31.200000762939453,32.279998779296875,9277700,0.0,0.0,False,,,,0.02327571500250878,23.277916771328634
2019-06-24,31.8799991607666,32.869998931884766,30.790000915527344,31.530000686645508,3680400,0.0,0.0,False,,,,0.009233316608128449,23.254408461077468
2019-06-25,32.0,32.560001373291016,30.78499984741211,31.799999237060547,3232900,0.0,0.0,False,,,,0.008110637230306071,23.26293523153729
2019-06-26,32.400001525878906,32.779998779296875,31.73500061035156,32.369998931884766,2124600,0.0,0.0,False,,,,0.005330155544405419,23.280701000684047
2019-06-27,32.41999816894531,33.400001525878906,32.36800003051758,33.310001373291016,1559900,0.0,0.0,False,,,,0.003913447064726543,23.309326659176147
2019-06-28,33.400001525878906,35.400001525878906,33.349998474121094,35.0,5280600,0.0,0.0,False,0.0053746574355957736,,,0.013247867536377321,23.358817027232384
2019-07-01,35.0,35.15999984741211,33.04999923706055,33.650001525878906,2549000,0.0,0.0,False,-0.027833791738696604,,,0.006394882087305569,23.319482067179287
2019-07-02,33.619998931884766,33.619998931884766,32.5,33.0099983215332,1194800,0.0,0.0,False,-3.0884207676689344,,,0.002997491219267436,23.300279460760848
2019-07-03,33.0,34.310001373291016,33.0,33.81999969482422,1191400,0.0,0.0,False,-0.9125940319390833,,,0.0029889613647767184,23.324521300189872
2019-07-05,33.529998779296875,34.58000183105469,33.220001220703125,34.27000045776367,1889100,0.0,0.0,False,0.03467536030815838,,,0.00485563673547073,23.31349646776993
