,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,24.834174608631084,24.902361741444413,24.361400630324944,24.39322280883789,11082404,0.0,0.0,False,,,,,
2010-09-08,24.465953401563795,24.91145018155867,24.465953401563795,24.693246841430664,7869303,0.0,0.0,False,,,,,
2010-09-09,24.993264363846684,25.184192775984787,24.865980272287143,24.87961769104004,7592384,0.0,0.0,False,,,,,
2010-09-10,25.102379414546316,25.13874664227112,24.85690119610388,24.88872337341309,7317039,0.0,0.0,False,,,,,
2010-09-13,25.125107121028197,25.306943244488806,24.993275647169277,25.175111770629883,9470344,0.0,0.0,False,,,,,
2010-09-14,25.07056105981767,25.32967672030392,24.94782194301892,25.17057037353516,7607076,0.0,0.0,False,,,,,
2010-09-15,25.03418675208892,25.28875501510633,24.87962549971448,25.256935119628903,8696256,0.0,0.0,False,,,,,
2010-09-16,25.20238475434796,25.39785828824437,25.043278442450863,25.166017532348636,9146069,0.0,0.0,False,,,,,
2010-09-17,25.22056914491855,25.343308233074897,25.034187987866247,25.125104904174805,11456002,0.0,0.0,False,,,,,
2010-09-20,25.252393295649057,25.98882794863713,25.14783893802236,25.834266662597656,10200618,0.0,0.0,False,,,,,
2010-09-21,25.87516488067706,25.92971455025434,25.593319613331165,25.693328857421875,11109820,0.0,0.0,False,5.2748831502301785,,,,
2010-09-22,25.738792888746897,25.902444200614397,25.44785520116116,25.48422241210937,7976083,0.0,0.0,False,3.028730369452739,,,,
2010-09-23,25.234214161808385,25.44787023056417,25.00237333943917,25.10238265991211,9025647,0.0,0.0,False,0.7543371061987856,,,,
2010-09-24,25.279670983541617,25.71607544973912,25.1614769224881,25.6206111907959,10187762,0.0,0.0,False,2.1957419314399087,,,,
2010-09-27,25.693339386234648,25.816078467879034,25.46149864592864,25.57514762878418,7671878,0.0,0.0,False,1.2121793101239944,,,,
2010-09-28,25.68425699329021,26.0842942890338,25.497875773700542,25.952465057373047,12702335,0.0,0.0,False,2.2652529061089286,,,,
2010-09-29,25.92518517040146,26.22975813427176,25.75244141261236,26.075199127197266,11712195,0.0,0.0,False,2.3609430658822124,,,,
2010-09-30,26.31612656677417,26.36158616280731,25.85699238115821,26.10701560974121,12823675,0.0,0.0,False,2.7621147213657737,,,,
2010-10-01,26.3524948821666,26.40704685462999,26.066104419832925,26.302490234375,15865325,0.0,0.0,False,3.4864391799225722,,,,
2010-10-04,26.1706628782093,26.28431189086896,25.8206302886578,26.029741287231445,10609503,0.0,0.0,False,0.6698449952009161,,,,
2010-10-05,26.24338636621124,26.757072409343145,26.216111524494305,26.725250244140625,16587204,0.0,0.0,False,2.942414531723983,,,,
2010-10-06,26.73888622119035,27.138925552368164,26.7297961243083,27.138925552368164,14564028,0.0,0.0,False,4.863556427391072,,,,
2010-10-07,27.270768283314496,27.275315608818666,26.88891350537261,27.143484115600582,11241393,0.0,0.0,False,7.152817925476543,,,,
2010-10-08,27.161660716327138,27.24803258461644,26.97982688030731,27.098018646240234,11496930,0.0,0.0,False,5.35734035859628,,,,
2010-10-11,27.13438430879599,27.270760815372157,27.05710481918939,27.17984390258789,7791120,0.0,0.0,False,5.976451699963895,,,,
2010-10-12,27.06619874859661,27.193482888770426,26.77071592156481,27.098018646240234,11014322,0.0,0.0,False,4.250829089279832,,,,
2010-10-13,27.248037462542147,27.498063012728224,27.21167250866788,27.33441162109375,13165790,0.0,0.0,False,4.609976037664711,,,,
