,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,51.16787613786853,51.24273655706432,50.38931521296784,50.658817291259766,3922300,0.0,0.0,False,,,,,
2010-09-08,50.78608217435926,51.41492228067136,50.76362461904169,50.973236083984375,3219000,0.0,0.0,False,,,,,
2010-09-09,51.63201690441018,51.65447445772835,50.30696414380289,50.41176986694336,3211300,0.0,0.0,False,,,,,
2010-09-10,50.56897493893382,51.22026671229378,50.24707007329663,50.76361083984375,2868000,0.0,0.0,False,,,,,
2010-09-13,51.51223764456963,52.38812223791357,51.362516809057794,52.23839569091797,4380900,0.0,0.0,False,,,,,
2010-09-14,52.17101819966052,52.987006387198136,51.84911329276879,52.42554473876953,4381800,0.0,0.0,False,,,,,
2010-09-15,52.14856022071459,52.82230962412756,51.91648552412174,52.448001861572266,3740100,0.0,0.0,False,,,,,
2010-09-16,52.49292486361978,52.85225713221121,52.08118402306353,52.13358688354492,2627700,0.0,0.0,False,,,,,
2010-09-17,52.560322713559714,54.25219628089434,52.19350251437847,54.23722076416016,6501600,0.0,0.0,False,,,,,
2010-09-20,54.43182815022994,55.17295583924549,54.08746573198552,55.10558319091797,4694000,0.0,0.0,False,,,,,
2010-09-21,54.92591944694358,55.11307331565971,54.09495581292534,54.67887496948242,5821300,0.0,0.0,False,4.819664574778342,,,,
2010-09-22,54.70133666995054,54.7986546329324,53.788024807487794,53.960208892822266,4396100,0.0,0.0,False,3.299958784909513,,,,
2010-09-23,53.52602964135953,54.32704831802256,52.78490159938736,53.29396057128906,3911500,0.0,0.0,False,3.19358706456065,,,,
2010-09-24,53.81796346940481,54.641439310262506,53.81796346940481,54.379425048828125,3830800,0.0,0.0,False,3.850606622067234,,,,
2010-09-27,54.53665096714611,54.60402934809738,53.82546835806832,53.975189208984375,2731400,0.0,0.0,False,1.9293548914917231,,,,
2010-09-28,54.07290991907583,54.11801269354323,52.94529467460909,53.81731414794922,4666400,0.3,0.0,False,1.5303320029511849,,,,
2010-09-29,53.57675460208108,54.34353615354381,53.26102372105408,53.92256164550781,3121300,0.0,0.0,False,1.6221727354558948,,,,
2010-09-30,54.1856735919731,54.34353904087416,52.18603310186404,52.456661224365234,6941400,0.0,0.0,False,0.3149257016946546,,,,
2010-10-01,51.983063073342,52.35893481539748,51.434287806388056,51.54705047607422,8339400,0.0,0.0,False,-3.3995679122852924,,,,
2010-10-04,51.34409420554744,51.75754977680182,50.87049202973835,51.58465194702149,4385500,0.0,0.0,False,-4.974936530125987,,,,
2010-10-05,52.1860230029089,54.042830031441625,52.1860230029089,53.59930419921875,4774300,0.0,0.0,False,-1.0249148187159536,,,,
2010-10-06,53.448966684684166,54.52396021929371,53.448966684684166,54.09546661376953,3651000,0.0,0.0,False,0.13121299081576987,,,,
2010-10-07,54.44876942028528,54.50139122377714,53.26101358678741,54.05034637451172,2694300,0.0,0.0,False,0.7635019245834184,,,,
2010-10-08,55.71170347388151,57.756446426362906,55.71170347388151,56.64386367797852,10645300,0.0,0.0,False,1.7966209879390012,,,,
2010-10-11,57.20765881695489,57.26028061378918,55.98231941333034,56.6137809753418,3279000,0.0,0.0,False,2.1357061885898116,,,,
2010-10-12,56.523571742368006,56.79419974696689,55.538784272998896,56.12514877319336,4244100,0.0,0.0,False,1.8500875098436722,,,,
2010-10-13,56.75662438811808,57.13249607280761,56.561169506182445,56.59123992919922,4168000,0.0,0.0,False,2.134156615026381,,,,
2010-10-14,56.52357750429757,56.92200051408687,55.77934754811229,56.44839859008789,3280900,0.0,0.0,False,3.705328808458456,,,,
2010-10-15,57.17009629867349,57.36554548205907,56.58373154247327,57.25278854370117,5321200,0.0,0.0,False,5.9434391161532565,,,,
2010-10-18,57.222722986601,57.60610808035248,56.87692163038585,57.17010116577149,3132100,0.0,0.0,False,5.7700501018182555,,,,
