,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,37.95518891569032,38.06492458727055,37.8454557064835,37.89064025878906,5625100,0.0,0.0,False,,,,,
2010-09-08,37.709908809352456,38.10366211491546,37.709908809352456,37.98747253417969,8412500,0.0,0.0,False,,,,,
2010-09-09,38.33604555813655,38.74916301917189,38.252130304371775,38.61360931396485,14077700,0.0,0.0,False,,,,,
2010-09-10,38.69106415884058,38.729794840135376,38.58133092206641,38.71688461303711,8358800,0.0,0.0,False,,,,,
2010-09-13,38.76853515099933,38.97509391112981,38.67816353886442,38.93636322021485,10706600,0.0,0.0,False,,,,,
2010-09-14,39.007357727056,39.35592646408295,38.89116814804702,39.10418319702149,9912900,0.0,0.0,False,,,,,
2010-09-15,39.16227667848827,39.47211720656098,39.05254344084198,39.40756607055664,9111500,0.0,0.0,False,,,,,
2010-09-16,39.25909299925585,39.62702577039915,39.22036232668211,39.562477111816406,10496300,0.0,0.0,False,,,,,
2010-09-17,39.756135325021816,39.84005057171092,39.45920748273616,39.74322509765625,12240600,0.0,0.0,False,,,,,
2010-09-20,39.79486650627327,40.16925325507422,39.70449491358079,40.07888412475586,10991500,0.0,0.0,False,,,,,
2010-09-21,39.93042102995286,40.16925408822993,39.891690346567046,39.982059478759766,9449200,0.0,0.0,False,11.205314811082676,,,,
2010-09-22,40.00786531834104,40.34352373127,39.95622688839912,40.00141143798828,9353300,0.0,0.0,False,10.396857323889579,,,,
2010-09-23,39.78196559980534,40.02079870908821,39.7432349081481,39.89815521240234,8393800,0.0,0.0,False,8.73379938456126,,,,
2010-09-24,40.007865696298445,40.278975458767874,39.911042715852666,40.11114501953125,12636900,0.0,0.0,False,9.342904348090894,,,,
2010-09-27,40.1628032603117,40.22735194182346,39.97560863660348,40.040157318115234,7687600,0.0,0.0,False,6.898152559290149,,,,
2010-09-28,39.99495953832555,40.408076873247474,39.82067520096032,40.29834365844727,12132800,0.0,0.0,False,7.185854306546723,,,,
2010-09-29,40.22089385986328,40.37581166426901,40.10470427537193,40.22089385986328,9590000,0.0,0.0,False,4.970764888072159,,,,
2010-09-30,40.33709482587601,40.47264855857241,39.73032627735436,39.99497985839844,12845600,0.0,0.0,False,2.3113653673079457,,,,
2010-10-01,40.07887440758686,40.18215374039253,39.74321596037506,39.859405517578125,9773200,0.0,0.0,False,0.6153800046382193,,,,
2010-10-04,39.72385699950049,40.00787458590508,39.5689367490419,39.80776977539063,8703600,0.0,0.0,False,-1.780973619800892,,,,
2010-10-05,40.07243733693628,40.627562444657904,40.02725030140269,40.53719329833984,12439400,0.0,0.0,False,1.9754185618508597,,,,
2010-10-06,40.59528680487112,40.8341198928522,40.34354348748911,40.80184555053711,11339800,0.0,0.0,False,2.779642080335532,,,,
2010-10-07,40.85347695010496,40.98903063367177,40.666282360965695,40.808292388916016,9826600,0.0,0.0,False,3.2331321839457083,,,,
2010-10-08,40.91157997233432,40.91803385564295,40.68565465854167,40.814754486083984,7354800,0.0,0.0,False,2.5073657661089075,,,,
2010-10-11,40.83410768002413,40.86638447506023,40.69210012383501,40.85992813110352,6172100,0.0,0.0,False,2.970218683624667,,,,
2010-10-12,40.75019812792174,40.950300483666,40.64691877781615,40.853477478027344,8707400,0.0,0.0,False,2.0440104428148156,,,,
2010-10-13,40.94383541659234,41.17621450644243,40.85346631773359,41.0406608581543,10104700,0.0,0.0,False,3.042881654138483,,,,
2010-10-14,41.17622956891524,41.18268345160604,40.91802993854814,41.14395523071289,8632700,0.0,0.0,False,4.682434270006202,,,,
2010-10-15,41.29886365802015,41.31177388284337,40.75664652731288,41.034210205078125,13265100,0.0,0.0,False,4.86577884309911,,,,
2010-10-18,41.11168076242632,41.29887538194343,40.82766312280936,41.22141647338867,10814100,0.0,0.0,False,6.034710845544604,,,,
2010-10-19,40.59527787157638,41.09876439554443,40.343534609592346,40.853477478027344,17235400,0.0,0.0,False,1.7812943350675479,,,,
2010-10-20,40.872850580326606,41.33115264336644,40.705022522866415,41.0535888671875,10206800,0.0,0.0,False,1.4803572490214882,,,,
