,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2010-09-07,18.87980024298465,18.99788572114213,18.451740604614702,18.4987907409668,10815000,0.0,0.0,False,,,,,
2010-09-08,18.40655229452157,18.6076667718163,17.926830172426463,17.93421173095703,21383000,0.0,0.0,False,,,,,
2010-09-09,18.174993358320243,18.18145112175722,17.63899723344237,17.710954666137695,21207000,0.0,0.0,False,,,,,
2010-09-10,17.78014603924265,18.29215518144772,17.75523702032013,18.279239654541016,14930000,0.0,0.0,False,,,,,
2010-09-13,18.143628678394904,18.14639654298984,17.620548019779655,17.807823181152344,39157000,0.0,0.0,False,,,,,
2010-09-14,17.838262838197913,18.566147672896257,17.827191382979723,18.42776679992676,22223000,0.0,0.0,False,,,,,
2010-09-15,18.83460904487604,19.652902615689,18.832763215660712,19.38997840881348,45712000,0.0,0.0,False,,,,,
2010-09-16,19.437951955744836,19.68519279000209,19.21193024069209,19.400127410888672,21782000,0.0,0.0,False,,,,,
2010-09-17,19.511759741529097,19.774684027551565,19.369688916259367,19.711952209472656,18033000,0.0,0.0,False,,,,,
2010-09-20,19.74238516203127,20.176902770996094,19.513595646074226,20.176902770996094,17232000,0.0,0.0,False,,,,,
2010-09-21,20.14554163463616,20.24425391359255,19.80604628396522,20.018230438232425,17864000,0.0,0.0,False,2.9637105959058068,,,,
2010-09-22,19.949963959096024,20.285769428403263,19.75346318528983,20.206430435180664,13085000,0.0,0.0,False,5.245670409019862,,,,
2010-09-23,20.030216411035816,20.58927726389948,20.030216411035816,20.24332427978516,18314000,0.0,0.0,False,6.23819651053545,,,,
2010-09-24,20.415833489164847,20.57266554440123,20.25900143392846,20.44074249267578,11947000,0.0,0.0,False,5.375419262059542,,,,
2010-09-27,20.388165698131527,20.71105554648633,20.37063648210921,20.51455307006836,9131000,0.0,0.0,False,8.4050909265444,,,,
2010-09-28,20.537613315488866,20.60957247897799,20.32819710508828,20.57266998291016,9990000,0.0,0.0,False,6.904510076137753,,,,
2010-09-29,20.51363468429268,20.67600255180667,20.438909393263508,20.538543701171875,11578000,0.0,0.0,False,6.488482522531595,,,,
2010-09-30,20.647404790464687,20.877116404503848,20.550536581586123,20.66493225097656,12062000,0.0,0.0,False,7.293626190828595,,,,
2010-10-01,20.75718611693257,20.84944062937396,20.54500197004329,20.73689079284668,9572000,0.0,0.0,False,6.2773977728131936,,,,
2010-10-04,20.8107004727322,20.956461204490125,20.203667036425824,20.53947257995605,14600000,0.0,0.0,False,2.763074261816822,,,,
2010-10-05,20.85128156350241,21.03302269693322,20.68983751071375,20.840211868286133,12251000,0.0,0.0,False,6.1480924239999295,,,,
2010-10-06,20.84482426459013,20.84482426459013,20.456434734959316,20.600351333618164,8055000,0.0,0.0,False,2.446899650703416,,,,
2010-10-07,20.74067174441577,20.77113695196437,20.37971661283373,20.38894844055176,5982000,0.015,0.0,False,0.8121809220052361,,,,
2010-10-08,20.412025978856697,20.591119552750776,20.24493395639865,20.54865455627441,8618000,0.0,0.0,False,0.6096753767548208,,,,
2010-10-11,20.52280547411717,20.700051972466063,20.41110265770245,20.57357788085937,4560000,0.0,0.0,False,0.33462768488834826,,,,
2010-10-12,20.460956525326715,20.555120122131708,20.30955840751969,20.50619125366211,6982000,0.0,0.0,False,-0.37500825395063325,,,,
2010-10-13,20.586511832437896,21.362892466599806,20.56989524047463,21.31488800048828,18800000,0.0,0.0,False,2.4889744702289933,,,,
2010-10-14,21.308417360238035,21.63429224555181,21.164404019583653,21.47827911376953,19475000,0.0,0.0,False,2.5859850027358102,,,,
