,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,MOM_vol_adj,Skewness,Volatility,Liquidity,Market_Cap
2012-05-18,41.82056919571728,44.75447438649778,37.79266725970924,38.02141189575195,573576400,0.0,0.0,False,,,,,
2012-05-21,36.33068564559697,36.45997740845253,32.81994706729023,33.84432601928711,168192700,0.0,0.0,False,,,,,
2012-05-22,32.432074377975134,33.40672686032133,30.77118613290112,30.83085823059082,101786600,0.0,0.0,False,,,,,
2012-05-23,31.19884142238959,32.32267513871193,31.18889575625235,31.825403213500977,73600000,0.0,0.0,False,,,,,
2012-05-24,32.77022330935532,33.02880306229675,31.59666116640052,32.84978485107422,50237200,0.0,0.0,False,,,,,
2012-05-25,32.720495270403944,32.77022170578045,30.940260809184828,31.73589515686035,37149800,0.0,0.0,False,,,,,
2012-05-29,31.308241047343717,31.517096249622256,28.493681928418795,28.68264579772949,78063400,0.0,0.0,False,,,,,
2012-05-30,28.54341147831949,29.38877229914956,27.707994427455564,28.03619384765625,57267900,0.0,0.0,False,,,,,
2012-05-31,28.39422539090826,29.508115307441717,26.683610698064467,29.43849754333496,111639200,0.0,0.0,False,,,,,
2012-06-01,28.73237253726145,28.99095417775408,27.240556693840745,27.568756103515625,41855500,0.0,0.0,False,,,,,
2012-06-04,27.051593433905555,27.499137027498094,26.295739881526288,26.75322914123535,35230300,0.0,0.0,False,-5.1768199402400334,,,,
2012-06-05,26.55432267276678,27.60853866704736,25.60950521667576,25.72885131835937,42473400,0.0,0.0,False,-4.732352818218429,,,,
2012-06-06,25.927756980999643,27.021755558046664,25.380758640947025,26.663719177246094,61489200,0.0,0.0,False,-2.7710395194560387,,,,
2012-06-07,26.852684392081,27.20077512470006,26.00732172627526,26.16644859313965,26159500,0.0,0.0,False,-3.8594454924937893,,,,
2012-06-08,26.40513864130933,27.60853769454035,26.295740106973323,26.95213890075684,38034000,0.0,0.0,False,-3.9188682208596974,,,,
2012-06-11,27.03170146286935,27.916844859962364,26.69355641066581,26.862628936767575,28219600,0.0,0.0,False,-3.360088251993292,,,,
2012-06-12,27.33006315341954,27.61848176578997,26.812899922443314,27.2504997253418,15816800,0.0,0.0,False,-1.3690719086538943,,,,
2012-06-13,27.509083510975056,27.946683348395048,26.95213947049445,27.121212005615234,17102800,0.0,0.0,False,-0.9084906593557072,,,,
2012-06-14,27.49913745725629,28.16548192194235,27.230610158739097,28.13564682006836,16855000,0.0,0.0,False,-1.3002487831694465,,,,
2012-06-15,28.354446162562123,29.93577107884001,28.195319293988167,29.84626197814941,43563800,0.0,0.0,False,2.5379618717834957,,,,
2012-06-18,29.796533301570165,31.904969028148347,29.249534934290303,31.238622665405277,42978900,0.0,0.0,False,5.311013127403169,,,,
2012-06-19,31.36791498241364,32.00442246055406,30.532497968883384,31.73589515686035,30849000,0.0,0.0,False,9.260668867553296,,,,
2012-06-20,31.745839325864743,31.755784991859286,30.980040116761295,31.42758560180664,15553600,0.0,0.0,False,6.773637801902663,,,,
2012-06-21,31.4972025010379,32.32267378647639,31.338075643382897,31.666275024414062,21875300,0.0,0.0,False,8.902853675625769,,,,
2012-06-22,32.23316346159525,33.26748989381454,31.885074659350007,32.86967086791992,74834000,0.0,0.0,False,9.097903044963527,,,,
2012-06-25,32.68070887228962,32.839835723651845,31.377855168466603,31.88507461547852,24352900,0.0,0.0,False,6.638829354911179,,,,
2012-06-26,32.511632675409544,33.25754046161039,32.32267073536995,32.919395446777344,24858700,0.0,0.0,False,7.297067422391364,,,,
2012-06-27,32.28289042882678,32.720492123373006,31.725946439020344,32.05414581298828,28568000,0.0,0.0,False,5.82529647825216,,,,
2012-06-28,31.785620979990952,32.01436561342391,30.731405015391424,31.18889617919922,17713300,0.0,0.0,False,3.2694582125933267,,,,
2012-06-29,31.74584265264555,31.81546042496107,30.59217183356599,30.930316925048828,19526900,0.0,0.0,False,1.2745605962833877,,,,
2012-07-02,31.079498175156463,31.556878811860784,30.38331665725615,30.60211753845215,14122000,0.0,0.0,False,-0.8343047890938851,,,,
2012-07-03,30.74135126096028,31.26846020166394,30.63195082684735,31.029769897460938,8763600,0.0,0.0,False,-0.9166622140366861,,,,
2012-07-05,31.14911476852579,31.457422847609735,30.850752356114487,31.298295974731445,10032100,0.0,0.0,False,-0.1691717837883395,,,,
2012-07-06,31.268462284805693,31.72595159077111,31.08944407049156,31.5568790435791,10945600,0.0,0.0,False,-0.14191960647587987,,,,
2012-07-09,31.92485854696305,32.70060539005411,31.815460004886823,31.99447631835937,17785200,0.0,0.0,False,-1.2600150869028812,,,,
2012-07-10,32.25305910894315,32.30278554536438,30.989987895647506,31.298295974731445,14269500,0.0,0.0,False,-0.9164277285014638,,,,
2012-07-11,31.30824109304532,31.38780452809092,30.38331497505146,30.801023483276367,13030300,0.0,0.0,False,-3.9129760965977374,,,,
